InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RUA_ accX;Accelerometer RWR accZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
-159;-9;752.0;540.0;-431.0;-9
-159;-20;755.0;538.0;-235.0;-20
-160;-22;741.0;533.0;-361.0;-22
-159;-25;791.0;471.0;-238.0;-25
-159;2;772.0;427.0;330.0;2
-159;4;817.0;344.0;456.0;4
-159;-16;759.0;335.0;726.0;-16
-159;-9;734.0;351.0;832.0;-9
-160;-11;702.0;496.0;951.0;-11
-159;11;607.0;406.0;-49.0;11
-159;-1;591.0;513.0;-53.0;-1
-159;6;596.0;536.0;-252.0;6
-159;5;663.0;590.0;-780.0;5
-159;-14;777.0;497.0;-1234.0;-14
-160;1;754.0;472.0;-1419.0;1
-159;29;732.0;511.0;-1847.0;29
-159;11;789.0;492.0;-2518.0;11
-159;-5;747.0;543.0;-2854.0;-5
-159;20;738.0;664.0;-3182.0;20
-159;-1;781.0;683.0;-3443.0;-1
-160;-21;865.0;752.0;-3445.0;-21
-159;16;930.0;757.0;-3451.0;16
-159;11;984.0;750.0;-3601.0;11
-159;27;980.0;709.0;-3656.0;27
-159;32;979.0;606.0;-3709.0;32
-159;-19;944.0;465.0;-3560.0;-19
-160;-32;889.0;358.0;-3295.0;-32
-159;-33;845.0;298.0;-2649.0;-33
-159;-10;714.0;324.0;-1536.0;-10
-159;-11;668.0;356.0;-936.0;-11
-159;-52;684.0;384.0;?;-52
-159;-10;712.0;?;?;-10
-160;20;723.0;463.0;?;20
-159;-12;691.0;479.0;?;-12
-159;16;739.0;515.0;?;16
-159;-4;792.0;489.0;?;-4
-159;-31;770.0;383.0;?;-31
-159;-24;696.0;322.0;?;-24
-160;-33;678.0;343.0;?;-33
-159;33;651.0;436.0;?;33
-159;3;649.0;562.0;?;3
-159;-1;641.0;267.0;?;-1
-159;-5;?;353.0;?;-5
-159;22;?;426.0;29.0;22
-160;-1;?;501.0;-206.0;-1
-159;-21;?;519.0;-581.0;-21
-159;-26;?;486.0;-1032.0;-26
-159;-34;?;463.0;-1111.0;-34
-159;-8;?;470.0;-1445.0;-8
-159;8;727.0;491.0;-2011.0;8
-160;-21;726.0;561.0;-2514.0;-21
-159;-27;732.0;627.0;-2872.0;-27
-159;-2;770.0;650.0;-3138.0;-2
-159;-9;796.0;703.0;-3297.0;-9
-159;-7;860.0;710.0;-3494.0;-7
-159;-17;870.0;649.0;-3543.0;-17
-160;-51;902.0;635.0;-3691.0;-51
-159;-15;912.0;577.0;-3602.0;-15
-159;18;871.0;540.0;-3312.0;18
-159;-10;846.0;493.0;-2889.0;-10
-159;-36;808.0;474.0;-2560.0;-36
-159;-16;799.0;471.0;-2046.0;-16
-159;9;763.0;557.0;-1266.0;9
-159;-15;761.0;627.0;-884.0;-15
-159;-18;839.0;626.0;-751.0;-18
-159;-10;872.0;591.0;-325.0;-10
-159;-8;821.0;541.0;165.0;-8
-159;10;805.0;433.0;346.0;10
-159;1;798.0;348.0;575.0;1
-159;15;751.0;367.0;469.0;15
-159;56;690.0;457.0;540.0;56
-159;33;681.0;644.0;750.0;33
-159;-4;681.0;392.0;-230.0;-4
-159;11;662.0;360.0;-535.0;11
-159;-3;614.0;344.0;-648.0;-3
-160;-20;572.0;270.0;-564.0;-20
-159;-41;534.0;459.0;-382.0;-41
-159;-24;605.0;545.0;-237.0;-24
-159;2;683.0;654.0;44.0;2
-159;32;699.0;974.0;407.0;32
-159;37;870.0;1349.0;560.0;37
-160;19;921.0;1282.0;656.0;?
-159;79;950.0;1306.0;276.0;?
-159;81;1109.0;1299.0;-739.0;?
-159;28;1149.0;1203.0;-787.0;?
-159;40;1002.0;1097.0;-152.0;?
-159;49;985.0;1161.0;295.0;?
-159;23;953.0;1154.0;326.0;?
-159;35;806.0;994.0;706.0;?
-159;66;777.0;1010.0;705.0;66
-159;-27;739.0;972.0;344.0;-27
-159;-26;688.0;893.0;192.0;-26
-159;73;657.0;820.0;-79.0;73
-159;19;602.0;791.0;-511.0;19
-159;-11;543.0;684.0;-652.0;-11
-159;-24;452.0;721.0;-585.0;-24
-159;-21;334.0;582.0;-403.0;-21
-159;-20;314.0;579.0;-147.0;-20
-159;-49;272.0;563.0;20.0;-49
-159;37;265.0;518.0;147.0;37
-159;79;278.0;529.0;209.0;79
-159;65;317.0;536.0;200.0;65
-159;81;335.0;543.0;60.0;81
-159;113;360.0;497.0;-173.0;113
-159;133;371.0;523.0;-347.0;133
-159;67;343.0;552.0;-500.0;67
-159;-13;320.0;582.0;-547.0;-13
-158;-47;320.0;607.0;-482.0;-47
-158;-25;312.0;606.0;-395.0;-25
-159;13;351.0;579.0;-396.0;13
-159;-21;332.0;620.0;-399.0;-21
?;-45;290.0;601.0;-365.0;-45
?;-38;288.0;597.0;-289.0;-38
?;-124;293.0;576.0;-157.0;-124
?;-140;286.0;637.0;-70.0;-140
?;-92;299.0;609.0;-31.0;-92
?;-123;288.0;582.0;-66.0;-123
?;-117;287.0;576.0;-36.0;-117
?;-114;273.0;610.0;63.0;-114
?;-66;270.0;580.0;138.0;-66
?;-29;286.0;575.0;121.0;-29
?;-28;316.0;571.0;40.0;-28
?;-30;348.0;546.0;-89.0;-30
?;-60;339.0;582.0;-202.0;-60
?;60;338.0;571.0;-345.0;60
-159;22;328.0;483.0;-516.0;22
-159;-60;264.0;606.0;-595.0;-60
-159;48;278.0;793.0;-472.0;48
-159;-12;119.0;612.0;-314.0;-12
-159;-72;289.0;428.0;-77.0;-72
-160;-27;529.0;488.0;-649.0;-27
-160;3;191.0;469.0;-409.0;3
-160;25;148.0;477.0;107.0;?
-160;31;115.0;534.0;261.0;?
-160;14;?;558.0;563.0;?
-160;-23;?;555.0;647.0;?
-160;6;?;581.0;506.0;6
-160;14;?;571.0;253.0;14
-160;2;?;582.0;27.0;2
-160;43;?;617.0;-217.0;43
-160;44;?;613.0;-211.0;44
-160;22;310.0;628.0;42.0;22
-160;20;323.0;662.0;202.0;20
-160;25;345.0;652.0;201.0;25
-160;45;342.0;638.0;146.0;45
-160;17;334.0;637.0;122.0;17
-160;-30;348.0;659.0;146.0;-30
-160;0;339.0;656.0;171.0;0
-160;-6;359.0;629.0;134.0;-6
-160;-57;351.0;591.0;137.0;-57
-160;-30;354.0;588.0;149.0;-30
-160;-11;356.0;579.0;130.0;-11
-160;-23;316.0;608.0;138.0;-23
-160;-1;309.0;595.0;91.0;-1
-160;-13;320.0;599.0;55.0;-13
-160;3;320.0;570.0;31.0;3
-160;-1;321.0;580.0;-34.0;-1
-160;-62;317.0;561.0;-167.0;-62
-160;-7;300.0;570.0;-296.0;-7
-160;31;294.0;559.0;-471.0;31
-160;8;266.0;561.0;-543.0;8
-160;12;254.0;572.0;-433.0;12
-160;-4;223.0;575.0;-266.0;-4
-160;-11;235.0;541.0;-52.0;-11
-160;-8;275.0;547.0;-53.0;-8
-160;-24;300.0;562.0;-142.0;-24
-160;-31;289.0;555.0;-162.0;?
-160;-12;258.0;539.0;-125.0;?
-160;0;243.0;523.0;-33.0;?
-160;0;242.0;540.0;-14.0;?
-160;-7;?;537.0;-34.0;?
-160;-15;?;558.0;24.0;?
-160;1;?;533.0;104.0;?
-160;8;?;547.0;94.0;?
-160;-12;?;550.0;33.0;?
-160;7;?;562.0;-37.0;7
-160;3;?;486.0;-81.0;3
-160;-82;?;495.0;-155.0;-82
-160;-73;?;857.0;-142.0;-73
-160;-70;?;579.0;-148.0;-70
-160;-26;?;415.0;15.0;-26
-160;134;?;468.0;-310.0;134
-160;83;?;458.0;-225.0;83
-160;1;?;531.0;55.0;1
-160;13;?;621.0;-158.0;13
-160;-19;237.0;547.0;-155.0;-19
-160;-9;297.0;528.0;-153.0;-9
-160;-16;329.0;534.0;-214.0;-16
-160;-31;215.0;529.0;-71.0;-31
-160;5;144.0;491.0;-37.0;5
-160;-1;158.0;509.0;-266.0;-1
-160;-2;148.0;520.0;-245.0;-2
-160;?;158.0;538.0;25.0;64
-160;?;207.0;518.0;273.0;60
-160;?;240.0;529.0;314.0;23
-160;?;269.0;518.0;191.0;60
-160;?;276.0;558.0;-6.0;63
-160;?;277.0;586.0;-75.0;39
-160;?;263.0;598.0;-36.0;30
-160;?;266.0;622.0;1.0;-6
-160;?;281.0;602.0;-46.0;-6
-160;?;279.0;581.0;-97.0;2
-159;?;300.0;579.0;-100.0;26
-159;66;252.0;574.0;-22.0;66
-159;82;241.0;542.0;103.0;82
-159;112;247.0;550.0;164.0;112
-159;84;293.0;550.0;92.0;84
-159;44;275.0;557.0;12.0;44
-159;18;256.0;532.0;92.0;18
-159;-12;260.0;557.0;119.0;-12
-159;-1;261.0;510.0;106.0;-1
-159;1;238.0;526.0;82.0;1
-159;-12;238.0;507.0;57.0;-12
-159;-67;236.0;502.0;59.0;-67
-159;-87;245.0;513.0;63.0;-87
-159;-35;240.0;530.0;85.0;-35
-159;-20;251.0;553.0;48.0;-20
-159;-41;244.0;568.0;80.0;-41
-159;-75;224.0;570.0;133.0;-75
-159;-45;233.0;562.0;109.0;-45
-159;-5;253.0;567.0;99.0;-5
-160;-10;262.0;562.0;101.0;-10
-160;0;260.0;520.0;102.0;0
-160;-18;249.0;592.0;111.0;-18
-160;-10;240.0;528.0;127.0;-10
-160;-3;229.0;533.0;269.0;-3
-160;-7;242.0;539.0;312.0;-7
-160;22;258.0;557.0;263.0;22
-160;22;287.0;504.0;130.0;22
?;26;294.0;682.0;-82.0;26
?;27;331.0;763.0;-281.0;27
?;-8;210.0;453.0;-397.0;-8
?;-16;323.0;486.0;-376.0;-16
?;34;374.0;480.0;-578.0;34
?;64;82.0;454.0;-165.0;64
?;6;87.0;507.0;90.0;6
?;-45;124.0;541.0;293.0;-45
?;-8;126.0;500.0;571.0;-8
-159;5;267.0;509.0;525.0;5
-159;-21;291.0;507.0;308.0;-21
-159;-12;195.0;486.0;155.0;-12
-159;-13;197.0;462.0;-110.0;-13
-159;1;173.0;468.0;-359.0;1
-159;-15;183.0;526.0;-416.0;-15
-159;-25;174.0;538.0;-160.0;-25
-159;20;201.0;548.0;173.0;20
-159;5;251.0;562.0;235.0;5
-159;7;291.0;561.0;77.0;7
-159;29;296.0;593.0;-112.0;29
-159;17;280.0;?;-120.0;17
-159;36;282.0;?;-46.0;36
-159;51;271.0;?;49.0;51
-159;35;300.0;?;25.0;35
-159;17;280.0;?;-39.0;17
-159;0;297.0;?;-69.0;0
-159;-16;310.0;?;-57.0;-16
-159;-34;308.0;?;-52.0;-34
-159;-51;274.0;?;-50.0;-51
-159;-81;249.0;?;8.0;-81
-159;-102;255.0;?;75.0;-102
-159;-6;275.0;?;96.0;-6
-159;51;272.0;?;35.0;51
-159;8;248.0;?;22.0;8
-159;47;232.0;536.0;77.0;47
-159;57;256.0;518.0;81.0;57
-159;-1;263.0;497.0;38.0;-1
-159;-5;262.0;501.0;-100.0;-5
-159;-5;233.0;535.0;-113.0;-5
-159;-32;183.0;552.0;?;-32
-159;-14;186.0;500.0;?;-14
-159;1;210.0;541.0;?;1
-159;-41;250.0;552.0;?;-41
-159;-23;265.0;581.0;?;-23
-159;-19;293.0;553.0;?;-19
-159;-39;292.0;571.0;?;-39
-159;15;271.0;569.0;?;15
-159;16;223.0;544.0;?;16
-159;12;234.0;536.0;?;12
-159;-7;257.0;547.0;?;-7
-159;-29;250.0;512.0;-186.0;-29
-159;0;240.0;533.0;14.0;0
-159;-1;213.0;535.0;218.0;-1
-159;18;232.0;535.0;271.0;18
-159;5;223.0;444.0;256.0;5
-159;21;244.0;692.0;142.0;21
-159;74;245.0;655.0;21.0;74
-159;-3;154.0;458.0;-37.0;-3
-158;-40;268.0;?;-111.0;-40
-158;31;327.0;?;-226.0;31
-159;12;82.0;?;113.0;12
-159;-45;150.0;?;210.0;-45
-159;-24;198.0;566.0;358.0;-24
-159;-11;232.0;535.0;?;-11
-159;-4;293.0;572.0;?;-4
-159;7;277.0;587.0;?;7
-159;-12;194.0;543.0;?;-12
-159;18;211.0;549.0;?;18
-159;38;266.0;551.0;?;38
-159;20;282.0;590.0;?;20
-159;49;252.0;561.0;?;49
-159;35;273.0;590.0;?;?
-159;44;291.0;560.0;?;?
-159;38;275.0;558.0;?;?
-159;-1;248.0;535.0;?;?
-159;1;238.0;604.0;?;1
-159;-54;239.0;573.0;?;-54
-159;-32;282.0;583.0;?;-32
-159;9;323.0;582.0;106.0;9
-159;-14;300.0;610.0;52.0;-14
-159;39;302.0;605.0;71.0;39
-159;54;305.0;603.0;110.0;54
-159;17;305.0;621.0;102.0;17
-159;47;319.0;606.0;28.0;47
-159;22;336.0;601.0;-93.0;22
-159;-61;340.0;585.0;-204.0;-61
-159;-70;310.0;562.0;-259.0;-70
-159;-53;299.0;550.0;-251.0;-53
-159;-41;277.0;560.0;-234.0;-41
-159;-48;247.0;539.0;-205.0;-48
-159;-54;217.0;539.0;-132.0;-54
-159;-87;218.0;482.0;-40.0;-87
-159;-123;220.0;443.0;9.0;-123
-159;-88;231.0;489.0;-24.0;-88
-159;-61;217.0;483.0;-127.0;-61
-159;-26;208.0;480.0;-139.0;-26
-159;-12;206.0;501.0;-59.0;-12
-159;-20;218.0;512.0;-112.0;-20
-159;?;209.0;541.0;-208.0;-22
-159;?;210.0;545.0;-182.0;-42
-159;?;206.0;531.0;-9.0;-6
-159;?;195.0;526.0;101.0;19
-159;?;184.0;549.0;79.0;25
-159;?;?;540.0;108.0;12
-159;?;?;550.0;175.0;-21
-159;?;?;508.0;99.0;30
-159;?;?;520.0;63.0;44
-159;?;?;506.0;8.0;26
-159;?;?;513.0;-20.0;68
-159;?;?;521.0;-16.0;54
-159;?;?;532.0;-4.0;71
-159;131;?;512.0;58.0;131
-159;41;232.0;506.0;-3.0;41
-159;19;212.0;658.0;-227.0;19
-158;7;203.0;573.0;-403.0;7
-158;-88;74.0;475.0;-230.0;-88
-159;-35;311.0;499.0;-101.0;-35
-159;21;203.0;450.0;59.0;21
-159;-1;97.0;482.0;319.0;-1
-159;-40;145.0;547.0;540.0;-40
-159;9;159.0;580.0;832.0;9
-159;44;221.0;557.0;865.0;44
-159;-37;330.0;542.0;613.0;-37
-159;-24;359.0;545.0;92.0;-24
-159;-4;355.0;530.0;-396.0;-4
-159;?;275.0;559.0;-684.0;-11
-159;?;207.0;594.0;-595.0;-17
-159;-28;197.0;612.0;-329.0;-28
-159;-1;213.0;609.0;-60.0;-1
-159;-28;260.0;577.0;14.0;-28
-159;-4;311.0;599.0;?;-4
-159;19;360.0;619.0;?;19
-159;-21;325.0;554.0;?;-21
-159;-19;319.0;567.0;?;-19
-159;6;300.0;561.0;?;6
-159;34;251.0;560.0;-554.0;34
-159;-4;253.0;539.0;-357.0;-4
-159;-32;223.0;541.0;-261.0;-32
-159;12;199.0;536.0;-167.0;12
-159;30;226.0;552.0;-55.0;30
-159;-3;229.0;569.0;49.0;-3
-159;-45;261.0;502.0;54.0;-45
-159;-14;265.0;502.0;-26.0;-14
-159;-6;297.0;518.0;-176.0;-6
-159;-4;250.0;528.0;-201.0;-4
-159;8;198.0;545.0;-125.0;8
-159;-39;197.0;566.0;20.0;-39
-159;-5;236.0;549.0;126.0;-5
-159;3;242.0;571.0;126.0;3
-159;-3;268.0;600.0;90.0;-3
-159;18;281.0;592.0;42.0;18
-159;-21;301.0;581.0;80.0;-21
-159;1;299.0;571.0;8.0;1
-159;12;301.0;623.0;-76.0;12
-159;-13;283.0;619.0;-47.0;-13
