InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
5;-306.0;-988.0;5.0;1003.0;-145.0;49.0;94.0;163.0
10;-321.0;-951.0;-9.0;944.0;-179.0;22.0;124.0;162.0
10;-310.0;-953.0;12.0;949.0;-165.0;-78.0;122.0;149.0
6;-332.0;-950.0;-8.0;946.0;-171.0;6.0;132.0;164.0
7;-324.0;-950.0;-8.0;950.0;-180.0;19.0;135.0;142.0
9;-329.0;-954.0;-17.0;940.0;-171.0;13.0;132.0;159.0
4;-320.0;-960.0;8.0;931.0;-186.0;-14.0;121.0;144.0
5;-322.0;-957.0;10.0;967.0;-170.0;-4.0;121.0;156.0
5;-317.0;-954.0;-5.0;947.0;-171.0;-26.0;123.0;165.0
1;-317.0;-955.0;-19.0;938.0;-181.0;-22.0;121.0;164.0
0;-318.0;-960.0;-31.0;942.0;-179.0;-1.0;121.0;157.0
8;-320.0;-956.0;-4.0;949.0;-166.0;-13.0;129.0;158.0
1;-333.0;-880.0;17.0;882.0;-153.0;3.0;179.0;175.0
6;-273.0;-1003.0;-44.0;1008.0;-221.0;45.0;46.0;114.0
4;-267.0;-967.0;-45.0;940.0;-172.0;44.0;84.0;86.0
3;-271.0;-970.0;-43.0;937.0;-169.0;42.0;81.0;63.0
-6;-267.0;-1000.0;-46.0;1014.0;-297.0;89.0;65.0;103.0
3;-273.0;-962.0;-70.0;955.0;-171.0;50.0;93.0;96.0
-8;-235.0;-1003.0;-18.0;967.0;-316.0;-2.0;69.0;95.0
7;-279.0;-1001.0;-43.0;1000.0;-291.0;62.0;53.0;116.0
-1;-278.0;-961.0;-24.0;938.0;-179.0;34.0;92.0;95.0
-2;-288.0;-966.0;-35.0;959.0;-170.0;4.0;96.0;105.0
1;-288.0;-962.0;-54.0;955.0;-191.0;11.0;105.0;105.0
-3;-282.0;-963.0;-38.0;947.0;-166.0;35.0;113.0;107.0
5;-285.0;-969.0;-59.0;948.0;-172.0;35.0;104.0;123.0
11;-288.0;-940.0;-148.0;949.0;-143.0;-42.0;88.0;169.0
55;-279.0;-893.0;-134.0;1038.0;4.0;148.0;183.0;-16.0
-347;-271.0;-912.0;-99.0;1049.0;38.0;96.0;69.0;19.0
-321;-248.0;-937.0;257.0;965.0;-43.0;59.0;132.0;115.0
285;-271.0;-985.0;-20.0;978.0;-170.0;-5.0;80.0;120.0
-1;-293.0;-953.0;-37.0;958.0;-166.0;21.0;117.0;135.0
4;-295.0;-956.0;-59.0;951.0;-176.0;26.0;128.0;114.0
3;-296.0;-949.0;-13.0;956.0;-176.0;35.0;117.0;126.0
2;-253.0;-1000.0;-22.0;971.0;-27.0;43.0;113.0;115.0
1;-299.0;-950.0;-26.0;942.0;-195.0;-27.0;106.0;116.0
-1;-293.0;-994.0;93.0;988.0;-47.0;136.0;109.0;131.0
0;-269.0;-841.0;-380.0;870.0;-169.0;248.0;212.0;135.0
7;-289.0;-946.0;-1.0;943.0;-171.0;23.0;115.0;144.0
2;-295.0;-963.0;16.0;950.0;-181.0;-42.0;115.0;126.0
1;-286.0;-960.0;-21.0;930.0;-179.0;10.0;122.0;119.0
6;-290.0;-949.0;-22.0;930.0;-177.0;18.0;111.0;128.0
4;-302.0;-959.0;-28.0;956.0;-174.0;9.0;133.0;139.0
