InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
-565.0;45.0;554.0;-111.0;225.0;456.0;-159.0;312.0;329.0
-565.0;69.0;554.0;-72.0;212.0;453.0;-130.0;358.0;318.0
-564.0;43.0;552.0;-77.0;201.0;449.0;-145.0;353.0;322.0
-523.0;94.0;348.0;36.0;329.0;484.0;-91.0;61.0;381.0
-377.0;79.0;296.0;397.0;534.0;826.0;-129.0;50.0;272.0
-523.0;128.0;350.0;40.0;340.0;481.0;-82.0;63.0;396.0
-523.0;145.0;352.0;40.0;347.0;482.0;-70.0;63.0;434.0
-525.0;142.0;352.0;37.0;354.0;481.0;-100.0;60.0;437.0
-421.0;85.0;223.0;174.0;445.0;696.0;-31.0;64.0;544.0
-531.0;117.0;355.0;20.0;372.0;479.0;-74.0;50.0;466.0
-533.0;107.0;355.0;12.0;376.0;479.0;-103.0;48.0;467.0
-562.0;65.0;494.0;-98.0;221.0;448.0;-112.0;299.0;338.0
-512.0;-52.0;322.0;18.0;492.0;465.0;2.0;-162.0;460.0
-540.0;103.0;354.0;-10.0;377.0;476.0;-98.0;47.0;457.0
-540.0;138.0;352.0;-15.0;373.0;471.0;-103.0;51.0;417.0
-552.0;207.0;51.0;-320.0;426.0;609.0;-92.0;-246.0;524.0
-538.0;197.0;345.0;-18.0;347.0;461.0;-89.0;51.0;392.0
-552.0;64.0;514.0;-18.0;209.0;445.0;-144.0;332.0;371.0
-390.0;-31.0;313.0;-104.0;340.0;622.0;-185.0;-19.0;360.0
-415.0;-54.0;188.0;223.0;421.0;440.0;-40.0;-172.0;319.0
-498.0;101.0;-347.0;-326.0;545.0;613.0;32.0;-175.0;490.0
-439.0;161.0;215.0;224.0;392.0;655.0;-118.0;238.0;124.0
-522.0;107.0;349.0;30.0;332.0;485.0;-103.0;62.0;401.0
-122.0;209.0;-103.0;148.0;618.0;541.0;-10.0;-367.0;400.0
-636.0;364.0;490.0;-202.0;136.0;518.0;-195.0;109.0;410.0
-559.0;-2.0;404.0;-82.0;212.0;448.0;-144.0;128.0;296.0
-566.0;63.0;553.0;-80.0;200.0;448.0;-170.0;356.0;335.0
-567.0;69.0;555.0;-76.0;204.0;451.0;-150.0;359.0;333.0
-564.0;-540.0;383.0;-67.0;-270.0;496.0;-402.0;247.0;377.0
-610.0;264.0;457.0;-344.0;201.0;647.0;-94.0;226.0;484.0
-557.0;283.0;144.0;-157.0;466.0;554.0;-193.0;-118.0;233.0
-409.0;76.0;211.0;250.0;395.0;478.0;-160.0;-141.0;262.0
-252.0;-157.0;-126.0;-55.0;-247.0;471.0;-3.0;212.0;405.0
-537.0;96.0;379.0;-1.0;381.0;494.0;-142.0;37.0;456.0
-587.0;-696.0;131.0;-286.0;-348.0;567.0;673.0;120.0;555.0
580.0;275.0;-737.0;808.0;925.0;453.0;-144.0;-645.0;182.0
62.0;252.0;-531.0;185.0;785.0;641.0;-148.0;-537.0;403.0
-568.0;23.0;484.0;-122.0;234.0;447.0;-72.0;284.0;371.0
-596.0;25.0;572.0;-90.0;247.0;460.0;-105.0;326.0;340.0
-570.0;32.0;550.0;-128.0;225.0;454.0;-83.0;315.0;314.0
-568.0;52.0;549.0;-122.0;225.0;453.0;-117.0;312.0;320.0
-752.0;73.0;490.0;561.0;816.0;1068.0;-69.0;-79.0;309.0
-437.0;-2.0;415.0;302.0;394.0;765.0;1.0;304.0;419.0
-565.0;88.0;558.0;-97.0;193.0;442.0;-140.0;364.0;334.0
-450.0;211.0;415.0;259.0;475.0;786.0;-284.0;247.0;399.0
-570.0;84.0;548.0;-108.0;207.0;455.0;-141.0;323.0;314.0
-540.0;234.0;406.0;24.0;310.0;507.0;-157.0;114.0;499.0
-539.0;200.0;398.0;13.0;323.0;503.0;-74.0;101.0;473.0
-540.0;229.0;397.0;11.0;322.0;500.0;-80.0;99.0;395.0
-580.0;85.0;529.0;-144.0;226.0;446.0;-160.0;310.0;330.0
-536.0;175.0;399.0;32.0;336.0;493.0;-194.0;91.0;341.0
-315.0;240.0;49.0;-132.0;91.0;347.0;-182.0;-3.0;317.0
-38.0;127.0;-95.0;245.0;-61.0;489.0;-10.0;-77.0;191.0
-188.0;275.0;49.0;7.0;-153.0;417.0;-97.0;31.0;344.0
-219.0;93.0;82.0;114.0;-325.0;341.0;-214.0;237.0;109.0
-572.0;173.0;541.0;-112.0;180.0;482.0;-110.0;359.0;253.0
-614.0;69.0;567.0;-296.0;190.0;365.0;-172.0;310.0;328.0
-567.0;78.0;562.0;-83.0;194.0;446.0;-121.0;377.0;320.0
-580.0;44.0;559.0;-94.0;189.0;447.0;-119.0;335.0;325.0
-602.0;125.0;568.0;-356.0;141.0;445.0;-133.0;306.0;378.0
-544.0;133.0;395.0;-17.0;347.0;488.0;-137.0;65.0;424.0
-555.0;39.0;496.0;-48.0;203.0;446.0;-72.0;309.0;378.0
-553.0;5.0;497.0;-37.0;200.0;448.0;-76.0;308.0;402.0
-548.0;187.0;393.0;-18.0;355.0;488.0;-103.0;64.0;458.0
-565.0;-3.0;489.0;-124.0;225.0;445.0;-98.0;287.0;366.0
-566.0;1.0;489.0;-122.0;231.0;448.0;-69.0;284.0;364.0
-554.0;108.0;522.0;-28.0;210.0;447.0;-109.0;336.0;359.0
-555.0;251.0;552.0;-55.0;208.0;568.0;-99.0;286.0;446.0
-596.0;221.0;581.0;-319.0;142.0;439.0;-39.0;332.0;413.0
-602.0;324.0;163.0;-416.0;741.0;982.0;-202.0;-30.0;351.0
-547.0;147.0;390.0;-18.0;348.0;470.0;-133.0;53.0;411.0
-548.0;136.0;389.0;-14.0;346.0;471.0;-136.0;52.0;422.0
-546.0;142.0;387.0;-15.0;343.0;467.0;-95.0;52.0;398.0
-548.0;168.0;389.0;-10.0;342.0;468.0;-84.0;52.0;411.0
-547.0;119.0;381.0;-17.0;340.0;461.0;-102.0;47.0;392.0
-548.0;127.0;380.0;-17.0;338.0;460.0;-117.0;45.0;406.0
-581.0;21.0;579.0;-97.0;183.0;425.0;-87.0;384.0;342.0
-546.0;130.0;379.0;-15.0;342.0;465.0;-107.0;43.0;420.0
-584.0;-2.0;574.0;-97.0;187.0;427.0;-79.0;376.0;355.0
-579.0;-13.0;568.0;-89.0;193.0;430.0;-92.0;368.0;334.0
-542.0;130.0;369.0;-19.0;348.0;467.0;-111.0;34.0;456.0
-4.0;153.0;230.0;626.0;405.0;662.0;-141.0;332.0;401.0
-580.0;86.0;565.0;-87.0;165.0;449.0;-93.0;346.0;308.0
-582.0;45.0;569.0;-79.0;160.0;448.0;-135.0;347.0;312.0
-538.0;139.0;364.0;-15.0;348.0;466.0;-103.0;30.0;434.0
-577.0;-30.0;576.0;-62.0;186.0;430.0;-139.0;386.0;338.0
-580.0;-7.0;567.0;-90.0;192.0;427.0;-51.0;365.0;340.0
-566.0;78.0;553.0;-78.0;199.0;447.0;-142.0;356.0;312.0
-525.0;138.0;348.0;32.0;417.0;458.0;-9.0;-8.0;337.0
-481.0;-189.0;227.0;-218.0;-416.0;104.0;207.0;543.0;397.0
-533.0;122.0;362.0;-8.0;356.0;467.0;-97.0;21.0;420.0
-339.0;272.0;-207.0;206.0;588.0;474.0;-285.0;-512.0;295.0
575.0;145.0;-384.0;803.0;659.0;473.0;-131.0;-248.0;375.0
219.0;193.0;-132.0;950.0;241.0;465.0;6.0;60.0;369.0
