InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
-555.0;251.0;552.0;-55.0;208.0;568.0;-99.0;286.0;446.0
-563.0;67.0;452.0;-70.0;151.0;604.0;-159.0;121.0;486.0
-592.0;41.0;570.0;-36.0;215.0;468.0;-72.0;363.0;376.0
-442.0;31.0;251.0;240.0;393.0;481.0;-105.0;-120.0;298.0
30.0;-30.0;-70.0;603.0;749.0;905.0;-109.0;-227.0;314.0
136.0;438.0;-204.0;948.0;825.0;826.0;-415.0;-325.0;165.0
31.0;150.0;33.0;958.0;879.0;1137.0;-39.0;-94.0;448.0
214.0;201.0;-186.0;863.0;819.0;863.0;-60.0;-317.0;370.0
-55.0;114.0;-116.0;827.0;890.0;912.0;-95.0;-405.0;347.0
477.0;0.0;-558.0;660.0;1205.0;703.0;67.0;-530.0;485.0
-568.0;171.0;363.0;-359.0;-149.0;635.0;198.0;212.0;605.0
-562.0;65.0;494.0;-98.0;221.0;448.0;-112.0;299.0;338.0
-604.0;79.0;527.0;-433.0;-491.0;376.0;62.0;523.0;429.0
-610.0;275.0;391.0;-341.0;343.0;615.0;-261.0;254.0;315.0
-201.0;123.0;338.0;627.0;319.0;780.0;-40.0;305.0;420.0
-602.0;271.0;155.0;-412.0;744.0;982.0;-185.0;-37.0;337.0
-853.0;301.0;294.0;-760.0;311.0;630.0;-80.0;-63.0;477.0
-582.0;71.0;561.0;-13.0;224.0;486.0;-122.0;357.0;348.0
-390.0;-31.0;313.0;-104.0;340.0;622.0;-185.0;-19.0;360.0
-403.0;-60.0;177.0;229.0;423.0;442.0;-31.0;-180.0;323.0
-601.0;104.0;487.0;-348.0;228.0;471.0;-87.0;184.0;435.0
-425.0;123.0;189.0;224.0;380.0;481.0;-190.0;-139.0;215.0
-522.0;102.0;350.0;34.0;330.0;483.0;-103.0;63.0;372.0
-610.0;1.0;515.0;-414.0;291.0;441.0;-92.0;152.0;388.0
-589.0;390.0;280.0;-215.0;443.0;633.0;-272.0;-79.0;264.0
-711.0;-710.0;15.0;-676.0;131.0;778.0;661.0;-244.0;255.0
-564.0;40.0;491.0;-112.0;225.0;447.0;-122.0;291.0;369.0
-551.0;26.0;510.0;-19.0;203.0;443.0;-136.0;325.0;388.0
-566.0;14.0;440.0;-96.0;150.0;444.0;-229.0;176.0;374.0
-610.0;264.0;457.0;-344.0;201.0;647.0;-94.0;226.0;484.0
-562.0;-11.0;584.0;-42.0;161.0;415.0;-81.0;423.0;357.0
-544.0;-290.0;377.0;244.0;-67.0;674.0;338.0;743.0;720.0
-455.0;-207.0;201.0;-191.0;-448.0;169.0;170.0;510.0;350.0
477.0;421.0;-709.0;905.0;821.0;285.0;-238.0;-696.0;409.0
820.0;350.0;-561.0;303.0;385.0;78.0;19.0;-252.0;759.0
-528.0;-56.0;375.0;85.0;290.0;611.0;15.0;258.0;150.0
-568.0;31.0;478.0;-117.0;234.0;448.0;-77.0;281.0;368.0
-565.0;-3.0;489.0;-124.0;225.0;445.0;-98.0;287.0;366.0
-580.0;179.0;518.0;-216.0;291.0;581.0;-115.0;205.0;458.0
-860.0;-550.0;686.0;-607.0;-336.0;-372.0;590.0;632.0;672.0
-81.0;-30.0;-68.0;-276.0;286.0;540.0;60.0;63.0;309.0
-622.0;210.0;398.0;718.0;1097.0;1328.0;-181.0;44.0;311.0
-208.0;114.0;312.0;-487.0;-100.0;480.0;-37.0;442.0;192.0
-679.0;-241.0;795.0;-497.0;-998.0;5.0;294.0;848.0;513.0
-536.0;143.0;372.0;9.0;343.0;476.0;12.0;48.0;482.0
515.0;231.0;-477.0;722.0;724.0;477.0;-133.0;-512.0;310.0
222.0;250.0;-128.0;489.0;231.0;463.0;-4.0;67.0;312.0
-541.0;140.0;577.0;-25.0;193.0;446.0;-107.0;363.0;378.0
-512.0;-52.0;322.0;18.0;492.0;465.0;2.0;-162.0;460.0
-525.0;138.0;348.0;32.0;417.0;458.0;-9.0;-8.0;337.0
-560.0;63.0;492.0;-84.0;211.0;446.0;-124.0;299.0;376.0
-179.0;210.0;-781.0;-92.0;813.0;303.0;-137.0;-787.0;429.0
-72.0;56.0;-102.0;218.0;-121.0;517.0;4.0;-25.0;276.0
-175.0;267.0;51.0;33.0;-169.0;410.0;-179.0;51.0;381.0
-533.0;160.0;364.0;7.0;358.0;475.0;-95.0;26.0;438.0
-254.0;543.0;323.0;360.0;415.0;654.0;-477.0;303.0;196.0
-369.0;53.0;288.0;430.0;593.0;819.0;-107.0;8.0;279.0
-538.0;139.0;364.0;-15.0;348.0;466.0;-103.0;30.0;434.0
-317.0;54.0;357.0;215.0;415.0;715.0;-52.0;222.0;368.0
-530.0;133.0;358.0;1.0;354.0;469.0;-125.0;16.0;396.0
-540.0;130.0;366.0;-8.0;354.0;470.0;-81.0;28.0;396.0
-353.0;-24.0;172.0;-111.0;-63.0;339.0;52.0;226.0;524.0
-551.0;-14.0;501.0;-25.0;200.0;447.0;-69.0;311.0;411.0
-548.0;168.0;389.0;-10.0;342.0;468.0;-84.0;52.0;411.0
-773.0;189.0;616.0;-630.0;72.0;583.0;-149.0;653.0;393.0
-227.0;-50.0;366.0;-440.0;208.0;639.0;-4.0;417.0;359.0
-567.0;88.0;566.0;10.0;227.0;498.0;-132.0;384.0;344.0
-574.0;236.0;556.0;-249.0;208.0;570.0;-68.0;292.0;436.0
-580.0;85.0;529.0;-144.0;226.0;446.0;-160.0;310.0;330.0
-767.0;315.0;-31.0;-456.0;804.0;921.0;-111.0;-280.0;397.0
-546.0;-771.0;411.0;12.0;-583.0;134.0;860.0;425.0;427.0
-585.0;33.0;573.0;-33.0;211.0;477.0;-112.0;380.0;334.0
-601.0;143.0;551.0;-356.0;222.0;468.0;-156.0;253.0;370.0
-538.0;260.0;393.0;16.0;346.0;494.0;-142.0;87.0;387.0
-567.0;111.0;546.0;-81.0;214.0;462.0;-174.0;352.0;319.0
-464.0;156.0;-368.0;-251.0;656.0;621.0;89.0;-257.0;493.0
-599.0;27.0;566.0;-120.0;266.0;457.0;-91.0;300.0;340.0
-769.0;116.0;486.0;326.0;537.0;1010.0;-50.0;44.0;322.0
-533.0;129.0;369.0;6.0;347.0;475.0;-80.0;35.0;539.0
-485.0;92.0;130.0;-57.0;362.0;609.0;-43.0;-131.0;475.0
-545.0;198.0;44.0;-314.0;439.0;605.0;-83.0;-255.0;521.0
-537.0;209.0;400.0;12.0;317.0;501.0;-122.0;103.0;487.0
-922.0;15.0;-53.0;-543.0;814.0;965.0;-63.0;-332.0;522.0
-526.0;46.0;643.0;-199.0;199.0;500.0;74.0;390.0;450.0
-432.0;370.0;391.0;199.0;376.0;613.0;-406.0;231.0;235.0
-820.0;-244.0;761.0;-906.0;-575.0;5.0;316.0;883.0;579.0
-820.0;-270.0;745.0;-643.0;-441.0;-102.0;318.0;934.0;557.0
-97.0;297.0;-164.0;346.0;512.0;405.0;-300.0;-440.0;217.0
-391.0;152.0;567.0;216.0;29.0;522.0;-61.0;541.0;374.0
-566.0;87.0;561.0;-79.0;199.0;449.0;-166.0;369.0;314.0
-565.0;45.0;554.0;-111.0;225.0;456.0;-159.0;312.0;329.0
-274.0;6.0;92.0;568.0;964.0;1056.0;-250.0;-224.0;466.0
-408.0;341.0;86.0;97.0;449.0;478.0;-293.0;-297.0;279.0
-743.0;-223.0;814.0;-328.0;-490.0;3.0;291.0;873.0;631.0
-548.0;136.0;389.0;-14.0;346.0;471.0;-136.0;52.0;422.0
-440.0;277.0;208.0;204.0;370.0;484.0;-335.0;-119.0;136.0
-396.0;232.0;239.0;-117.0;323.0;597.0;211.0;-44.0;520.0
-321.0;248.0;178.0;-79.0;-393.0;384.0;-216.0;400.0;245.0
-389.0;464.0;350.0;239.0;411.0;645.0;-245.0;228.0;339.0
-586.0;305.0;429.0;-477.0;-438.0;414.0;-123.0;467.0;289.0
