InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
-676.0;-508.0;?;-387.0;156.0;55;396.0;164.0;-248.0;272.0
-678.0;-517.0;?;-386.0;170.0;55;407.0;121.0;-273.0;242.0
-682.0;-532.0;65.0;-373.0;190.0;55;426.0;75.0;-296.0;229.0
-686.0;-551.0;86.0;-348.0;222.0;55;451.0;99.0;-320.0;227.0
-688.0;-579.0;93.0;-270.0;265.0;55;485.0;122.0;-345.0;238.0
-692.0;-610.0;74.0;-369.0;313.0;55;518.0;166.0;-372.0;273.0
-697.0;-644.0;?;-483.0;364.0;55;553.0;212.0;-395.0;332.0
-699.0;-668.0;41.0;-588.0;406.0;?;574.0;213.0;-422.0;456.0
-700.0;-679.0;73.0;-671.0;440.0;55;?;297.0;-440.0;577.0
-701.0;-685.0;36.0;-1029.0;475.0;55;596.0;431.0;-451.0;750.0
-705.0;-675.0;-33.0;-1064.0;503.0;55;597.0;519.0;-465.0;766.0
-709.0;-661.0;63.0;-922.0;526.0;55;588.0;470.0;-472.0;640.0
-709.0;-653.0;-26.0;-786.0;544.0;?;582.0;367.0;-476.0;630.0
-711.0;-653.0;72.0;-788.0;560.0;55;580.0;?;-483.0;660.0
-705.0;-657.0;100.0;-758.0;573.0;55;581.0;504.0;-487.0;670.0
-702.0;-665.0;117.0;-752.0;583.0;55;587.0;547.0;-486.0;607.0
?;-682.0;70.0;-706.0;587.0;55;591.0;462.0;-486.0;469.0
-677.0;-701.0;53.0;?;595.0;55;599.0;314.0;-484.0;406.0
-664.0;?;63.0;-560.0;605.0;55;607.0;275.0;-486.0;416.0
-651.0;-731.0;67.0;-539.0;613.0;55;611.0;279.0;-486.0;467.0
-640.0;-739.0;45.0;-541.0;620.0;55;611.0;358.0;-487.0;530.0
-622.0;-745.0;22.0;-515.0;627.0;55;616.0;447.0;-486.0;498.0
-617.0;-748.0;12.0;-486.0;631.0;55;622.0;457.0;-486.0;503.0
-614.0;-746.0;27.0;-570.0;641.0;55;627.0;?;-484.0;469.0
-612.0;-745.0;60.0;-595.0;647.0;55;634.0;?;?;451.0
-608.0;-745.0;?;-608.0;646.0;55;641.0;253.0;-483.0;490.0
-613.0;-750.0;49.0;-699.0;643.0;55;644.0;174.0;-485.0;?
-609.0;-756.0;8.0;-897.0;638.0;55;639.0;?;-488.0;540.0
-602.0;-762.0;33.0;-922.0;635.0;55;635.0;295.0;-485.0;550.0
-602.0;-766.0;20.0;-726.0;629.0;55;629.0;346.0;-487.0;584.0
-603.0;-771.0;61.0;-637.0;628.0;55;625.0;428.0;-487.0;490.0
-604.0;-773.0;20.0;-461.0;620.0;55;619.0;316.0;-487.0;435.0
-607.0;-777.0;67.0;-401.0;614.0;55;618.0;277.0;-484.0;384.0
-613.0;-779.0;42.0;-599.0;607.0;55;617.0;241.0;-490.0;?
-624.0;-777.0;8.0;-852.0;593.0;55;614.0;217.0;-488.0;484.0
-638.0;-767.0;23.0;-839.0;575.0;55;610.0;219.0;-488.0;372.0
-659.0;-748.0;21.0;-992.0;549.0;55;596.0;93.0;-491.0;298.0
-676.0;-717.0;?;-1029.0;518.0;55;568.0;-42.0;-489.0;292.0
-688.0;-676.0;29.0;-1167.0;480.0;55;539.0;-64.0;-488.0;374.0
-694.0;-630.0;29.0;-1352.0;432.0;55;499.0;-107.0;-487.0;551.0
-699.0;-563.0;51.0;-1440.0;375.0;?;450.0;-30.0;-486.0;495.0
-692.0;-479.0;25.0;-1360.0;299.0;55;392.0;-28.0;-484.0;375.0
-665.0;-392.0;126.0;-935.0;226.0;55;311.0;50.0;-490.0;62.0
-625.0;-327.0;136.0;-286.0;155.0;55;200.0;-99.0;-503.0;-116.0
-555.0;-297.0;133.0;-295.0;89.0;55;65.0;-89.0;-516.0;118.0
-486.0;-264.0;13.0;-961.0;33.0;?;-48.0;-17.0;-520.0;360.0
-409.0;-206.0;159.0;-1078.0;-11.0;55;-165.0;189.0;-519.0;487.0
-347.0;-139.0;131.0;-1169.0;-42.0;55;-241.0;10.0;-519.0;454.0
-300.0;-59.0;15.0;-472.0;-68.0;55;-297.0;182.0;-512.0;146.0
-219.0;17.0;101.0;-203.0;-91.0;55;-356.0;?;-510.0;-103.0
-151.0;84.0;12.0;38.0;-108.0;55;-384.0;-488.0;-499.0;-98.0
-77.0;173.0;62.0;594.0;-119.0;55;-382.0;-15.0;-490.0;-455.0
-6.0;217.0;?;784.0;-118.0;55;-365.0;-648.0;-484.0;-210.0
41.0;252.0;39.0;549.0;-120.0;55;-363.0;-354.0;-477.0;-79.0
62.0;275.0;33.0;687.0;-116.0;55;-362.0;-303.0;-478.0;-167.0
63.0;281.0;38.0;816.0;-104.0;55;-353.0;-340.0;-481.0;-238.0
?;-672.0;54.0;235.0;634.0;55;341.0;-320.0;-562.0;-192.0
-608.0;-672.0;83.0;305.0;633.0;55;341.0;-342.0;-560.0;-219.0
-614.0;-676.0;63.0;328.0;637.0;55;?;-391.0;-558.0;-232.0
-615.0;-674.0;?;71.0;634.0;55;332.0;-386.0;-560.0;-218.0
-615.0;-667.0;55.0;245.0;635.0;55;333.0;-342.0;-556.0;-227.0
-610.0;-654.0;81.0;287.0;636.0;55;345.0;-390.0;-552.0;-216.0
-599.0;-638.0;103.0;19.0;646.0;55;364.0;-465.0;-550.0;-178.0
-588.0;-620.0;91.0;119.0;656.0;55;383.0;-403.0;-545.0;-207.0
-571.0;-592.0;101.0;264.0;655.0;55;404.0;-334.0;-547.0;-168.0
-546.0;-560.0;93.0;268.0;644.0;55;421.0;-294.0;-547.0;?
-517.0;-519.0;133.0;148.0;622.0;55;433.0;-236.0;-545.0;-87.0
-487.0;-475.0;?;187.0;587.0;55;438.0;-186.0;-539.0;-61.0
-455.0;-431.0;93.0;49.0;545.0;55;431.0;-144.0;-539.0;-24.0
-414.0;-378.0;69.0;-46.0;491.0;55;410.0;-96.0;-533.0;78.0
-360.0;-325.0;69.0;-150.0;428.0;55;386.0;-62.0;-524.0;138.0
-292.0;-266.0;55.0;-402.0;355.0;55;330.0;31.0;-522.0;220.0
-222.0;-210.0;50.0;-558.0;285.0;55;258.0;116.0;-517.0;459.0
-139.0;?;50.0;-697.0;220.0;55;186.0;177.0;-504.0;614.0
-53.0;-112.0;64.0;-1212.0;149.0;55;121.0;221.0;-501.0;795.0
32.0;-53.0;110.0;?;84.0;55;83.0;?;-489.0;971.0
114.0;16.0;?;-842.0;20.0;55;53.0;619.0;-482.0;843.0
186.0;83.0;113.0;?;-24.0;55;62.0;503.0;-478.0;793.0
246.0;?;43.0;-325.0;-55.0;55;89.0;513.0;-479.0;798.0
293.0;168.0;17.0;-218.0;?;55;89.0;510.0;?;711.0
311.0;187.0;80.0;-251.0;-89.0;55;60.0;?;-470.0;755.0
313.0;197.0;81.0;-191.0;-84.0;55;64.0;663.0;-469.0;797.0
312.0;200.0;?;-189.0;-78.0;55;88.0;666.0;-468.0;624.0
310.0;201.0;84.0;-218.0;-68.0;55;94.0;484.0;-467.0;587.0
?;202.0;104.0;-194.0;-53.0;?;94.0;490.0;?;512.0
302.0;201.0;98.0;-100.0;-46.0;55;86.0;433.0;-472.0;472.0
298.0;198.0;104.0;?;-32.0;55;86.0;377.0;-476.0;468.0
290.0;188.0;100.0;-95.0;-24.0;55;93.0;371.0;-475.0;497.0
282.0;177.0;124.0;-89.0;-19.0;55;109.0;387.0;-474.0;517.0
267.0;163.0;100.0;-101.0;-5.0;55;133.0;428.0;-476.0;522.0
?;146.0;106.0;-195.0;7.0;55;156.0;470.0;-475.0;561.0
232.0;123.0;85.0;-184.0;32.0;55;183.0;501.0;-478.0;616.0
-606.0;-681.0;?;193.0;600.0;55;339.0;-219.0;-578.0;-155.0
-598.0;-675.0;54.0;245.0;606.0;55;348.0;-224.0;-577.0;-142.0
-599.0;-676.0;71.0;211.0;608.0;55;349.0;-211.0;?;-136.0
-606.0;-681.0;?;157.0;605.0;55;341.0;-227.0;-572.0;-113.0
-608.0;-681.0;8.0;178.0;611.0;55;337.0;-193.0;-571.0;-108.0
-607.0;-681.0;70.0;91.0;613.0;55;330.0;?;-571.0;-205.0
-601.0;-670.0;36.0;-13.0;616.0;55;326.0;-261.0;-563.0;-204.0
-600.0;-657.0;59.0;2.0;621.0;55;325.0;-240.0;-563.0;-145.0
-594.0;-644.0;81.0;13.0;618.0;55;324.0;-340.0;-560.0;-190.0
-579.0;-628.0;54.0;-151.0;612.0;55;335.0;-339.0;-558.0;-160.0
-554.0;-606.0;63.0;-198.0;603.0;55;349.0;-318.0;-552.0;96.0
-514.0;-568.0;89.0;-337.0;576.0;55;374.0;14.0;-548.0;182.0
-468.0;-516.0;140.0;-300.0;539.0;55;399.0;191.0;-538.0;158.0
-415.0;-465.0;160.0;-484.0;493.0;55;410.0;133.0;-532.0;352.0
-348.0;-410.0;142.0;-745.0;432.0;55;401.0;339.0;?;704.0
-273.0;-358.0;93.0;-1170.0;356.0;55;389.0;517.0;-519.0;948.0
-188.0;-304.0;80.0;-1726.0;272.0;55;382.0;597.0;-513.0;1236.0
-104.0;-251.0;32.0;-1877.0;199.0;55;325.0;894.0;-501.0;1496.0
-27.0;-191.0;118.0;-1618.0;134.0;55;252.0;1056.0;-494.0;1373.0
50.0;-118.0;103.0;-1408.0;63.0;55;177.0;999.0;-486.0;1232.0
122.0;-49.0;110.0;-945.0;?;55;105.0;835.0;-476.0;1097.0
191.0;22.0;66.0;-738.0;-64.0;?;53.0;790.0;-468.0;961.0
238.0;73.0;79.0;-414.0;-105.0;55;31.0;757.0;-465.0;913.0
?;102.0;42.0;-107.0;-132.0;55;11.0;789.0;?;788.0
278.0;123.0;24.0;-138.0;-147.0;55;-5.0;724.0;-463.0;661.0
284.0;139.0;101.0;-160.0;-152.0;55;-11.0;612.0;-467.0;635.0
278.0;146.0;111.0;-185.0;-141.0;55;-38.0;502.0;-470.0;571.0
279.0;150.0;92.0;-267.0;-140.0;55;-36.0;503.0;-468.0;602.0
?;155.0;65.0;-248.0;-145.0;55;-18.0;519.0;-465.0;564.0
285.0;155.0;78.0;-351.0;-144.0;55;-20.0;467.0;-464.0;564.0
284.0;155.0;72.0;-296.0;-142.0;55;-28.0;479.0;-463.0;519.0
278.0;153.0;63.0;-182.0;-138.0;55;?;449.0;-465.0;?
277.0;149.0;90.0;-69.0;-133.0;55;-9.0;495.0;-463.0;?
