InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
-37.0;-6.0;90.0;101.0;449.0;-113;-29.0;-281.0;-53.0;16.0
-29.0;-387.0;100.0;-659.0;272.0;-161;53.0;-107.0;-15.0;432.0
-423.0;-26.0;29.0;-596.0;-56.0;10;166.0;299.0;106.0;436.0
-528.0;-318.0;60.0;-951.0;-346.0;40;-100.0;558.0;265.0;833.0
24.0;-730.0;244.0;-351.0;403.0;-90;178.0;142.0;-84.0;299.0
-315.0;-286.0;-85.0;-367.0;-427.0;-57;139.0;246.0;264.0;481.0
-325.0;-393.0;260.0;-534.0;-205.0;-26;-172.0;110.0;245.0;371.0
107.0;-228.0;-53.0;-158.0;-267.0;-176;-521.0;166.0;368.0;269.0
23.0;-225.0;-8.0;-675.0;-55.0;-151;-282.0;-73.0;151.0;304.0
-403.0;-346.0;75.0;-437.0;-134.0;44;-28.0;212.0;123.0;421.0
65.0;-163.0;9.0;-213.0;-231.0;-102;-557.0;-107.0;280.0;364.0
-98.0;-448.0;120.0;-74.0;-348.0;-96;-473.0;142.0;490.0;173.0
-15.0;-166.0;93.0;-273.0;-454.0;-58;-575.0;203.0;591.0;286.0
-549.0;-506.0;120.0;-215.0;-77.0;43;-9.0;292.0;-30.0;257.0
-392.0;-631.0;93.0;-688.0;-520.0;-109;-514.0;43.0;245.0;225.0
-278.0;-107.0;-206.0;-556.0;-380.0;53;229.0;411.0;250.0;559.0
-430.0;-822.0;135.0;-131.0;-63.0;-34;-100.0;194.0;140.0;284.0
-918.0;-921.0;-48.0;-856.0;-331.0;45;111.0;430.0;-1.0;751.0
-470.0;-798.0;1.0;-657.0;114.0;-79;-9.0;-88.0;63.0;371.0
-422.0;-323.0;173.0;-551.0;-272.0;50;-119.0;235.0;-12.0;605.0
