InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
-42;542.0;433.0;-454.0
-57;640.0;255.0;-423.0
-7;478.0;447.0;-436.0
131;487.0;540.0;-357.0
118;785.0;359.0;-639.0
-158;110.0;76.0;-146.0
102;538.0;567.0;-464.0
145;658.0;238.0;-607.0
-123;119.0;-139.0;81.0
-161;297.0;374.0;-121.0
139;647.0;520.0;-379.0
139;502.0;363.0;-344.0
-97;545.0;541.0;-338.0
58;767.0;673.0;-704.0
41;-39.0;267.0;153.0
41;390.0;667.0;-492.0
-82;578.0;474.0;-766.0
12;582.0;553.0;-1058.0
12;763.0;742.0;-1272.0
84;631.0;513.0;-465.0
116;659.0;655.0;-575.0
125;555.0;658.0;-540.0
103;962.0;940.0;-893.0
139;545.0;666.0;-405.0
-121;500.0;490.0;-458.0
125;587.0;501.0;-538.0
-121;512.0;684.0;-405.0
2;556.0;520.0;-509.0
-46;278.0;12.0;-530.0
35;579.0;525.0;-532.0
-55;688.0;526.0;-601.0
145;670.0;445.0;-524.0
-81;773.0;392.0;-295.0
-131;502.0;518.0;-217.0
85;301.0;581.0;-572.0
141;279.0;339.0;-679.0
-112;451.0;319.0;-338.0
-97;405.0;376.0;-689.0
173;617.0;428.0;-430.0
-69;544.0;489.0;-462.0
3;577.0;669.0;-637.0
2;512.0;484.0;-513.0
115;460.0;408.0;-459.0
9;1181.0;1269.0;-779.0
57;632.0;442.0;-433.0
-57;938.0;1086.0;-218.0
53;486.0;563.0;-615.0
-101;806.0;409.0;-628.0
-121;602.0;606.0;-513.0
28;947.0;967.0;-575.0
-74;324.0;313.0;-485.0
-152;-607.0;-831.0;756.0
141;521.0;405.0;-651.0
-102;576.0;519.0;-489.0
97;512.0;764.0;-136.0
-57;663.0;670.0;-532.0
-53;773.0;774.0;-505.0
145;596.0;106.0;-482.0
73;606.0;585.0;-607.0
-46;411.0;122.0;-148.0
-96;250.0;512.0;-542.0
145;767.0;524.0;-563.0
-153;246.0;133.0;79.0
118;225.0;0.0;-167.0
-52;993.0;278.0;-884.0
-86;725.0;688.0;-654.0
-123;630.0;713.0;-471.0
121;647.0;785.0;-684.0
164;839.0;535.0;-762.0
49;346.0;683.0;-326.0
-167;-175.0;171.0;430.0
-157;-218.0;-260.0;363.0
-80;850.0;674.0;-292.0
-55;795.0;810.0;-756.0
-90;445.0;512.0;-449.0
-150;461.0;528.0;67.0
113;546.0;906.0;-446.0
125;689.0;617.0;-503.0
-94;954.0;786.0;-904.0
125;474.0;535.0;-497.0
156;693.0;799.0;-434.0
-48;774.0;-191.0;-692.0
-101;968.0;726.0;-644.0
144;660.0;360.0;-508.0
154;874.0;532.0;-364.0
4;1212.0;1209.0;-1135.0
37;822.0;750.0;-1030.0
-68;804.0;609.0;-855.0
-126;-156.0;-534.0;207.0
100;997.0;990.0;-929.0
96;593.0;601.0;-872.0
-121;458.0;584.0;-525.0
-101;741.0;269.0;-683.0
-112;654.0;484.0;-472.0
83;874.0;845.0;-807.0
-121;451.0;841.0;-413.0
137;410.0;141.0;-423.0
-89;971.0;982.0;-897.0
144;599.0;280.0;-268.0
97;317.0;361.0;-100.0
