InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
0;-199.0;-960.0;-37.0;962.0;-140.0;8.0;156.0;58.0
0;-95.0;-836.0;4.0;866.0;-233.0;6.0;422.0;-109.0
1;-294.0;-935.0;-58.0;940.0;-15.0;34.0;60.0;116.0
1;-285.0;-959.0;-2.0;960.0;-21.0;17.0;51.0;108.0
1;-324.0;-957.0;-7.0;957.0;-190.0;19.0;131.0;144.0
9;-329.0;-954.0;-17.0;940.0;-171.0;13.0;132.0;159.0
5;-231.0;-943.0;-37.0;939.0;-33.0;-92.0;-7.0;57.0
22;-312.0;-988.0;59.0;989.0;-194.0;4.0;91.0;163.0
15;-303.0;-965.0;29.0;942.0;-183.0;-126.0;123.0;173.0
41;-320.0;-977.0;59.0;985.0;-23.0;567.0;178.0;115.0
0;-293.0;-952.0;-60.0;934.0;-161.0;25.0;97.0;208.0
5;-317.0;-954.0;-5.0;947.0;-171.0;-26.0;123.0;165.0
-2;-287.0;-966.0;21.0;959.0;-16.0;-7.0;49.0;93.0
22;-225.0;-956.0;-92.0;1014.0;-232.0;59.0;61.0;76.0
-1;-267.0;-959.0;-53.0;959.0;-170.0;53.0;84.0;86.0
3;-271.0;-970.0;-43.0;937.0;-169.0;42.0;81.0;63.0
-5;-243.0;-995.0;-14.0;1005.0;-230.0;55.0;66.0;79.0
-4;-120.0;-976.0;-343.0;1001.0;-143.0;446.0;37.0;-25.0
-1;-241.0;-991.0;11.0;991.0;-245.0;6.0;67.0;84.0
3;-240.0;-977.0;-21.0;996.0;-285.0;14.0;68.0;84.0
-1;-278.0;-961.0;-24.0;938.0;-179.0;34.0;92.0;95.0
-2;-288.0;-966.0;-35.0;959.0;-170.0;4.0;96.0;105.0
1;-288.0;-962.0;-54.0;955.0;-191.0;11.0;105.0;105.0
-3;-282.0;-963.0;-38.0;947.0;-166.0;35.0;113.0;107.0
6;-293.0;-952.0;-143.0;1006.0;-151.0;9.0;115.0;167.0
2;-278.0;-964.0;30.0;960.0;-1.0;-20.0;71.0;115.0
1;-314.0;-856.0;-1.0;837.0;-32.0;-65.0;207.0;128.0
2;-278.0;-969.0;-309.0;947.0;-29.0;338.0;100.0;117.0
0;-270.0;-961.0;-26.0;967.0;-19.0;-65.0;48.0;108.0
576;-206.0;-984.0;-116.0;967.0;-171.0;-148.0;79.0;50.0
-1;-293.0;-953.0;-37.0;958.0;-166.0;21.0;117.0;135.0
0;-302.0;-945.0;-69.0;946.0;-173.0;30.0;117.0;103.0
3;-296.0;-949.0;-13.0;956.0;-176.0;35.0;117.0;126.0
1;-278.0;-1000.0;-35.0;1015.0;-14.0;114.0;43.0;135.0
-17;-241.0;-966.0;-41.0;1010.0;-274.0;-60.0;66.0;89.0
85;-350.0;-1246.0;242.0;1251.0;526.0;182.0;115.0;295.0
-3;-270.0;-998.0;-24.0;1004.0;-1.0;31.0;2.0;125.0
7;-289.0;-946.0;-1.0;943.0;-171.0;23.0;115.0;144.0
9;-291.0;-949.0;32.0;947.0;-179.0;-64.0;117.0;128.0
1;-286.0;-960.0;-21.0;930.0;-179.0;10.0;122.0;119.0
6;-290.0;-949.0;-22.0;930.0;-177.0;18.0;111.0;128.0
4;-302.0;-959.0;-28.0;956.0;-174.0;9.0;133.0;139.0
4;-298.0;-952.0;-41.0;935.0;-174.0;23.0;126.0;124.0
-55;-337.0;-988.0;-242.0;914.0;-50.0;-10.0;242.0;242.0
9;-275.0;-952.0;-94.0;936.0;-174.0;27.0;135.0;75.0
255;-281.0;-980.0;-31.0;986.0;-150.0;32.0;92.0;163.0
-20;-290.0;-938.0;-6.0;969.0;-246.0;-54.0;127.0;107.0
1;-246.0;-992.0;-34.0;996.0;104.0;-13.0;52.0;110.0
-15;-267.0;-908.0;158.0;920.0;-384.0;-103.0;258.0;259.0
21;-316.0;-930.0;234.0;929.0;-156.0;-252.0;120.0;165.0
14;-313.0;-951.0;142.0;939.0;-172.0;-92.0;149.0;135.0
5;-425.0;-930.0;341.0;888.0;-187.0;72.0;159.0;265.0
3;-268.0;-970.0;-30.0;942.0;-29.0;-6.0;55.0;106.0
2;-287.0;-942.0;-13.0;994.0;-10.0;13.0;68.0;117.0
4;-275.0;-875.0;18.0;903.0;-10.0;29.0;185.0;115.0
-4;-218.0;-980.0;121.0;970.0;-43.0;57.0;49.0;103.0
-25;-282.0;-965.0;-18.0;979.0;-30.0;-3.0;116.0;120.0
42;-364.0;-899.0;319.0;867.0;49.0;123.0;349.0;200.0
4;-278.0;-975.0;-70.0;978.0;-4.0;34.0;49.0;108.0
5;-266.0;-973.0;-18.0;980.0;3.0;20.0;115.0;124.0
-681;-218.0;-924.0;-108.0;901.0;64.0;-169.0;109.0;100.0
0;-489.0;-775.0;-29.0;807.0;9.0;301.0;457.0;394.0
-11;-455.0;-834.0;247.0;892.0;-90.0;-28.0;460.0;377.0
-6;-253.0;-699.0;-31.0;893.0;-38.0;4.0;94.0;85.0
1;-289.0;-997.0;-24.0;1004.0;10.0;-108.0;67.0;118.0
32;-268.0;-916.0;252.0;926.0;89.0;-452.0;280.0;195.0
3;-213.0;-960.0;-12.0;955.0;-164.0;26.0;74.0;18.0
-536;-262.0;-976.0;39.0;929.0;232.0;-853.0;9.0;35.0
-1;-271.0;-813.0;-9.0;719.0;-15.0;-329.0;120.0;71.0
20;-224.0;-976.0;-31.0;1006.0;-226.0;-82.0;40.0;52.0
3;-212.0;-963.0;-30.0;974.0;-179.0;-6.0;72.0;15.0
-3;-322.0;-498.0;0.0;539.0;-140.0;54.0;405.0;138.0
-3;-211.0;-949.0;-4.0;949.0;-14.0;2.0;14.0;21.0
1;-197.0;-961.0;12.0;958.0;-168.0;-20.0;80.0;19.0
3;-241.0;-995.0;-20.0;1008.0;-237.0;7.0;62.0;77.0
12;-189.0;-989.0;54.0;1008.0;-272.0;157.0;33.0;81.0
6;-231.0;-970.0;33.0;946.0;-141.0;40.0;96.0;37.0
-2;-219.0;-939.0;3.0;941.0;-159.0;168.0;154.0;50.0
-2;-230.0;-965.0;-29.0;952.0;-157.0;52.0;87.0;59.0
-1;-202.0;-960.0;71.0;917.0;-158.0;169.0;66.0;17.0
2;-96.0;-981.0;227.0;932.0;-199.0;287.0;-72.0;-84.0
12;-295.0;-955.0;-54.0;890.0;-195.0;17.0;110.0;22.0
8;-289.0;-938.0;-25.0;861.0;-159.0;21.0;94.0;163.0
0;-310.0;-931.0;615.0;988.0;-141.0;-979.0;155.0;200.0
6;-294.0;-950.0;-93.0;911.0;-177.0;78.0;118.0;137.0
2;-315.0;-956.0;-17.0;968.0;-171.0;10.0;124.0;145.0
-3;-240.0;-650.0;-28.0;604.0;-110.0;19.0;104.0;63.0
65;-312.0;-993.0;-11.0;990.0;-121.0;92.0;93.0;177.0
3;-301.0;-947.0;-35.0;929.0;-176.0;39.0;130.0;135.0
4;-272.0;-999.0;-4.0;1012.0;2.0;-11.0;3.0;112.0
3;-307.0;-957.0;-18.0;927.0;-182.0;27.0;119.0;125.0
0;-334.0;-901.0;0.0;898.0;-149.0;174.0;202.0;177.0
0;-297.0;-949.0;10.0;928.0;-181.0;-16.0;123.0;136.0
7;-293.0;-947.0;27.0;925.0;-171.0;-36.0;130.0;146.0
-5;-303.0;-959.0;-5.0;943.0;-194.0;-6.0;128.0;141.0
39;-524.0;-546.0;-64.0;601.0;-74.0;-97.0;777.0;547.0
