InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
-167;673.0;54.0;-694.0
126;489.0;597.0;-543.0
-64;440.0;483.0;-354.0
-71;375.0;367.0;-447.0
125;469.0;609.0;-588.0
125;505.0;520.0;-544.0
125;373.0;434.0;-371.0
125;427.0;439.0;-480.0
125;409.0;470.0;-526.0
-73;521.0;598.0;-500.0
-72;663.0;525.0;-338.0
-81;793.0;680.0;-247.0
-73;365.0;405.0;-493.0
147;656.0;756.0;-457.0
87;491.0;291.0;-522.0
87;585.0;426.0;-633.0
86;706.0;553.0;-689.0
67;747.0;665.0;-740.0
96;809.0;614.0;-700.0
86;750.0;611.0;-685.0
86;758.0;564.0;-681.0
125;474.0;535.0;-497.0
125;418.0;384.0;-388.0
29;764.0;627.0;-696.0
125;421.0;324.0;-371.0
10;662.0;741.0;-545.0
125;404.0;493.0;-356.0
-42;303.0;453.0;-337.0
-136;195.0;335.0;-467.0
12;615.0;667.0;-662.0
-57;328.0;342.0;-538.0
-69;595.0;352.0;-557.0
-70;603.0;407.0;-372.0
-69;552.0;514.0;-364.0
-70;642.0;556.0;-338.0
-70;696.0;304.0;-372.0
-69;585.0;456.0;-417.0
-69;671.0;347.0;-492.0
-69;659.0;398.0;-355.0
-69;544.0;489.0;-462.0
134;460.0;593.0;-351.0
129;556.0;651.0;-354.0
123;638.0;551.0;-275.0
-69;694.0;545.0;-472.0
-69;681.0;602.0;-573.0
-69;652.0;556.0;-451.0
-69;713.0;391.0;-474.0
-69;653.0;466.0;-500.0
-94;579.0;582.0;-532.0
-70;498.0;656.0;-426.0
-69;485.0;468.0;-445.0
-84;785.0;536.0;-546.0
-69;349.0;322.0;-543.0
-144;552.0;817.0;-500.0
-84;575.0;624.0;-603.0
-83;567.0;602.0;-719.0
126;535.0;394.0;-315.0
172;433.0;217.0;-593.0
-94;607.0;620.0;-490.0
-95;666.0;674.0;-507.0
-95;700.0;583.0;-534.0
-63;491.0;429.0;-302.0
-62;352.0;367.0;-356.0
-68;304.0;351.0;-430.0
-82;619.0;409.0;-564.0
-82;254.0;455.0;-671.0
139;434.0;696.0;-356.0
-82;608.0;583.0;-410.0
-95;689.0;548.0;-581.0
-95;634.0;435.0;-645.0
-70;469.0;516.0;-375.0
-42;542.0;433.0;-454.0
-53;816.0;615.0;-472.0
