InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2
590.0;715.0;-429.0;395.0;-382.0;472.0;-152.0;-426.0;774.0;-397.0;-570.0;158.0;-594.0
-550.0;-103.0;109.0;-369.0;-401.0;-237.0;-633.0;-568.0;-100.0;171.0;463.0;-708.0;296.0
648.0;640.0;-571.0;447.0;-323.0;-299.0;-68.0;-442.0;-683.0;-550.0;-530.0;-229.0;690.0
376.0;785.0;-631.0;701.0;-555.0;568.0;-456.0;-685.0;664.0;-611.0;-285.0;-277.0;-524.0
-541.0;151.0;-201.0;484.0;-443.0;324.0;-640.0;-567.0;-74.0;-245.0;434.0;-725.0;246.0
-529.0;-145.0;103.0;-427.0;-410.0;-268.0;-606.0;-572.0;-90.0;209.0;474.0;-729.0;306.0
-669.0;-175.0;-175.0;-573.0;-279.0;-131.0;-563.0;-488.0;-225.0;-39.0;486.0;-708.0;363.0
-647.0;8.0;248.0;-394.0;-382.0;-314.0;-605.0;-473.0;-151.0;153.0;459.0;-724.0;296.0
-549.0;-111.0;100.0;-387.0;-404.0;-240.0;-636.0;-566.0;-96.0;174.0;463.0;-708.0;293.0
-556.0;-106.0;102.0;-388.0;-383.0;-251.0;-593.0;-534.0;-113.0;176.0;509.0;-717.0;348.0
-555.0;-151.0;150.0;-452.0;-451.0;-273.0;-637.0;-523.0;-87.0;137.0;465.0;-717.0;271.0
559.0;346.0;-675.0;-337.0;695.0;-285.0;439.0;438.0;417.0;-691.0;-116.0;548.0;-577.0
-546.0;-130.0;78.0;-403.0;-419.0;-253.0;-643.0;-569.0;-89.0;178.0;451.0;-704.0;288.0
-730.0;67.0;-134.0;-328.0;-214.0;-130.0;-503.0;-271.0;-350.0;49.0;590.0;-642.0;460.0
-568.0;-118.0;82.0;-437.0;-398.0;-224.0;-626.0;-579.0;-98.0;195.0;427.0;-722.0;278.0
675.0;-438.0;-441.0;-811.0;477.0;-453.0;516.0;-234.0;371.0;-285.0;-513.0;525.0;-567.0
758.0;-570.0;587.0;-253.0;-205.0;-53.0;153.0;-240.0;646.0;414.0;-571.0;312.0;-680.0
-529.0;-138.0;125.0;-398.0;-430.0;-263.0;-644.0;-582.0;-81.0;188.0;443.0;-709.0;276.0
-564.0;-124.0;101.0;-440.0;-404.0;-222.0;-633.0;-588.0;-91.0;201.0;416.0;-722.0;263.0
-368.0;777.0;-709.0;437.0;582.0;450.0;343.0;659.0;-812.0;-529.0;303.0;194.0;431.0
-684.0;-109.0;109.0;-439.0;-442.0;-293.0;-593.0;-398.0;-93.0;233.0;423.0;-755.0;264.0
244.0;-536.0;579.0;-752.0;557.0;427.0;-637.0;763.0;246.0;531.0;-219.0;-730.0;-39.0
-702.0;-152.0;130.0;-479.0;-458.0;-284.0;-607.0;-369.0;-67.0;258.0;400.0;-753.0;245.0
-547.0;-147.0;128.0;-412.0;-420.0;-242.0;-642.0;-571.0;-81.0;208.0;444.0;-711.0;277.0
-549.0;-143.0;126.0;-408.0;-416.0;-239.0;-641.0;-570.0;-85.0;206.0;448.0;-710.0;279.0
-551.0;-140.0;125.0;-405.0;-413.0;-238.0;-640.0;-569.0;-89.0;206.0;450.0;-710.0;281.0
-553.0;-135.0;126.0;-402.0;-406.0;-233.0;-635.0;-568.0;-95.0;208.0;454.0;-712.0;284.0
-585.0;-96.0;201.0;-458.0;-415.0;-267.0;-633.0;-524.0;-138.0;196.0;460.0;-712.0;271.0
-655.0;-58.0;126.0;-385.0;-358.0;-228.0;-614.0;-435.0;-172.0;191.0;504.0;-706.0;307.0
-769.0;-578.0;388.0;-187.0;121.0;-178.0;-82.0;68.0;-664.0;370.0;625.0;-334.0;664.0
574.0;666.0;-141.0;691.0;558.0;386.0;675.0;566.0;-138.0;-412.0;-196.0;722.0;-64.0
