InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
250.0;-125;104.0;31;1180.0;365.0;221.0;215.0;-31;139.0;381.0;-125;402.0
333.0;-80;228.0;44;1347.0;548.0;283.0;550.0;-44;305.0;607.0;-80;?
467.0;34;319.0;21;1667.0;719.0;214.0;957.0;-21;824.0;1107.0;34;1221.0
468.0;86;298.0;-49;1852.0;841.0;137.0;1314.0;49;1547.0;1704.0;86;1589.0
442.0;10;183.0;-23;2001.0;922.0;?;1640.0;23;2042.0;2075.0;10;1957.0
393.0;6;4.0;-15;2044.0;968.0;9.0;1809.0;15;2269.0;2266.0;6;2257.0
?;31;-167.0;?;2090.0;909.0;-34.0;1733.0;0;2299.0;2350.0;31;?
129.0;84;-183.0;-28;2205.0;?;28.0;1323.0;28;2001.0;2254.0;84;2394.0
-65.0;34;-293.0;-10;1856.0;689.0;249.0;619.0;10;1700.0;2167.0;34;?
-233.0;-11;-348.0;47;1763.0;517.0;497.0;-454.0;-47;1631.0;2165.0;-11;1354.0
-385.0;81;-114.0;-2;1492.0;378.0;516.0;-1347.0;2;1499.0;1986.0;81;745.0
-550.0;46;17.0;0;942.0;277.0;558.0;-1078.0;0;996.0;1885.0;46;499.0
?;29;138.0;15;642.0;175.0;499.0;-259.0;-15;385.0;1629.0;29;353.0
-777.0;27;271.0;25;451.0;158.0;431.0;130.0;-25;-120.0;1253.0;27;417.0
-812.0;-37;265.0;?;388.0;324.0;355.0;305.0;-15;-367.0;884.0;-37;502.0
-661.0;3;208.0;-26;377.0;361.0;261.0;638.0;26;-545.0;161.0;3;573.0
-415.0;51;?;-24;164.0;314.0;-46.0;1373.0;24;-697.0;-58.0;51;890.0
-156.0;24;?;-34;178.0;397.0;-367.0;?;34;-493.0;130.0;24;1139.0
-59.0;?;132.0;-4;105.0;452.0;-537.0;2385.0;4;-152.0;255.0;-18;913.0
62.0;-4;44.0;22;157.0;449.0;-540.0;2161.0;-22;38.0;268.0;-4;557.0
186.0;29;-217.0;4;140.0;322.0;-516.0;1329.0;-4;119.0;188.0;29;311.0
169.0;42;-613.0;46;235.0;231.0;-380.0;472.0;-46;-89.0;34.0;42;-63.0
201.0;41;-925.0;87;32.0;105.0;-210.0;-193.0;-87;-561.0;-174.0;41;-676.0
305.0;35;?;45;148.0;-213.0;-203.0;-445.0;-45;-891.0;-46.0;35;-711.0
254.0;69;-925.0;-8;38.0;-158.0;-207.0;-215.0;8;-794.0;116.0;69;-450.0
230.0;?;-806.0;-11;6.0;-181.0;-238.0;291.0;11;-923.0;-266.0;83;-397.0
221.0;86;-634.0;-18;97.0;-437.0;-247.0;1297.0;18;-501.0;-612.0;86;-42.0
201.0;77;-394.0;-10;77.0;-495.0;-154.0;986.0;10;77.0;-523.0;77;522.0
230.0;7;-266.0;?;34.0;-387.0;-86.0;497.0;-16;408.0;-314.0;7;570.0
208.0;0;-174.0;-26;57.0;-344.0;-63.0;-119.0;26;258.0;-419.0;0;389.0
212.0;22;-93.0;?;14.0;-270.0;-134.0;-534.0;50;-23.0;-464.0;22;163.0
209.0;-6;51.0;?;-104.0;?;-169.0;-525.0;-10;-123.0;-463.0;-6;226.0
167.0;-21;-110.0;35;-126.0;-226.0;-88.0;?;-35;-288.0;-515.0;-21;249.0
62.0;-22;-219.0;6;-34.0;-146.0;-7.0;-588.0;-6;-385.0;-569.0;-22;58.0
-73.0;-55;-160.0;13;-83.0;-144.0;81.0;-1355.0;-13;-194.0;-734.0;-55;26.0
-155.0;-73;-81.0;?;-121.0;-360.0;393.0;?;-31;31.0;-596.0;-73;-186.0
-412.0;-24;-4.0;22;-81.0;-654.0;639.0;-2564.0;-22;390.0;-117.0;-24;-390.0
-522.0;-26;164.0;?;21.0;-1226.0;788.0;-2740.0;-64;52.0;-630.0;-26;68.0
-882.0;-80;143.0;?;-96.0;-1621.0;1223.0;-2934.0;-96;-373.0;-1366.0;-80;-45.0
-1251.0;-48;513.0;55;-87.0;-1953.0;1365.0;-3555.0;-55;-201.0;-1417.0;-48;-487.0
-1504.0;-26;766.0;45;-160.0;-2176.0;1751.0;-4408.0;-45;-82.0;-1543.0;-26;-1148.0
-1943.0;-58;536.0;?;-544.0;-2136.0;1307.0;-5064.0;-52;603.0;-1608.0;-58;-1033.0
-1933.0;-20;-432.0;39;-536.0;-2449.0;841.0;-4637.0;-39;2836.0;-928.0;-20;336.0
-1682.0;-25;-1620.0;36;-510.0;?;?;-2740.0;-36;4076.0;-244.0;-25;?
-1466.0;?;-2351.0;7;506.0;-3644.0;253.0;-864.0;-7;3633.0;-868.0;-30;3157.0
-722.0;42;-2752.0;-23;720.0;-4175.0;-34.0;-1071.0;23;2614.0;-1129.0;42;2910.0
-596.0;35;-2361.0;17;294.0;?;-53.0;-1193.0;-17;2184.0;-2386.0;35;2534.0
-369.0;35;-1836.0;45;97.0;-5099.0;-243.0;-897.0;-45;1711.0;-3240.0;35;2449.0
-376.0;27;-2106.0;12;206.0;-5456.0;-480.0;-1426.0;-12;1971.0;-4125.0;27;2952.0
35.0;-8;-1247.0;-22;315.0;-5878.0;-409.0;-173.0;22;1935.0;-4866.0;-8;?
-18.0;17;?;-21;?;-5394.0;-657.0;-1153.0;21;1056.0;-4786.0;17;3132.0
240.0;21;-1574.0;-23;623.0;-4059.0;-448.0;-1063.0;23;-500.0;-3551.0;21;3310.0
338.0;9;-1226.0;-58;-140.0;-2717.0;-610.0;421.0;58;158.0;-1929.0;9;2952.0
272.0;21;-815.0;-50;-148.0;-1142.0;-327.0;-140.0;50;193.0;-1417.0;21;1918.0
435.0;14;-195.0;12;-328.0;85.0;-39.0;?;-12;-238.0;-397.0;14;889.0
392.0;12;?;9;-332.0;917.0;130.0;702.0;-9;-837.0;527.0;12;290.0
127.0;0;-30.0;22;91.0;-67.0;0.0;3.0;-22;78.0;-113.0;0;-203.0
65.0;-3;-69.0;-10;78.0;78.0;54.0;69.0;10;204.0;-12.0;-3;-164.0
18.0;-24;-104.0;-3;107.0;308.0;104.0;90.0;3;251.0;110.0;-24;-102.0
-10.0;-5;-303.0;35;207.0;363.0;59.0;-369.0;-35;628.0;213.0;-5;-117.0
139.0;-12;-660.0;59;328.0;113.0;15.0;-872.0;-59;853.0;-4.0;-12;38.0
217.0;-61;-786.0;47;192.0;-326.0;15.0;-1042.0;-47;915.0;-521.0;-61;430.0
163.0;-19;-1016.0;22;306.0;-701.0;-78.0;-1316.0;-22;1435.0;-1044.0;-19;523.0
264.0;-5;-1261.0;-6;104.0;-703.0;-135.0;-1892.0;6;2310.0;-1040.0;-5;452.0
412.0;-1;-1582.0;?;229.0;-808.0;-315.0;-2026.0;16;2463.0;-1252.0;-1;348.0
559.0;31;-1958.0;-12;-18.0;-965.0;-452.0;-2124.0;12;2144.0;-1186.0;31;439.0
819.0;28;-2373.0;-15;140.0;-1131.0;-648.0;?;15;2160.0;-1282.0;28;184.0
904.0;10;-2742.0;-33;88.0;-1209.0;-855.0;-2577.0;33;?;-1509.0;10;331.0
1044.0;-3;-3221.0;-53;140.0;-1493.0;-1188.0;-2705.0;53;3515.0;-1526.0;?;476.0
1101.0;43;-3684.0;-47;229.0;-1710.0;-1483.0;-2900.0;47;3038.0;-1988.0;43;773.0
1169.0;62;-4080.0;-40;295.0;?;-1826.0;-2722.0;40;3474.0;-2011.0;62;1323.0
?;30;-4631.0;-26;344.0;-2578.0;-2043.0;-2650.0;26;4509.0;-2496.0;30;1955.0
1034.0;20;-4863.0;-13;561.0;-2879.0;-2048.0;-2738.0;13;4452.0;-2950.0;20;2193.0
1074.0;10;-4614.0;-23;-102.0;-3208.0;-2071.0;-2047.0;23;3946.0;-3158.0;10;2832.0
1100.0;10;-4222.0;-23;-16.0;-3337.0;-1915.0;-1511.0;?;2665.0;-3217.0;10;2862.0
920.0;15;-3722.0;-29;-307.0;-3065.0;-1733.0;-2048.0;29;1295.0;-3027.0;15;2786.0
786.0;28;-3320.0;-31;-343.0;-2384.0;?;-2300.0;31;479.0;-2383.0;28;2659.0
551.0;12;-2875.0;-6;-637.0;-1849.0;-1566.0;-1793.0;6;-1030.0;-1555.0;12;2718.0
291.0;16;-2290.0;-32;-544.0;-1245.0;-1396.0;-968.0;32;-1213.0;-992.0;16;2360.0
260.0;32;-1401.0;?;-581.0;-646.0;-999.0;-29.0;55;613.0;-330.0;32;1667.0
171.0;-28;-784.0;?;-412.0;-401.0;?;292.0;8;813.0;33.0;-28;500.0
10.0;-31;-295.0;-23;134.0;-51.0;-58.0;-307.0;23;?;28.0;-31;22.0
-108.0;6;94.0;-21;108.0;26.0;194.0;-154.0;21;-940.0;?;6;-156.0
-156.0;12;345.0;12;57.0;195.0;341.0;269.0;-12;-281.0;291.0;12;?
-170.0;8;457.0;7;93.0;304.0;296.0;390.0;-7;76.0;251.0;8;-160.0
-128.0;-9;455.0;8;104.0;405.0;225.0;531.0;-8;306.0;318.0;-9;-96.0
-28.0;-7;475.0;-28;6.0;375.0;228.0;774.0;28;125.0;?;-7;-200.0
27.0;-27;580.0;-15;-43.0;435.0;254.0;900.0;15;-572.0;293.0;-27;?
