InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-809;-25.0;35.0;2;18;9;-247;1747.0;-33;91;9;-82.0
-831;409.0;111.0;74;19;-6;-263;906.0;1;65;-6;354.0
-1940;682.0;59.0;116;2;-444;-896;742.0;-986;-1433;-444;352.0
-840;684.0;34.0;12;9;29;-235;811.0;-180;83;29;359.0
-798;861.0;-242.0;-4;16;9;-233;852.0;-6;75;9;392.0
-837;382.0;13.0;53;18;-4;-238;906.0;2;66;-4;355.0
-830;315.0;10.0;11;26;151;-251;880.0;25;57;151;373.0
-844;625.0;-152.0;-4;24;-23;-281;988.0;-86;76;-23;324.0
-755;995.0;15.0;-2;21;15;-317;926.0;-1;81;15;303.0
-816;238.0;-38.0;-11;18;109;-266;907.0;0;57;109;414.0
-719;928.0;-221.0;-5;19;4;-276;884.0;-4;90;4;352.0
-654;946.0;-201.0;-5;22;14;-280;903.0;3;105;14;313.0
-814;248.0;18.0;143;18;0;-284;900.0;21;73;0;389.0
-819;348.0;100.0;-13;8;17;-280;897.0;-181;82;17;319.0
-789;501.0;21.0;20;12;-18;-305;938.0;-135;92;-18;282.0
-297;519.0;97.0;0;18;-1400;-374;1145.0;-374;791;-1400;258.0
-840;409.0;-54.0;53;18;-8;-236;914.0;5;64;-8;389.0
-841;323.0;9.0;4;-2;106;-287;877.0;-242;75;106;465.0
-823;421.0;137.0;74;19;-46;-273;889.0;-3;66;-46;363.0
-774;293.0;9.0;96;16;475;-545;889.0;-343;76;475;349.0
-784;877.0;-219.0;-4;18;20;-255;870.0;0;78;20;372.0
-829;359.0;-307.0;116;22;-13;-234;831.0;18;68;-13;422.0
-826;525.0;148.0;48;20;4;-260;899.0;-5;65;4;362.0
-801;907.0;-263.0;-2;18;-18;-252;888.0;0;72;-18;344.0
-831;710.0;-26.0;6;12;19;-247;797.0;-17;74;19;381.0
-1273;817.0;160.0;11;11;-90;83;1015.0;-619;-142;-90;-80.0
-814;593.0;78.0;-4;24;-91;-292;969.0;43;64;-91;209.0
-788;870.0;-222.0;-4;18;-34;-258;887.0;-3;75;-34;374.0
-826;624.0;44.0;8;12;-23;-266;945.0;4;59;-23;215.0
-834;625.0;83.0;7;12;-9;-245;970.0;-17;65;-9;197.0
-813;609.0;37.0;8;12;25;-259;982.0;10;67;25;172.0
-815;681.0;66.0;9;23;-2;-295;975.0;10;67;-2;14.0
-994;652.0;198.0;121;-60;365;-805;933.0;-1194;562;365;267.0
