InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2
738.0;14.0;394.0;-463.0;-77.0;126.0;306.0;422.0;311.0;382.0;-520.0;876.0;-203.0
-550.0;-108.0;105.0;-383.0;-402.0;-238.0;-635.0;-567.0;-97.0;174.0;463.0;-708.0;293.0
-550.0;-103.0;109.0;-369.0;-401.0;-237.0;-633.0;-568.0;-100.0;171.0;463.0;-708.0;296.0
590.0;715.0;-429.0;395.0;-382.0;472.0;-152.0;-426.0;774.0;-397.0;-570.0;158.0;-594.0
-550.0;-104.0;109.0;-373.0;-400.0;-236.0;-634.0;-568.0;-99.0;172.0;464.0;-708.0;296.0
-589.0;-111.0;85.0;-429.0;-386.0;-225.0;-622.0;-558.0;-98.0;195.0;439.0;-724.0;283.0
-568.0;-146.0;93.0;-460.0;-406.0;-254.0;-629.0;-575.0;-71.0;224.0;426.0;-733.0;248.0
-538.0;-121.0;122.0;-381.0;-420.0;-253.0;-639.0;-576.0;-88.0;181.0;450.0;-711.0;282.0
-549.0;-111.0;100.0;-387.0;-404.0;-240.0;-636.0;-566.0;-96.0;174.0;463.0;-708.0;293.0
-548.0;-115.0;94.0;-391.0;-407.0;-243.0;-637.0;-566.0;-95.0;174.0;462.0;-706.0;293.0
-548.0;-118.0;87.0;-394.0;-409.0;-244.0;-639.0;-566.0;-95.0;173.0;460.0;-705.0;293.0
-546.0;-125.0;77.0;-399.0;-416.0;-249.0;-642.0;-568.0;-91.0;174.0;454.0;-704.0;290.0
-546.0;-130.0;78.0;-403.0;-419.0;-253.0;-643.0;-569.0;-89.0;178.0;451.0;-704.0;288.0
-537.0;-147.0;123.0;-414.0;-421.0;-264.0;-645.0;-585.0;-77.0;215.0;438.0;-714.0;260.0
-532.0;-150.0;137.0;-414.0;-424.0;-268.0;-645.0;-591.0;-73.0;225.0;434.0;-718.0;252.0
-530.0;-153.0;143.0;-416.0;-427.0;-271.0;-645.0;-593.0;-73.0;232.0;431.0;-719.0;249.0
-536.0;-153.0;139.0;-415.0;-420.0;-265.0;-640.0;-590.0;-76.0;233.0;433.0;-722.0;251.0
