InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
-2;-287.0;-993.0;53.0;1003.0;31.0;-173.0;90.0;126.0
885;-303.0;-1337.0;50.0;1127.0;-1041.0;954.0;124.0;-71.0
-7;-267.0;-953.0;41.0;971.0;-114.0;-179.0;315.0;67.0
23;-234.0;-974.0;-3.0;983.0;-130.0;-8.0;134.0;92.0
-3;-225.0;-962.0;73.0;964.0;-130.0;-14.0;177.0;50.0
-21;-42.0;-942.0;-107.0;1014.0;-138.0;-6.0;303.0;-154.0
-1;-197.0;-966.0;-10.0;965.0;-141.0;107.0;159.0;55.0
4;-238.0;-935.0;-14.0;921.0;-167.0;-24.0;199.0;48.0
2;-210.0;-961.0;-34.0;977.0;-151.0;-59.0;168.0;61.0
-6;-209.0;-965.0;-42.0;970.0;-132.0;0.0;165.0;83.0
-3;-333.0;-882.0;-354.0;916.0;-135.0;-1185.0;156.0;147.0
-6;-332.0;-960.0;549.0;997.0;-68.0;205.0;208.0;161.0
-4;-403.0;-932.0;-196.0;949.0;62.0;387.0;377.0;271.0
9;-177.0;-957.0;-3.0;944.0;-160.0;19.0;24.0;-12.0
-10;-60.0;-975.0;-40.0;968.0;-128.0;-176.0;43.0;56.0
1247;-217.0;-967.0;15.0;959.0;-161.0;21.0;134.0;87.0
-252;-298.0;-820.0;-84.0;951.0;9.0;-513.0;59.0;110.0
3;-145.0;-976.0;-368.0;965.0;-154.0;-275.0;18.0;-16.0
-2;-298.0;-1011.0;-2.0;1001.0;-114.0;-30.0;65.0;152.0
2;-286.0;-948.0;-39.0;929.0;-172.0;3.0;136.0;113.0
-11;-224.0;-809.0;19.0;865.0;-201.0;-128.0;-44.0;88.0
-2;-315.0;-902.0;-329.0;958.0;-141.0;151.0;206.0;69.0
-10;-270.0;-956.0;0.0;939.0;-162.0;0.0;132.0;106.0
3;-287.0;-929.0;19.0;949.0;-214.0;-27.0;266.0;143.0
-2;-278.0;-962.0;-35.0;940.0;-167.0;12.0;156.0;106.0
-1;-286.0;-967.0;-47.0;954.0;-180.0;26.0;103.0;99.0
0;-211.0;-968.0;-13.0;962.0;-160.0;23.0;78.0;29.0
14;-320.0;-938.0;87.0;947.0;-168.0;-93.0;142.0;154.0
-3;-280.0;-954.0;-5.0;943.0;-162.0;8.0;148.0;95.0
-6;-272.0;-960.0;-37.0;923.0;-183.0;52.0;146.0;95.0
-3;-273.0;-955.0;-11.0;938.0;-171.0;14.0;135.0;110.0
-4;-249.0;-943.0;65.0;1000.0;-249.0;114.0;165.0;118.0
-1;-275.0;-961.0;-28.0;956.0;-163.0;23.0;142.0;109.0
-3;-274.0;-955.0;-14.0;950.0;-176.0;0.0;142.0;95.0
2;-286.0;-945.0;-72.0;951.0;-171.0;39.0;129.0;91.0
-10;-306.0;-854.0;-8.0;858.0;-19.0;25.0;178.0;140.0
11;-288.0;-940.0;-148.0;949.0;-143.0;-42.0;88.0;169.0
-2;-272.0;-955.0;-28.0;943.0;-161.0;20.0;146.0;110.0
