InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-25;947.0;5.0;-5.0;200.0;-75;-53.0;395;-878.0;52.0
-24;904.0;21.0;12.0;308.0;-17;56.0;350;-863.0;14.0
-27;956.0;-10.0;-33.0;255.0;-125;-23.0;417;-923.0;73.0
-27;979.0;2.0;19.0;276.0;-71;23.0;439;-933.0;-2.0
-29;648.0;12.0;68.0;237.0;-71;-37.0;440;-931.0;10.0
-25;942.0;-40.0;-1.0;238.0;-125;11.0;364;-914.0;42.0
-27;981.0;-56.0;6.0;220.0;-125;-5.0;411;-924.0;55.0
-26;960.0;-40.0;6.0;287.0;-125;10.0;362;-935.0;28.0
-26;909.0;-52.0;34.0;349.0;-124;73.0;381;-941.0;16.0
-25;956.0;0.0;-11.0;217.0;-75;48.0;408;-816.0;0.0
-25;951.0;-30.0;-22.0;201.0;-75;23.0;406;-849.0;41.0
-25;922.0;-63.0;6.0;284.0;-75;-7.0;416;-867.0;-6.0
-35;960.0;-15.0;17.0;430.0;-75;24.0;544;-864.0;18.0
-26;1004.0;-10.0;-2.0;338.0;-74;6.0;432;-913.0;41.0
-25;1011.0;-45.0;-58.0;307.0;-115;-192.0;363;-950.0;155.0
-34;1005.0;15.0;-42.0;308.0;-74;82.0;512;-921.0;93.0
-26;983.0;-18.0;-42.0;295.0;-74;-39.0;422;-919.0;39.0
10;955.0;-45.0;-7.0;336.0;173;-134.0;-238;-923.0;136.0
-24;921.0;-6.0;28.0;328.0;-17;-25.0;348;-873.0;96.0
-19;1022.0;-46.0;-10.0;211.0;127;-50.0;166;-978.0;154.0
-21;1007.0;-8.0;-49.0;200.0;126;-140.0;328;-988.0;75.0
-24;906.0;37.0;10.0;317.0;-16;2.0;359;-876.0;-33.0
-37;1014.0;-12.0;23.0;292.0;-77;51.0;542;-918.0;-9.0
-30;908.0;-93.0;-150.0;422.0;-48;-134.0;355;-913.0;159.0
-27;960.0;-15.0;24.0;218.0;-71;48.0;433;-928.0;69.0
-22;833.0;8.0;-93.0;469.0;-19;-169.0;488;-922.0;10.0
-84;943.0;-63.0;192.0;209.0;38;117.0;541;-952.0;367.0
-27;970.0;-25.0;-10.0;218.0;-71;11.0;428;-943.0;8.0
-27;959.0;6.0;2.0;213.0;-71;3.0;420;-932.0;31.0
-28;924.0;126.0;2.0;466.0;-75;8.0;422;-776.0;63.0
-27;970.0;-10.0;-11.0;216.0;-71;17.0;437;-939.0;34.0
-27;989.0;-33.0;-11.0;214.0;-71;-5.0;428;-934.0;59.0
-34;885.0;-80.0;0.0;347.0;-75;98.0;523;-792.0;-16.0
-25;796.0;-38.0;6.0;182.0;-75;133.0;376;-654.0;-113.0
-29;896.0;6.0;17.0;305.0;-71;-8.0;417;-798.0;-17.0
-27;823.0;-23.0;17.0;347.0;-71;70.0;419;-764.0;-135.0
-29;874.0;-6.0;-7.0;298.0;-71;19.0;413;-817.0;-99.0
-29;866.0;-11.0;6.0;274.0;-71;36.0;417;-804.0;2.0
-29;848.0;-69.0;-54.0;361.0;-71;-139.0;425;-742.0;347.0
-29;880.0;-6.0;6.0;310.0;-71;0.0;416;-820.0;41.0
-29;890.0;10.0;16.0;277.0;-71;-14.0;417;-819.0;-10.0
-25;804.0;-18.0;-11.0;142.0;-75;7.0;375;-655.0;152.0
-26;810.0;31.0;17.0;284.0;-71;-6.0;405;-750.0;39.0
-27;698.0;-13.0;-7.0;476.0;-78;-5.0;426;-653.0;37.0
-27;875.0;-10.0;18.0;318.0;-71;34.0;412;-763.0;72.0
-26;812.0;8.0;-12.0;431.0;-78;7.0;427;-709.0;12.0
-29;899.0;-27.0;17.0;368.0;-71;25.0;413;-818.0;95.0
-29;902.0;17.0;-28.0;343.0;-71;-69.0;419;-811.0;148.0
-34;899.0;-66.0;-5.0;348.0;-75;68.0;518;-803.0;16.0
-25;918.0;-101.0;-88.0;316.0;-75;-58.0;374;-827.0;-22.0
-21;618.0;-347.0;-139.0;239.0;173;-1028.0;352;-580.0;931.0
-29;895.0;-69.0;-23.0;332.0;-71;-25.0;416;-837.0;70.0
-30;946.0;-39.0;10.0;223.0;-71;25.0;449;-941.0;10.0
-25;951.0;-56.0;-54.0;266.0;-75;-101.0;410;-837.0;-91.0
-25;985.0;-18.0;6.0;294.0;-115;15.0;349;-927.0;-336.0
-25;883.0;-71.0;-22.0;247.0;-75;-30.0;377;-782.0;146.0
-25;920.0;-60.0;17.0;322.0;-75;-36.0;375;-868.0;67.0
-21;926.0;257.0;-311.0;253.0;-135;-293.0;326;-822.0;-114.0
-25;928.0;-28.0;-19.0;264.0;-75;70.0;384;-860.0;127.0
-23;940.0;-67.0;18.0;264.0;-14;83.0;345;-889.0;-58.0
-25;971.0;-28.0;-11.0;306.0;-75;-36.0;393;-863.0;126.0
-22;940.0;33.0;-61.0;317.0;8;1.0;371;-947.0;140.0
-20;940.0;-87.0;57.0;142.0;8;44.0;356;-850.0;71.0
-25;922.0;-3.0;4.0;275.0;-75;30.0;381;-837.0;228.0
-25;947.0;-13.0;6.0;223.0;-75;-61.0;391;-918.0;45.0
-27;1024.0;62.0;-13.0;221.0;-16;19.0;353;-957.0;-27.0
-25;981.0;15.0;11.0;266.0;-75;-16.0;389;-917.0;-32.0
-25;998.0;-4.0;-7.0;304.0;-115;-55.0;352;-958.0;-134.0
-23;992.0;85.0;98.0;186.0;-12;-10.0;349;-941.0;-1.0
-21;1041.0;-55.0;86.0;184.0;127;36.0;336;-972.0;15.0
-26;975.0;142.0;79.0;477.0;-15;123.0;402;-1044.0;83.0
