InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-819;507.0;-57.0;-5;25;-22;-240;944.0;1;66;-22;324.0
-792;535.0;-62.0;-5;26;-10;-256;921.0;-9;74;-10;285.0
-854;544.0;-120.0;14;1;55;-214;941.0;-134;80;55;259.0
-778;510.0;-20.0;-5;26;28;-246;915.0;9;74;28;291.0
-776;543.0;-20.0;-5;26;38;-237;916.0;15;78;38;292.0
-780;508.0;-49.0;-5;26;-11;-230;957.0;22;77;-11;285.0
-772;525.0;-20.0;-5;26;-10;-238;946.0;10;83;-10;300.0
-811;1056.0;-18.0;26;16;33;-250;794.0;-32;69;33;539.0
-775;554.0;-37.0;-5;26;-17;-245;947.0;6;77;-17;300.0
-827;576.0;-141.0;18;20;-26;-223;830.0;26;70;-26;479.0
-834;544.0;-212.0;-3;17;-27;-230;913.0;2;65;-27;273.0
-831;594.0;-147.0;-3;17;19;-228;913.0;2;69;19;263.0
-782;501.0;-52.0;-5;26;10;-243;926.0;-1;78;10;301.0
-819;515.0;-9.0;9;23;20;-289;978.0;1;62;20;195.0
-831;613.0;-150.0;-3;17;10;-228;919.0;3;70;10;252.0
-786;493.0;-57.0;-5;26;-13;-246;935.0;-1;79;-13;308.0
-2738;-213.0;-73.0;80;27;283;-1620;308.0;-414;-1993;283;656.0
-820;418.0;-15.0;-54;-2;12;-252;900.0;34;65;12;337.0
-783;493.0;-70.0;-5;26;10;-249;932.0;4;76;10;310.0
-817;531.0;-14.0;19;21;-16;-291;908.0;34;66;-16;245.0
-782;480.0;-71.0;-5;26;32;-258;915.0;-3;74;32;309.0
-787;512.0;-52.0;-5;26;2;-237;929.0;7;72;2;316.0
-782;530.0;-53.0;-5;26;-78;-249;951.0;4;74;-78;303.0
-781;534.0;-40.0;-5;26;-14;-251;944.0;-6;81;-14;298.0
-832;544.0;-161.0;-3;16;24;-230;933.0;1;68;24;254.0
-822;771.0;152.0;4;19;22;-286;975.0;9;63;22;99.0
-796;543.0;-55.0;-5;26;13;-250;935.0;-7;70;13;300.0
-783;486.0;-48.0;-5;26;1;-257;925.0;2;71;1;314.0
-828;562.0;-122.0;17;19;5;-236;912.0;81;73;5;379.0
-926;331.0;9.0;12;13;315;-273;889.0;-427;262;315;307.0
-782;503.0;-40.0;-5;26;6;-243;929.0;0;83;6;295.0
-785;500.0;-47.0;-5;26;40;-248;932.0;-2;81;40;293.0
-838;617.0;-151.0;-3;16;-11;-234;933.0;3;63;-11;236.0
-848;624.0;-141.0;0;16;19;-239;952.0;1;60;19;245.0
-844;623.0;-146.0;0;15;5;-234;947.0;-2;65;5;240.0
-748;671.0;27.0;6;22;-1175;-270;1046.0;42;148;-1175;-22.0
-799;596.0;-80.0;5;25;-32;-271;924.0;0;74;-32;265.0
-603;987.0;46.0;-4;25;-187;-543;994.0;-232;101;-187;243.0
