InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
186.0;-332.0;-418.0;480.0;657.0;487.0;192.0;-569.0;429.0
170.0;-402.0;-402.0;474.0;648.0;484.0;254.0;-567.0;455.0
146.0;-399.0;-381.0;466.0;637.0;476.0;316.0;?;432.0
114.0;-346.0;-355.0;455.0;620.0;467.0;255.0;-565.0;443.0
76.0;-241.0;-325.0;?;604.0;457.0;230.0;-555.0;448.0
?;-169.0;-291.0;414.0;586.0;449.0;115.0;-537.0;408.0
-25.0;-121.0;-249.0;385.0;567.0;444.0;88.0;-514.0;427.0
-79.0;-58.0;-205.0;360.0;555.0;439.0;27.0;-487.0;404.0
-124.0;-34.0;-168.0;337.0;550.0;439.0;11.0;-454.0;399.0
-165.0;50.0;-127.0;320.0;548.0;444.0;-20.0;-420.0;375.0
-191.0;111.0;-95.0;301.0;?;452.0;-104.0;-378.0;?
-209.0;137.0;-70.0;290.0;534.0;459.0;-140.0;-334.0;297.0
-222.0;165.0;-51.0;280.0;521.0;467.0;-178.0;-294.0;280.0
-232.0;148.0;-40.0;267.0;515.0;475.0;-192.0;-256.0;266.0
-246.0;74.0;-27.0;253.0;491.0;481.0;-147.0;-223.0;211.0
-263.0;122.0;?;238.0;468.0;478.0;-38.0;-202.0;190.0
?;52.0;-9.0;220.0;441.0;470.0;-100.0;-194.0;238.0
-305.0;-40.0;-4.0;204.0;420.0;465.0;-114.0;-188.0;233.0
-327.0;-68.0;4.0;189.0;403.0;457.0;-16.0;-180.0;258.0
-336.0;-104.0;9.0;185.0;388.0;449.0;20.0;-170.0;245.0
-340.0;-119.0;?;191.0;383.0;438.0;34.0;-168.0;279.0
-338.0;-129.0;20.0;202.0;391.0;428.0;107.0;-167.0;?
-325.0;-113.0;27.0;222.0;404.0;419.0;117.0;-169.0;331.0
-307.0;-139.0;34.0;248.0;409.0;406.0;57.0;-172.0;?
-295.0;-145.0;39.0;268.0;425.0;?;74.0;-173.0;307.0
-284.0;-57.0;42.0;289.0;440.0;392.0;135.0;?;465.0
-270.0;-93.0;42.0;299.0;460.0;393.0;57.0;-191.0;582.0
-274.0;?;46.0;296.0;470.0;396.0;?;-205.0;493.0
-285.0;-106.0;47.0;291.0;480.0;396.0;54.0;-212.0;327.0
-291.0;-95.0;46.0;288.0;489.0;396.0;54.0;-224.0;277.0
-295.0;-78.0;49.0;288.0;?;398.0;26.0;-235.0;281.0
-296.0;-66.0;45.0;287.0;509.0;398.0;57.0;-245.0;334.0
-299.0;-16.0;44.0;279.0;513.0;398.0;31.0;-258.0;329.0
-299.0;-34.0;44.0;276.0;519.0;403.0;7.0;-270.0;384.0
-299.0;?;42.0;272.0;525.0;418.0;48.0;-281.0;477.0
-299.0;-116.0;38.0;265.0;533.0;434.0;71.0;-296.0;544.0
-301.0;-172.0;36.0;253.0;537.0;464.0;159.0;-300.0;?
-301.0;-32.0;37.0;236.0;555.0;498.0;?;-302.0;652.0
-305.0;-89.0;34.0;216.0;579.0;536.0;211.0;-310.0;?
-301.0;-166.0;?;191.0;588.0;578.0;274.0;-314.0;799.0
-276.0;-249.0;30.0;172.0;585.0;620.0;305.0;-309.0;785.0
-247.0;-393.0;?;151.0;547.0;659.0;399.0;-293.0;880.0
-234.0;-422.0;21.0;115.0;502.0;701.0;565.0;-266.0;1054.0
-257.0;-250.0;23.0;63.0;460.0;738.0;617.0;-233.0;1021.0
-313.0;-296.0;34.0;-26.0;403.0;757.0;460.0;?;964.0
-364.0;-152.0;?;-127.0;347.0;764.0;495.0;-189.0;727.0
-420.0;16.0;87.0;-246.0;284.0;767.0;279.0;-175.0;357.0
-455.0;-216.0;98.0;-317.0;217.0;768.0;175.0;-167.0;233.0
-476.0;-465.0;106.0;-366.0;143.0;770.0;153.0;-157.0;211.0
-514.0;-604.0;107.0;-402.0;64.0;771.0;413.0;-144.0;166.0
-542.0;-1023.0;105.0;-421.0;-10.0;773.0;483.0;-134.0;351.0
-571.0;-1085.0;111.0;-435.0;-68.0;773.0;945.0;-121.0;232.0
-587.0;-903.0;117.0;-439.0;-100.0;777.0;1024.0;-123.0;117.0
