InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
-69;671.0;347.0;-492.0
40;601.0;392.0;-469.0
-48;393.0;430.0;-289.0
97;560.0;525.0;-417.0
44;646.0;517.0;-562.0
-138;504.0;481.0;-504.0
97;564.0;560.0;-472.0
139;601.0;574.0;-353.0
97;519.0;394.0;-407.0
-73;521.0;598.0;-500.0
97;536.0;482.0;-347.0
97;547.0;438.0;-430.0
125;595.0;576.0;-551.0
-59;793.0;826.0;-726.0
125;507.0;544.0;-355.0
125;518.0;459.0;-353.0
125;503.0;437.0;-376.0
140;387.0;366.0;-365.0
-61;437.0;747.0;-503.0
140;637.0;388.0;-373.0
125;491.0;356.0;-425.0
143;559.0;329.0;-446.0
39;643.0;600.0;-595.0
74;654.0;528.0;-704.0
153;808.0;484.0;-466.0
-91;655.0;573.0;-581.0
125;544.0;675.0;-542.0
2;556.0;520.0;-509.0
3;528.0;381.0;-480.0
115;483.0;613.0;-652.0
3;652.0;527.0;-536.0
125;587.0;501.0;-538.0
-57;618.0;355.0;-382.0
-57;560.0;500.0;-325.0
140;510.0;443.0;-623.0
99;481.0;469.0;-481.0
-69;585.0;456.0;-417.0
98;263.0;270.0;-580.0
115;562.0;433.0;-437.0
-69;544.0;489.0;-462.0
11;578.0;563.0;-656.0
2;512.0;484.0;-513.0
22;490.0;486.0;-450.0
-69;694.0;545.0;-472.0
-58;752.0;615.0;-616.0
-96;612.0;616.0;-348.0
88;731.0;650.0;-824.0
-69;653.0;466.0;-500.0
-94;579.0;582.0;-532.0
115;461.0;463.0;-402.0
-69;485.0;468.0;-445.0
97;614.0;440.0;-373.0
99;580.0;508.0;-562.0
140;809.0;490.0;-792.0
-31;529.0;545.0;-374.0
98;986.0;1019.0;-561.0
-4;737.0;725.0;-657.0
-149;174.0;208.0;-210.0
-94;607.0;620.0;-490.0
-153;550.0;391.0;-505.0
-100;944.0;800.0;-632.0
-153;207.0;229.0;14.0
-107;662.0;453.0;-421.0
-101;721.0;535.0;-534.0
-100;596.0;361.0;-658.0
-59;655.0;550.0;-571.0
-84;575.0;624.0;-603.0
-81;793.0;680.0;-247.0
-95;689.0;548.0;-581.0
-112;654.0;484.0;-472.0
-70;469.0;516.0;-375.0
-42;542.0;433.0;-454.0
-101;657.0;530.0;-443.0
-101;555.0;615.0;-465.0
-121;500.0;490.0;-458.0
-131;435.0;457.0;-704.0
-145;816.0;607.0;-658.0
-121;652.0;578.0;-512.0
-121;658.0;485.0;-466.0
-124;727.0;695.0;-677.0
-153;644.0;584.0;-479.0
-81;698.0;397.0;-496.0
161;419.0;340.0;-557.0
-97;456.0;437.0;-390.0
177;700.0;550.0;-565.0
87;414.0;521.0;-354.0
73;606.0;585.0;-607.0
116;870.0;862.0;-744.0
-57;473.0;540.0;-509.0
85;610.0;577.0;-573.0
100;570.0;648.0;-676.0
145;601.0;671.0;-626.0
-133;520.0;582.0;-303.0
110;484.0;534.0;-471.0
-67;621.0;611.0;-486.0
-1;647.0;571.0;-530.0
-102;576.0;519.0;-489.0
-55;516.0;496.0;-1055.0
110;484.0;523.0;-484.0
146;524.0;568.0;-535.0
-148;530.0;326.0;-376.0
-173;349.0;425.0;-197.0
110;524.0;526.0;-555.0
-153;598.0;533.0;-110.0
55;378.0;804.0;-356.0
-113;376.0;275.0;-407.0
174;633.0;448.0;-477.0
139;508.0;447.0;-442.0
-53;674.0;605.0;-540.0
-112;665.0;522.0;-668.0
115;278.0;332.0;61.0
-29;698.0;568.0;-668.0
0;723.0;459.0;-617.0
144;679.0;454.0;-527.0
46;580.0;705.0;-757.0
56;562.0;594.0;-562.0
57;632.0;442.0;-433.0
36;535.0;536.0;-547.0
175;684.0;559.0;-456.0
-38;474.0;512.0;-504.0
-168;225.0;76.0;-555.0
35;510.0;552.0;-515.0
-118;192.0;550.0;-381.0
41;390.0;667.0;-492.0
42;612.0;619.0;-604.0
35;569.0;506.0;-513.0
144;602.0;477.0;-461.0
-81;659.0;470.0;-578.0
-92;493.0;537.0;-511.0
116;659.0;655.0;-575.0
-96;521.0;540.0;-380.0
42;462.0;599.0;-594.0
35;579.0;525.0;-532.0
-109;523.0;486.0;-447.0
-88;954.0;994.0;-767.0
97;250.0;512.0;-219.0
102;538.0;567.0;-464.0
97;586.0;656.0;-379.0
101;519.0;563.0;-469.0
116;577.0;622.0;-519.0
-3;605.0;732.0;-567.0
102;624.0;576.0;-559.0
84;631.0;513.0;-465.0
35;530.0;621.0;-493.0
-14;604.0;527.0;-625.0
-42;683.0;464.0;-607.0
-81;390.0;385.0;-771.0
-18;547.0;493.0;-523.0
32;497.0;563.0;-457.0
-4;518.0;622.0;-642.0
32;437.0;497.0;-404.0
-57;466.0;835.0;-347.0
3;262.0;3.0;-96.0
-57;462.0;538.0;-363.0
81;642.0;591.0;-580.0
57;751.0;897.0;-768.0
174;621.0;473.0;-427.0
-152;-607.0;-831.0;756.0
-161;431.0;464.0;25.0
-57;444.0;688.0;-343.0
-44;546.0;640.0;-558.0
175;589.0;527.0;-510.0
-55;688.0;526.0;-601.0
125;480.0;593.0;-373.0
-57;522.0;478.0;-419.0
139;545.0;666.0;-405.0
104;623.0;553.0;-444.0
119;704.0;615.0;-507.0
-27;539.0;203.0;-30.0
99;641.0;550.0;-623.0
-57;479.0;475.0;-439.0
-57;668.0;636.0;-594.0
55;336.0;602.0;-365.0
145;571.0;427.0;-647.0
-57;628.0;312.0;-430.0
118;508.0;409.0;-488.0
-81;472.0;288.0;-220.0
-45;676.0;305.0;-288.0
118;640.0;580.0;-504.0
-7;478.0;447.0;-436.0
118;630.0;433.0;-451.0
139;647.0;520.0;-379.0
-7;492.0;451.0;-439.0
-7;548.0;418.0;-478.0
58;358.0;443.0;-658.0
-37;656.0;706.0;-486.0
144;505.0;587.0;-319.0
125;586.0;386.0;-344.0
167;363.0;161.0;-461.0
167;425.0;306.0;-448.0
-98;408.0;400.0;-518.0
-82;678.0;386.0;-577.0
125;486.0;368.0;-361.0
135;611.0;778.0;-541.0
126;-120.0;260.0;131.0
-81;850.0;451.0;-319.0
174;594.0;454.0;-391.0
-132;597.0;581.0;-521.0
-101;718.0;237.0;-604.0
-121;942.0;314.0;-543.0
-115;769.0;419.0;-615.0
56;893.0;882.0;-1070.0
34;774.0;611.0;-712.0
125;480.0;474.0;-292.0
145;734.0;332.0;-438.0
112;745.0;773.0;-698.0
-55;690.0;653.0;-782.0
-68;872.0;803.0;-815.0
-54;829.0;230.0;-776.0
-57;349.0;144.0;-164.0
-57;581.0;290.0;-448.0
-152;182.0;-132.0;53.0
145;615.0;136.0;-509.0
97;184.0;-176.0;-106.0
-140;547.0;701.0;-402.0
-121;602.0;606.0;-513.0
85;301.0;581.0;-572.0
125;505.0;520.0;-544.0
-166;14.0;417.0;476.0
-99;790.0;316.0;-652.0
156;693.0;799.0;-434.0
-150;578.0;510.0;-420.0
144;804.0;198.0;-760.0
-158;628.0;807.0;101.0
97;420.0;19.0;-183.0
139;534.0;150.0;-340.0
144;579.0;257.0;-465.0
57;657.0;582.0;-1256.0
-53;977.0;291.0;-910.0
145;663.0;249.0;-591.0
-166;-251.0;63.0;449.0
109;969.0;949.0;-902.0
155;708.0;6.0;-485.0
-94;971.0;892.0;-905.0
-81;326.0;754.0;-745.0
84;382.0;647.0;-403.0
-30;380.0;-105.0;-467.0
126;489.0;294.0;-372.0
-83;733.0;825.0;-576.0
-81;601.0;539.0;-858.0
12;1304.0;1414.0;-1087.0
-9;645.0;700.0;-966.0
135;480.0;317.0;-844.0
161;786.0;433.0;-548.0
145;431.0;547.0;-462.0
145;623.0;378.0;-444.0
-126;466.0;515.0;-465.0
-47;-150.0;-623.0;205.0
143;534.0;796.0;-471.0
-81;872.0;599.0;-500.0
144;770.0;537.0;-592.0
139;863.0;632.0;-176.0
144;659.0;381.0;-525.0
144;644.0;309.0;-480.0
-57;712.0;-19.0;-806.0
39;702.0;954.0;-347.0
129;553.0;683.0;-483.0
144;760.0;365.0;-638.0
-25;621.0;123.0;-430.0
144;543.0;33.0;-539.0
129;815.0;806.0;-479.0
-53;823.0;474.0;-757.0
-99;877.0;446.0;-554.0
-123;685.0;565.0;-504.0
147;525.0;638.0;-590.0
125;478.0;370.0;-303.0
-91;609.0;573.0;-735.0
125;409.0;470.0;-526.0
0;1169.0;1202.0;-784.0
-81;997.0;509.0;-800.0
39;983.0;1349.0;-285.0
-63;823.0;588.0;-1056.0
-160;104.0;56.0;-84.0
128;10.0;447.0;-20.0
126;889.0;798.0;-845.0
-81;773.0;392.0;-295.0
-57;608.0;313.0;-472.0
143;313.0;208.0;-219.0
97;647.0;400.0;-238.0
14;1122.0;1106.0;-1096.0
-164;-65.0;-46.0;194.0
-92;449.0;594.0;-442.0
141;343.0;391.0;-162.0
-2;611.0;1000.0;-660.0
-123;630.0;713.0;-471.0
118;744.0;718.0;-591.0
-114;884.0;130.0;-653.0
143;532.0;521.0;-831.0
-123;548.0;609.0;-522.0
-81;540.0;209.0;-681.0
149;543.0;379.0;-309.0
97;402.0;687.0;-239.0
-94;972.0;870.0;-356.0
145;643.0;431.0;-424.0
-57;813.0;-304.0;-632.0
140;425.0;322.0;-276.0
-63;928.0;672.0;-794.0
97;543.0;754.0;-152.0
-157;-217.0;-290.0;361.0
-99;705.0;308.0;-806.0
