Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
116.0;158.0;64.0;-124.0;289.0;287.0;-30;-123.0;197.0;295.0;105.0;383.0
134.0;155.0;66.0;-92.0;296.0;246.0;-29;-142.0;171.0;279.0;45.0;376.0
-188.0;359.0;-58.0;-41.0;176.0;747.0;-28;31.0;172.0;648.0;0.0;376.0
-2.0;66.0;-255.0;-171.0;288.0;359.0;-34;-349.0;148.0;322.0;51.0;942.0
100.0;-16.0;240.0;-205.0;210.0;340.0;-75;-438.0;334.0;443.0;73.0;545.0
-513.0;-256.0;-118.0;-656.0;279.0;562.0;-29;29.0;0.0;670.0;502.0;318.0
-154.0;212.0;93.0;-127.0;148.0;400.0;-32;5.0;74.0;581.0;-151.0;306.0
-679.0;401.0;327.0;213.0;-462.0;704.0;-42;103.0;316.0;891.0;-538.0;418.0
-170.0;527.0;453.0;485.0;-507.0;557.0;-35;169.0;575.0;726.0;-529.0;193.0
115.0;-213.0;-402.0;-392.0;185.0;-92.0;-34;-111.0;-362.0;233.0;79.0;319.0
354.0;-470.0;552.0;-576.0;25.0;246.0;-35;226.0;646.0;535.0;793.0;-224.0
85.0;157.0;47.0;-107.0;304.0;244.0;-29;-143.0;150.0;260.0;84.0;373.0
244.0;67.0;342.0;-165.0;-206.0;242.0;-35;196.0;574.0;576.0;61.0;13.0
-42.0;276.0;136.0;9.0;-12.0;369.0;-37;179.0;162.0;550.0;-5.0;401.0
54.0;-4.0;-70.0;-149.0;172.0;401.0;-23;-224.0;121.0;325.0;208.0;333.0
496.0;-127.0;-56.0;-10.0;14.0;379.0;-74;-126.0;199.0;524.0;148.0;266.0
20.0;349.0;7.0;82.0;546.0;429.0;-29;-380.0;119.0;453.0;-275.0;110.0
315.0;270.0;176.0;89.0;553.0;317.0;-27;-449.0;192.0;584.0;-325.0;303.0
38.0;247.0;-43.0;27.0;383.0;362.0;-23;-323.0;78.0;325.0;-41.0;366.0
143.0;150.0;38.0;-23.0;592.0;177.0;-27;-286.0;79.0;375.0;62.0;310.0
-172.0;192.0;-18.0;39.0;556.0;413.0;-27;-299.0;93.0;414.0;-139.0;352.0
225.0;-180.0;-160.0;-516.0;399.0;266.0;-36;-710.0;14.0;352.0;339.0;641.0
-612.0;199.0;530.0;-17.0;-676.0;798.0;-43;337.0;725.0;873.0;20.0;-275.0
