InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
56;323;34;162;323;-101;31;-932;-56;323;25;31
-198;605;-456;38;141;367;36;-1079;198;141;-207;36
-336;300;-217;146;30;183;715;-828;336;30;139;715
-57;372;-109;114;-382;65;959;-938;57;-382;1;959
-297;?;-154;-154;-591;77;1329;-1076;297;-591;-291;1329
-482;710;-215;?;-637;147;1582;-887;482;?;-104;1582
-132;332;-189;93;-106;143;453;-855;?;-106;93;453
434;303;-143;106;25;101;-310;-844;-434;25;116;-310
467;483;-107;-55;-70;54;-110;-799;-467;-70;73;-110
83;489;-19;-9;151;-44;-119;-896;-83;151;-22;-119
15;493;18;-6;-92;-84;-62;-905;-15;-92;-33;-62
15;488;56;-7;-115;-125;-49;-895;-15;-115;-25;-49
7;499;71;-9;65;-142;?;-912;-7;65;-47;20
32;479;?;3;?;-59;38;-894;-32;?;-16;38
-31;465;-42;13;-51;-22;-105;-886;31;-51;0;-105
-31;482;17;-7;-182;-87;-115;-880;31;-182;-6;-115
5;472;29;9;-131;-108;-63;-900;-5;-131;-20;-63
-27;488;11;-5;-92;-95;-32;-900;27;-92;-28;-32
42;469;60;-1;1;-146;-48;-879;-42;1;-6;-48
93;535;115;-16;99;-207;102;-970;-93;99;-121;102
-269;513;60;-15;322;-140;90;-929;269;322;-69;90
-397;366;-47;35;357;-8;-122;-768;?;357;152;-122
?;417;-48;9;-4;-10;?;-822;-28;-4;80;-33
204;482;21;-20;-84;-86;41;-884;-204;-84;-11;41
235;493;21;-18;-98;-92;-38;-888;-235;-98;-20;-38
277;523;22;-24;-158;-99;-39;-917;-277;-158;-60;-39
125;507;44;-13;-33;-122;-13;-905;-125;-33;-44;-13
36;491;42;-2;37;-118;?;-892;-36;37;-24;2
38;492;42;-2;37;-118;2;-892;-38;37;-24;2
11;483;28;4;-17;-105;-15;-891;-11;-17;-18;-15
-30;476;20;9;-51;-99;-18;-889;30;-51;-13;-18
12;485;7;2;-14;-88;-1;-892;-12;-14;-19;-1
16;491;8;-2;21;-90;-2;-894;-16;21;-24;-2
-3;490;27;-3;24;-109;-9;-892;3;24;-23;-9
38;491;7;-2;15;-90;0;-894;-38;15;-23;0
-16;487;6;3;4;-89;-4;-894;16;4;-22;?
-4;484;14;2;-25;-96;-19;-887;4;-25;-15;-19
30;487;13;0;-10;-97;-16;-888;-30;-10;-18;-16
18;490;17;2;31;?;-7;-894;-18;31;-25;-7
37;491;8;-1;23;-93;12;-890;-37;23;-20;12
16;488;12;1;13;-96;15;-888;-16;13;-17;?
64;485;17;3;25;-102;-18;-889;-64;25;-18;-18
