InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
1;572;-7;-2;-5;-23;18;-843;-1;-5;-18;18
16;586;-4;-2;3;-8;-18;-837;-16;3;-22;-18
-6;586;1;6;-6;-8;-9;-840;6;-6;-24;-9
19;568;-3;3;-8;-19;-10;-852;-19;-8;-25;-10
10;585;0;3;-4;-6;20;-840;-10;-4;-24;20
6;619;-3;3;-4;15;-6;-814;-6;-4;-23;-6
14;580;4;0;-14;-13;-48;-844;-14;-14;-24;-48
3;569;0;4;-14;-24;8;-842;-3;-14;-17;8
13;588;-4;0;-4;-5;-3;-834;-13;-4;-20;-3
7;575;4;-3;-3;-6;2;-845;-7;-3;-22;2
1;594;-1;-5;5;7;10;-832;-1;5;-23;10
12;481;-63;-187;42;-122;-2;-881;-12;42;8;-2
-38;575;-1;3;7;-19;6;-842;38;7;-20;6
13;585;-1;4;3;-6;0;-839;-13;3;-23;0
5;569;3;3;23;-24;13;-840;-5;23;-14;13
8;583;0;-2;6;-16;-12;-837;-8;6;-20;-12
13;580;8;3;9;-14;14;-846;-13;9;-26;14
-3;593;3;4;0;-11;19;-831;3;0;-21;19
2188;553;-81;120;492;-93;521;-882;-2188;492;-36;521
-18;578;-1;-3;13;-21;18;-842;18;13;-22;18
-47;128;-42;-21;-129;727;-41;-713;47;-129;-25;-41
498;1044;-1008;-444;457;573;96;-11;-498;457;556;96
36;567;-5;-1;20;-37;-2;-854;-36;20;-26;-2
20;579;0;-1;-1;-12;3;-840;-20;-1;-21;3
23;620;0;2;14;23;2;-809;-23;14;-20;2
-3;591;3;4;13;1;7;-830;3;13;-18;7
13;584;-3;-1;-8;-10;-6;-841;-13;-8;-24;-6
-10;567;-3;0;-21;-20;-48;-846;10;-21;-19;-48
-9;601;4;5;-14;-5;-3;-828;9;-14;-23;-3
13;592;2;7;7;-1;-8;-832;-13;7;-21;-8
227;491;9;-20;802;-108;-1003;-857;-227;802;6;-1003
-12;589;2;1;6;-8;3;-831;12;6;-18;3
4;569;-1;1;3;-22;-7;-846;-4;3;-19;-7
2;583;2;-1;6;-9;18;-837;-2;6;-20;18
-1;592;3;0;34;-7;-5;-836;1;34;-24;-5
21;590;1;5;0;-14;22;-832;-21;0;-20;22
3;578;0;2;10;-8;3;-840;-3;10;-19;3
-14;526;-86;-280;-28;-65;-37;-877;14;-28;19;-37
-12;494;-25;-20;10;11;-4;-892;12;10;-20;-4
9;475;2;2;-12;-72;15;-897;-9;-12;-18;15
-6;524;-2;-2;-16;-46;10;-872;6;-16;-18;10
-1602;665;-59;111;568;134;-1708;-834;1602;568;-69;-1708
21;481;5;-7;-8;-58;22;-896;-21;-8;-18;22
7;575;-2;5;5;-16;10;-843;-7;5;-20;10
-7;566;-4;-2;10;-20;1;-848;7;10;-20;1
138;497;-17;10;-15;-50;-16;-890;-138;-15;-21;-16
-23;506;92;34;8;-65;-17;-888;23;8;-20;-17
5;576;0;1;23;-11;0;-841;-5;23;-20;0
30;486;-8;6;-73;-80;-52;-885;-30;-73;-13;-52
-6;509;12;4;6;-40;11;-871;6;6;-9;11
-1123;459;-110;56;9;1;-536;-827;1123;9;64;-536
-8;574;2;-4;8;-17;11;-849;8;8;-25;11
17;578;2;-1;16;-8;-6;-843;-17;16;-22;-6
46;574;4;-3;27;-18;29;-843;-46;27;-20;29
