InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2
762.0;398.0;-331.0;146.0;-112.0;138.0;157.0;-43.0;579.0;-442.0;-636.0;359.0;-716.0
763.0;392.0;?;143.0;-100.0;127.0;172.0;-33.0;571.0;?;-638.0;375.0;-710.0
764.0;383.0;-319.0;136.0;-83.0;108.0;192.0;-17.0;562.0;-427.0;-640.0;393.0;-702.0
764.0;367.0;-300.0;121.0;-62.0;84.0;214.0;3.0;552.0;-410.0;-642.0;413.0;-692.0
765.0;349.0;-275.0;100.0;-36.0;57.0;237.0;?;540.0;-389.0;-642.0;432.0;-682.0
766.0;328.0;-249.0;73.0;-8.0;28.0;262.0;51.0;525.0;-364.0;-641.0;451.0;-672.0
770.0;305.0;-225.0;41.0;?;0.0;287.0;77.0;511.0;-337.0;-632.0;469.0;-661.0
777.0;282.0;-206.0;9.0;53.0;-21.0;314.0;98.0;496.0;-312.0;-619.0;486.0;-647.0
785.0;257.0;-194.0;-23.0;82.0;-33.0;339.0;111.0;482.0;?;-604.0;500.0;-635.0
796.0;232.0;-185.0;-58.0;105.0;?;361.0;114.0;470.0;-266.0;-586.0;513.0;-622.0
?;206.0;-181.0;-94.0;118.0;-17.0;378.0;112.0;460.0;-244.0;-568.0;523.0;-609.0
815.0;180.0;-185.0;-130.0;130.0;-9.0;390.0;106.0;453.0;-224.0;-555.0;530.0;?
819.0;155.0;-197.0;-161.0;140.0;-14.0;398.0;98.0;449.0;-207.0;-547.0;535.0;-595.0
819.0;132.0;-215.0;-187.0;150.0;?;404.0;92.0;445.0;-197.0;-546.0;538.0;-591.0
815.0;?;-231.0;-208.0;161.0;-40.0;409.0;89.0;440.0;?;-550.0;540.0;-590.0
807.0;101.0;-246.0;-224.0;171.0;-56.0;413.0;89.0;437.0;-194.0;-558.0;543.0;-586.0
795.0;95.0;-260.0;-235.0;183.0;?;415.0;98.0;437.0;-197.0;-570.0;545.0;-583.0
781.0;91.0;-267.0;-244.0;?;?;419.0;112.0;434.0;-195.0;-583.0;544.0;-583.0
768.0;85.0;-266.0;-251.0;204.0;?;422.0;?;431.0;?;-595.0;544.0;-584.0
756.0;81.0;-256.0;?;208.0;-173.0;425.0;132.0;428.0;-187.0;-606.0;544.0;-583.0
743.0;79.0;-242.0;-250.0;209.0;?;428.0;136.0;426.0;-183.0;-621.0;?;-582.0
731.0;79.0;-226.0;-238.0;207.0;-178.0;432.0;133.0;423.0;-181.0;-636.0;545.0;-581.0
725.0;81.0;-212.0;-215.0;198.0;-159.0;435.0;122.0;421.0;-181.0;-648.0;544.0;-582.0
720.0;82.0;?;-186.0;188.0;-136.0;438.0;?;418.0;-179.0;-658.0;543.0;-581.0
715.0;82.0;-196.0;-159.0;182.0;-116.0;440.0;110.0;416.0;-174.0;-666.0;543.0;-582.0
713.0;87.0;-195.0;-135.0;174.0;-105.0;442.0;109.0;415.0;-172.0;-670.0;542.0;?
713.0;97.0;-192.0;-116.0;170.0;-112.0;443.0;113.0;415.0;-176.0;-671.0;543.0;-581.0
714.0;105.0;-185.0;-105.0;175.0;-120.0;443.0;?;414.0;-180.0;-667.0;544.0;-580.0
715.0;111.0;-176.0;-101.0;180.0;-124.0;444.0;127.0;414.0;-180.0;-663.0;544.0;-579.0
716.0;118.0;-169.0;-96.0;183.0;-122.0;445.0;133.0;415.0;-183.0;-660.0;545.0;-577.0
718.0;125.0;-167.0;-90.0;182.0;-115.0;444.0;138.0;416.0;-185.0;?;546.0;-576.0
721.0;133.0;-168.0;-86.0;182.0;-108.0;444.0;144.0;416.0;-187.0;-653.0;545.0;-577.0
725.0;?;-172.0;-82.0;183.0;-102.0;444.0;148.0;418.0;-189.0;-647.0;544.0;-577.0
734.0;149.0;-181.0;-82.0;182.0;-92.0;443.0;149.0;419.0;-193.0;-637.0;544.0;-576.0
747.0;158.0;-191.0;-89.0;180.0;-73.0;443.0;152.0;420.0;-200.0;-621.0;544.0;-575.0
765.0;166.0;?;-102.0;178.0;-45.0;442.0;150.0;422.0;-205.0;-601.0;543.0;-576.0
789.0;167.0;-213.0;-124.0;175.0;-13.0;442.0;143.0;422.0;-207.0;-572.0;542.0;-576.0
813.0;174.0;-234.0;-148.0;177.0;18.0;443.0;140.0;422.0;-214.0;-537.0;543.0;?
839.0;183.0;-265.0;-170.0;182.0;50.0;442.0;129.0;423.0;-234.0;-496.0;543.0;-576.0
868.0;190.0;-299.0;-201.0;?;84.0;441.0;114.0;423.0;-258.0;-450.0;542.0;-577.0
?;194.0;-335.0;-239.0;170.0;127.0;439.0;87.0;424.0;-284.0;?;541.0;-579.0
921.0;195.0;-359.0;-284.0;156.0;176.0;436.0;72.0;429.0;-312.0;-350.0;533.0;-584.0
938.0;191.0;-352.0;-341.0;157.0;218.0;438.0;76.0;434.0;-329.0;-301.0;521.0;-591.0
945.0;187.0;-326.0;?;188.0;231.0;443.0;99.0;437.0;-333.0;-250.0;509.0;-594.0
942.0;188.0;-301.0;-425.0;236.0;212.0;453.0;117.0;432.0;?;-209.0;511.0;-589.0
934.0;200.0;-295.0;-444.0;281.0;191.0;?;134.0;420.0;-367.0;?;514.0;-586.0
926.0;220.0;-299.0;?;316.0;167.0;472.0;152.0;413.0;-406.0;-137.0;513.0;-586.0
913.0;239.0;-313.0;-455.0;355.0;138.0;476.0;166.0;411.0;-460.0;-117.0;515.0;-583.0
?;258.0;-325.0;-448.0;398.0;114.0;475.0;184.0;409.0;-523.0;?;521.0;-579.0
867.0;279.0;-338.0;-428.0;449.0;?;472.0;204.0;408.0;-588.0;-71.0;531.0;-573.0
838.0;295.0;-362.0;-387.0;498.0;61.0;470.0;215.0;406.0;-644.0;-59.0;541.0;-567.0
807.0;305.0;-394.0;-359.0;543.0;44.0;473.0;229.0;399.0;-681.0;-37.0;?;-564.0
776.0;307.0;-411.0;-330.0;585.0;7.0;?;237.0;400.0;-701.0;-25.0;547.0;-564.0
755.0;310.0;-417.0;-312.0;611.0;?;472.0;240.0;?;-713.0;-17.0;548.0;-563.0
745.0;310.0;-422.0;-306.0;624.0;-36.0;470.0;234.0;402.0;-716.0;-17.0;546.0;-565.0
742.0;305.0;-429.0;-313.0;631.0;-53.0;468.0;223.0;406.0;-712.0;-22.0;545.0;-566.0
638.0;-458.0;-574.0;-783.0;448.0;-506.0;529.0;-355.0;?;-319.0;-516.0;425.0;-622.0
640.0;-457.0;-571.0;-786.0;447.0;-502.0;?;-356.0;389.0;-320.0;-513.0;427.0;-622.0
644.0;-457.0;-564.0;-793.0;448.0;-496.0;529.0;-356.0;388.0;-320.0;-508.0;?;-621.0
653.0;-457.0;-552.0;-804.0;448.0;?;528.0;-352.0;387.0;-321.0;-499.0;434.0;-618.0
665.0;-452.0;-542.0;-815.0;452.0;-473.0;528.0;-343.0;386.0;-323.0;-487.0;441.0;-614.0
677.0;-436.0;-537.0;-821.0;462.0;-460.0;525.0;-327.0;387.0;-332.0;-470.0;450.0;-610.0
694.0;-412.0;-538.0;-825.0;475.0;-445.0;521.0;-304.0;390.0;?;-448.0;462.0;-603.0
712.0;-381.0;-540.0;-829.0;489.0;-425.0;517.0;-276.0;394.0;-374.0;-422.0;468.0;-599.0
730.0;-345.0;-542.0;-829.0;502.0;-403.0;512.0;-244.0;398.0;-398.0;-394.0;477.0;-594.0
748.0;-304.0;-544.0;-825.0;514.0;-379.0;506.0;-207.0;401.0;-421.0;-365.0;483.0;-591.0
767.0;-256.0;-548.0;-815.0;522.0;-352.0;500.0;-167.0;404.0;-443.0;-334.0;?;-588.0
782.0;-203.0;-549.0;-802.0;529.0;-323.0;496.0;-122.0;406.0;-465.0;-306.0;494.0;-588.0
793.0;-146.0;-549.0;-783.0;535.0;-297.0;492.0;-73.0;406.0;-486.0;-282.0;500.0;-585.0
?;-85.0;-553.0;-756.0;542.0;-271.0;489.0;-19.0;406.0;-510.0;-260.0;507.0;-582.0
796.0;-22.0;-555.0;-725.0;553.0;-253.0;489.0;41.0;403.0;-532.0;-243.0;512.0;-580.0
781.0;43.0;-553.0;-685.0;571.0;-243.0;488.0;103.0;401.0;-557.0;-230.0;520.0;-575.0
763.0;107.0;-552.0;-636.0;587.0;-239.0;487.0;165.0;396.0;-587.0;-215.0;532.0;-569.0
735.0;168.0;-556.0;-576.0;610.0;-244.0;480.0;226.0;399.0;-617.0;-194.0;537.0;-568.0
702.0;224.0;?;-511.0;631.0;-259.0;472.0;280.0;?;-643.0;-177.0;544.0;-567.0
667.0;271.0;-594.0;-448.0;650.0;-267.0;463.0;328.0;404.0;-663.0;-161.0;547.0;-569.0
631.0;308.0;-617.0;-397.0;665.0;-267.0;454.0;371.0;408.0;-676.0;-145.0;550.0;-570.0
593.0;332.0;-648.0;-362.0;682.0;-271.0;446.0;409.0;414.0;-685.0;-130.0;549.0;-573.0
559.0;346.0;-675.0;-337.0;695.0;-285.0;439.0;438.0;417.0;-691.0;-116.0;548.0;-577.0
534.0;356.0;-678.0;-315.0;705.0;-305.0;432.0;454.0;421.0;-692.0;?;?;-582.0
526.0;357.0;-676.0;-297.0;710.0;?;426.0;457.0;426.0;-693.0;-104.0;544.0;-585.0
?;353.0;-685.0;-292.0;711.0;-328.0;428.0;455.0;426.0;-695.0;-104.0;545.0;-582.0
529.0;344.0;?;-293.0;713.0;-329.0;430.0;448.0;424.0;-698.0;-105.0;546.0;-581.0
533.0;?;-697.0;-295.0;715.0;-334.0;431.0;438.0;423.0;-699.0;-106.0;546.0;-580.0
537.0;326.0;-694.0;-299.0;718.0;-339.0;433.0;429.0;423.0;-698.0;-110.0;547.0;-579.0
539.0;321.0;-688.0;-303.0;721.0;-345.0;432.0;421.0;422.0;-696.0;-113.0;549.0;-578.0
543.0;316.0;-683.0;-308.0;722.0;-354.0;432.0;413.0;422.0;-693.0;-116.0;549.0;-578.0
549.0;312.0;-687.0;-315.0;721.0;-364.0;431.0;405.0;424.0;-691.0;-119.0;550.0;-576.0
555.0;305.0;-694.0;-325.0;721.0;-374.0;?;396.0;425.0;-689.0;-125.0;549.0;-576.0
561.0;296.0;-699.0;-336.0;723.0;-385.0;430.0;381.0;425.0;-685.0;-135.0;550.0;-576.0
567.0;284.0;-701.0;-350.0;726.0;-400.0;431.0;361.0;425.0;-680.0;-147.0;550.0;-576.0
570.0;?;-700.0;-368.0;731.0;-419.0;433.0;338.0;423.0;-674.0;-164.0;?;-574.0
606.0;-476.0;-599.0;-713.0;503.0;-565.0;564.0;-339.0;360.0;-314.0;-515.0;444.0;-596.0
609.0;-473.0;-596.0;-718.0;500.0;-563.0;561.0;-338.0;361.0;-315.0;-515.0;447.0;-596.0
611.0;-471.0;-592.0;-723.0;498.0;-559.0;558.0;-337.0;362.0;-315.0;-515.0;449.0;-596.0
614.0;-470.0;-587.0;-730.0;495.0;-555.0;555.0;-335.0;364.0;-316.0;-515.0;452.0;-596.0
620.0;-467.0;-577.0;-740.0;492.0;-549.0;553.0;-333.0;365.0;-319.0;-512.0;456.0;-594.0
629.0;-464.0;-563.0;-758.0;491.0;-539.0;549.0;-324.0;368.0;-324.0;-508.0;462.0;-592.0
640.0;-457.0;-545.0;-780.0;491.0;-530.0;542.0;-311.0;372.0;-331.0;?;469.0;-589.0
657.0;-446.0;-527.0;-804.0;495.0;-517.0;535.0;-292.0;?;-338.0;-488.0;484.0;-580.0
678.0;-425.0;-513.0;-827.0;503.0;-499.0;529.0;-263.0;381.0;-346.0;?;495.0;-574.0
700.0;-392.0;-503.0;?;513.0;-482.0;523.0;-222.0;385.0;-355.0;-444.0;498.0;?
?;-348.0;-498.0;-850.0;524.0;-464.0;515.0;-168.0;391.0;-366.0;-421.0;503.0;-574.0
739.0;-287.0;-499.0;-845.0;536.0;-439.0;505.0;-105.0;395.0;-381.0;-395.0;511.0;-572.0
753.0;?;-507.0;-828.0;547.0;-411.0;497.0;-35.0;399.0;-396.0;-365.0;517.0;-571.0
756.0;-138.0;-517.0;-800.0;559.0;-390.0;491.0;40.0;400.0;-416.0;-338.0;523.0;-570.0
751.0;-56.0;-530.0;-758.0;572.0;-372.0;488.0;115.0;?;-437.0;-310.0;?;-567.0
742.0;31.0;-555.0;-701.0;580.0;-361.0;484.0;192.0;399.0;-463.0;-276.0;540.0;-561.0
?;113.0;-584.0;-634.0;589.0;-360.0;476.0;263.0;?;-491.0;-249.0;547.0;-559.0
695.0;184.0;-601.0;?;600.0;-358.0;466.0;327.0;406.0;-515.0;-225.0;557.0;-555.0
663.0;252.0;-621.0;-482.0;611.0;-351.0;456.0;384.0;409.0;?;-200.0;562.0;-556.0
627.0;312.0;-641.0;-403.0;?;-350.0;443.0;430.0;414.0;-577.0;-180.0;566.0;-558.0
591.0;359.0;-663.0;-333.0;639.0;-357.0;429.0;467.0;423.0;-604.0;-157.0;563.0;-566.0
557.0;393.0;-691.0;-283.0;652.0;-370.0;422.0;495.0;428.0;-627.0;-139.0;560.0;-570.0
?;414.0;-699.0;-250.0;660.0;-380.0;417.0;513.0;433.0;-641.0;-127.0;559.0;-572.0
521.0;?;-698.0;-233.0;666.0;-382.0;410.0;520.0;436.0;-647.0;-121.0;556.0;-576.0
514.0;427.0;-698.0;-228.0;671.0;-385.0;407.0;521.0;441.0;-650.0;-122.0;552.0;?
512.0;424.0;-693.0;?;674.0;-389.0;405.0;520.0;441.0;-654.0;?;552.0;-579.0
514.0;418.0;-687.0;-230.0;676.0;-391.0;402.0;516.0;442.0;?;-115.0;553.0;-581.0
517.0;413.0;-690.0;-234.0;679.0;-390.0;403.0;509.0;442.0;-661.0;-114.0;552.0;-581.0
521.0;409.0;?;-239.0;679.0;-390.0;403.0;505.0;440.0;-663.0;-112.0;554.0;-581.0
524.0;?;-688.0;-241.0;680.0;-391.0;402.0;500.0;439.0;-663.0;-112.0;554.0;-581.0
527.0;403.0;-682.0;-242.0;681.0;-392.0;402.0;495.0;438.0;-662.0;-112.0;556.0;-581.0
529.0;400.0;-683.0;-246.0;?;-399.0;401.0;488.0;438.0;-664.0;-115.0;557.0;-581.0
531.0;394.0;-691.0;-251.0;691.0;-417.0;401.0;476.0;437.0;-667.0;-121.0;558.0;-581.0
?;382.0;-702.0;-262.0;?;-440.0;406.0;?;434.0;-672.0;-133.0;?;-579.0
538.0;?;-710.0;-279.0;701.0;-460.0;416.0;443.0;428.0;-677.0;-152.0;562.0;-573.0
544.0;332.0;?;-302.0;708.0;-481.0;428.0;414.0;422.0;-683.0;-180.0;564.0;-566.0
660.0;?;-532.0;-789.0;420.0;-491.0;516.0;-366.0;385.0;-206.0;-504.0;516.0;-566.0
660.0;-514.0;-531.0;-790.0;419.0;-492.0;514.0;-365.0;385.0;-206.0;?;516.0;-567.0
660.0;-511.0;-529.0;-791.0;419.0;-491.0;512.0;-364.0;386.0;-208.0;-507.0;515.0;-569.0
661.0;-510.0;-527.0;-793.0;418.0;-491.0;510.0;-364.0;386.0;-209.0;-507.0;515.0;-571.0
662.0;-508.0;-524.0;-796.0;417.0;-489.0;509.0;-363.0;386.0;-211.0;-505.0;515.0;-572.0
666.0;-507.0;-519.0;-802.0;418.0;-485.0;508.0;-360.0;386.0;-214.0;-503.0;515.0;-573.0
673.0;-503.0;-513.0;-810.0;421.0;-479.0;506.0;-352.0;386.0;-219.0;-497.0;516.0;-573.0
683.0;-496.0;-511.0;-817.0;428.0;?;504.0;-337.0;386.0;-224.0;-487.0;518.0;-573.0
697.0;-481.0;-512.0;-823.0;?;-462.0;502.0;-312.0;386.0;-237.0;-473.0;521.0;-572.0
713.0;-453.0;-514.0;-830.0;455.0;?;500.0;?;386.0;-262.0;-456.0;525.0;-571.0
731.0;-413.0;-516.0;-835.0;?;-437.0;496.0;-229.0;386.0;-289.0;-435.0;528.0;-571.0
747.0;-360.0;-524.0;-834.0;492.0;-422.0;492.0;-167.0;388.0;-318.0;-415.0;532.0;?
757.0;-298.0;?;-826.0;514.0;-406.0;486.0;-95.0;389.0;-350.0;?;536.0;-570.0
763.0;-222.0;-543.0;?;536.0;-383.0;481.0;-16.0;390.0;-384.0;?;541.0;-569.0
761.0;-140.0;-558.0;-771.0;553.0;-355.0;479.0;64.0;390.0;-420.0;-333.0;?;-569.0
753.0;-51.0;-578.0;-719.0;?;-322.0;477.0;146.0;?;-457.0;-302.0;548.0;-567.0
737.0;?;-609.0;-651.0;577.0;-288.0;475.0;230.0;387.0;-499.0;?;555.0;-562.0
712.0;127.0;-635.0;-575.0;585.0;-269.0;470.0;310.0;389.0;-542.0;-234.0;561.0;-559.0
