InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
47.0;13;-38.0;-34;-12.0;16.0;-8.0;22.0;34;-88.0;-77.0;13;26.0
14.0;-13;71.0;2;-67.0;164.0;96.0;-953.0;-2;-54.0;3.0;-13;-376.0
-94.0;-681;179.0;-1181;-1.0;231.0;28.0;-33.0;1181;-335.0;-184.0;-681;128.0
4.0;-16;4.0;-99;-14.0;30.0;22.0;-34.0;99;-73.0;-42.0;-16;17.0
274.0;1242;152.0;-2891;-15.0;64.0;154.0;-291.0;2891;64.0;-130.0;1242;-419.0
32.0;-1;21.0;19;-38.0;47.0;3.0;-35.0;-19;-90.0;-12.0;-1;-3.0
19.0;21;-6.0;33;-10.0;29.0;-58.0;84.0;-33;-58.0;-27.0;21;-19.0
22.0;-6;-14.0;14;-6.0;55.0;-37.0;39.0;-14;-60.0;-14.0;-6;-9.0
-7.0;-28;-2.0;26;50.0;-17.0;-42.0;92.0;-26;-52.0;-30.0;-28;44.0
59.0;-10;19.0;2;-42.0;10.0;26.0;-10.0;-2;-75.0;-14.0;-10;-32.0
26.0;27;59.0;-8;-11.0;24.0;1.0;45.0;8;-57.0;-29.0;27;-1.0
45.0;26;67.0;10;-54.0;38.0;0.0;103.0;-10;-80.0;-4.0;26;-69.0
-45.0;56;376.0;-158;-519.0;196.0;1599.0;304.0;158;-353.0;46.0;56;-399.0
-36.0;2;133.0;33;19.0;-33.0;51.0;260.0;-33;-74.0;-37.0;2;275.0
30.0;30;30.0;24;-15.0;50.0;-11.0;-23.0;-24;-96.0;-32.0;30;-5.0
23.0;-10;26.0;-14;-20.0;21.0;-13.0;21.0;14;-46.0;7.0;-10;7.0
43.0;6;-33.0;-7;-40.0;-33.0;-55.0;21.0;7;-64.0;-75.0;6;26.0
25.0;33;20.0;24;26.0;41.0;-27.0;32.0;-24;-34.0;-46.0;33;47.0
224.0;-13;235.0;-16;12.0;58.0;-362.0;306.0;16;47.0;81.0;-13;-78.0
29.0;41;18.0;-14;-40.0;16.0;9.0;-21.0;14;-46.0;-47.0;41;12.0
182.0;340;533.0;-3524;54.0;258.0;461.0;-975.0;3524;320.0;115.0;340;-737.0
9.0;-4;-4.0;-33;9.0;33.0;9.0;-6.0;33;-67.0;-9.0;-4;14.0
27.0;0;22.0;-36;17.0;33.0;7.0;10.0;36;-68.0;-38.0;0;8.0
7.0;18;-17.0;-6;2.0;0.0;10.0;5.0;6;-77.0;-39.0;18;10.0
24.0;8;48.0;6;13.0;31.0;-4.0;-8.0;-6;-67.0;-25.0;8;19.0
52.0;40;-42.0;-54;-7.0;28.0;30.0;-10.0;54;18.0;-23.0;40;162.0
32.0;-4;1.0;-32;-25.0;27.0;-3.0;5.0;32;-73.0;-36.0;-4;-2.0
31.0;486;-1754.0;-2225;48.0;5.0;-412.0;-88.0;2225;-159.0;-510.0;486;126.0
9.0;2;36.0;14;-6.0;-36.0;26.0;4.0;-14;-95.0;-29.0;2;20.0
20.0;8;4.0;33;-17.0;15.0;1.0;55.0;-33;-65.0;-19.0;8;-13.0
15.0;7;3.0;-3;-6.0;34.0;-22.0;55.0;3;-47.0;-1.0;7;-9.0
146.0;33;60.0;-83;-41.0;314.0;69.0;530.0;83;-309.0;256.0;33;-129.0
13.0;36;28.0;-9;-33.0;27.0;1.0;54.0;9;-56.0;-42.0;36;12.0
15.0;36;8.0;5;-36.0;8.0;-30.0;34.0;-5;-47.0;-36.0;36;-5.0
18.0;31;68.0;-6;-45.0;32.0;-16.0;-8.0;6;-71.0;-52.0;31;4.0
1.0;12;29.0;-23;-38.0;35.0;24.0;7.0;23;-45.0;-43.0;12;-10.0
7.0;-2;41.0;55;14.0;53.0;3.0;3.0;-55;-77.0;14.0;-2;-46.0
7.0;12;35.0;0;-30.0;39.0;-5.0;36.0;0;-88.0;-46.0;12;-14.0
-6.0;0;63.0;3;-15.0;20.0;-22.0;28.0;-3;-45.0;-43.0;0;-7.0
16.0;7;151.0;5;-13.0;64.0;39.0;-112.0;-5;-64.0;43.0;7;105.0
46.0;-15;17.0;-27;-20.0;6.0;18.0;26.0;27;-50.0;-31.0;-15;16.0
17.0;-15;-1.0;-22;6.0;32.0;-18.0;13.0;22;-56.0;-19.0;-15;-10.0
-11.0;0;9.0;-12;-8.0;49.0;11.0;-14.0;12;-73.0;-18.0;0;-35.0
20.0;-9;-25.0;-29;-44.0;47.0;1.0;-1.0;29;-60.0;-31.0;-9;-9.0
18.0;-32;-3.0;-5;-13.0;37.0;-12.0;7.0;5;-84.0;-14.0;-32;21.0
10.0;16;-4.0;-5;-25.0;40.0;-3.0;-20.0;5;-61.0;-46.0;16;17.0
-396.0;-1109;392.0;-2378;-1535.0;-525.0;501.0;-1002.0;2378;-1632.0;-1696.0;-1109;-904.0
18.0;-31;-14.0;28;-1.0;16.0;1.0;3.0;-28;-79.0;-42.0;-31;-20.0
-13.0;-5;-90.0;7;-88.0;129.0;-61.0;-70.0;-7;-138.0;-66.0;-5;-5.0
59.0;-41;-55.0;-12;-10.0;41.0;-41.0;26.0;12;-94.0;-9.0;-41;-13.0
