InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
41;459.0;489.0;-577.0
-48;737.0;386.0;-604.0
-64;440.0;483.0;-354.0
-71;375.0;367.0;-447.0
-48;794.0;452.0;-699.0
125;505.0;520.0;-544.0
125;373.0;434.0;-371.0
125;427.0;439.0;-480.0
145;350.0;542.0;-524.0
-73;521.0;598.0;-500.0
-57;719.0;501.0;-315.0
117;673.0;598.0;-608.0
-73;365.0;405.0;-493.0
-22;678.0;651.0;-617.0
87;491.0;291.0;-522.0
89;568.0;434.0;-723.0
174;684.0;552.0;-765.0
4;587.0;716.0;-604.0
3;547.0;652.0;-524.0
143;778.0;605.0;-737.0
67;766.0;558.0;-704.0
125;474.0;535.0;-497.0
125;418.0;384.0;-388.0
34;774.0;611.0;-712.0
125;421.0;324.0;-371.0
13;676.0;758.0;-535.0
125;404.0;493.0;-356.0
2;556.0;520.0;-509.0
3;528.0;381.0;-480.0
12;615.0;667.0;-662.0
3;652.0;527.0;-536.0
-69;595.0;352.0;-557.0
-70;603.0;407.0;-372.0
-69;552.0;514.0;-364.0
-70;642.0;556.0;-338.0
3;750.0;668.0;-627.0
-69;585.0;456.0;-417.0
-81;695.0;322.0;-518.0
-69;659.0;398.0;-355.0
-69;544.0;489.0;-462.0
5;621.0;540.0;-651.0
2;512.0;484.0;-513.0
22;490.0;486.0;-450.0
-69;694.0;545.0;-472.0
-69;681.0;602.0;-573.0
-69;652.0;556.0;-451.0
-69;713.0;391.0;-474.0
-69;653.0;466.0;-500.0
-94;579.0;582.0;-532.0
-93;461.0;747.0;-451.0
-69;485.0;468.0;-445.0
-84;785.0;536.0;-546.0
40;666.0;693.0;-554.0
-89;677.0;684.0;-568.0
-84;575.0;624.0;-603.0
-83;710.0;673.0;-540.0
126;535.0;394.0;-315.0
-100;944.0;800.0;-632.0
-94;607.0;620.0;-490.0
-95;666.0;674.0;-507.0
-95;700.0;583.0;-534.0
-81;470.0;461.0;-251.0
-62;352.0;367.0;-356.0
-66;713.0;541.0;-537.0
-82;619.0;409.0;-564.0
-59;655.0;550.0;-571.0
142;450.0;659.0;-380.0
-82;608.0;583.0;-410.0
-95;689.0;548.0;-581.0
-95;634.0;435.0;-645.0
-70;469.0;516.0;-375.0
-42;542.0;433.0;-454.0
-61;786.0;636.0;-513.0
-59;624.0;629.0;-630.0
-58;708.0;603.0;-641.0
-60;491.0;467.0;-643.0
-55;715.0;593.0;-585.0
-75;767.0;733.0;-602.0
-57;652.0;696.0;-531.0
-57;668.0;636.0;-594.0
-57;687.0;475.0;-648.0
-54;772.0;620.0;-698.0
-57;697.0;644.0;-633.0
-57;665.0;722.0;-551.0
-57;617.0;666.0;-587.0
-69;349.0;322.0;-543.0
110;525.0;614.0;-499.0
-57;597.0;716.0;-444.0
-57;473.0;540.0;-509.0
-57;663.0;670.0;-532.0
-57;646.0;661.0;-504.0
-96;406.0;466.0;-376.0
-97;537.0;611.0;-312.0
110;484.0;534.0;-471.0
-99;557.0;566.0;-611.0
-57;755.0;812.0;-364.0
-102;576.0;519.0;-489.0
-101;555.0;615.0;-465.0
110;484.0;523.0;-484.0
110;512.0;553.0;-510.0
-101;721.0;535.0;-534.0
-101;637.0;519.0;-683.0
110;524.0;526.0;-555.0
-34;681.0;621.0;-648.0
-98;408.0;400.0;-518.0
-97;456.0;437.0;-390.0
-123;796.0;616.0;-572.0
-134;725.0;546.0;-684.0
-29;698.0;568.0;-668.0
110;607.0;561.0;-645.0
43;518.0;472.0;-290.0
-123;416.0;497.0;-480.0
-124;504.0;558.0;-384.0
-81;766.0;611.0;-625.0
36;581.0;615.0;-632.0
161;224.0;618.0;-189.0
-132;597.0;581.0;-521.0
36;535.0;536.0;-547.0
47;387.0;434.0;-359.0
-38;474.0;512.0;-504.0
-38;634.0;665.0;-460.0
35;510.0;552.0;-515.0
-126;410.0;520.0;-469.0
-37;643.0;740.0;-481.0
-57;734.0;816.0;-480.0
35;569.0;506.0;-513.0
-37;601.0;686.0;-547.0
-35;595.0;656.0;-655.0
-3;605.0;732.0;-567.0
-4;518.0;622.0;-642.0
-112;497.0;1214.0;-897.0
2;511.0;595.0;-577.0
35;579.0;525.0;-532.0
4;598.0;711.0;-603.0
3;675.0;671.0;-586.0
39;574.0;864.0;-634.0
3;577.0;669.0;-637.0
-92;512.0;517.0;-735.0
-83;681.0;650.0;-495.0
35;621.0;683.0;-548.0
13;612.0;678.0;-532.0
22;773.0;744.0;-660.0
34;569.0;683.0;-598.0
35;530.0;621.0;-493.0
-92;710.0;444.0;-533.0
-42;683.0;464.0;-607.0
-42;691.0;478.0;-641.0
-42;665.0;598.0;-654.0
32;497.0;563.0;-457.0
0;558.0;610.0;-596.0
32;437.0;497.0;-404.0
175;710.0;624.0;-669.0
30;413.0;374.0;-356.0
-57;452.0;530.0;-385.0
1;535.0;678.0;-785.0
2;662.0;665.0;-604.0
118;767.0;643.0;-535.0
4;405.0;377.0;-328.0
-57;560.0;500.0;-325.0
-57;462.0;538.0;-363.0
-57;427.0;510.0;-304.0
-57;475.0;524.0;-297.0
118;755.0;548.0;-440.0
118;746.0;501.0;-468.0
-57;522.0;478.0;-419.0
118;681.0;444.0;-614.0
-73;798.0;487.0;-330.0
-85;863.0;506.0;-224.0
-57;548.0;384.0;-306.0
-170;649.0;388.0;-167.0
-57;479.0;475.0;-439.0
81;550.0;526.0;-837.0
118;537.0;464.0;-595.0
142;577.0;531.0;-1186.0
-57;613.0;338.0;-436.0
-57;597.0;311.0;-412.0
-57;588.0;354.0;-377.0
-57;618.0;355.0;-382.0
-57;612.0;335.0;-526.0
-57;628.0;312.0;-430.0
-57;601.0;273.0;-430.0
-57;608.0;313.0;-472.0
-57;611.0;281.0;-466.0
-55;693.0;632.0;-688.0
50;603.0;630.0;-666.0
-7;614.0;262.0;-446.0
-57;581.0;290.0;-448.0
12;680.0;718.0;-692.0
135;574.0;383.0;-529.0
125;438.0;333.0;-325.0
137;583.0;359.0;-441.0
-57;590.0;291.0;-453.0
-53;533.0;212.0;-516.0
-57;624.0;362.0;-457.0
-99;777.0;387.0;-384.0
-57;718.0;458.0;-446.0
-57;730.0;19.0;-340.0
-57;417.0;48.0;-465.0
-7;534.0;230.0;-433.0
-7;548.0;418.0;-478.0
-7;492.0;451.0;-439.0
118;610.0;443.0;-341.0
-74;679.0;552.0;-691.0
118;635.0;509.0;-410.0
118;630.0;433.0;-451.0
118;630.0;350.0;-444.0
-7;478.0;447.0;-436.0
33;452.0;893.0;-499.0
118;709.0;423.0;-480.0
118;640.0;580.0;-504.0
118;508.0;409.0;-488.0
118;568.0;295.0;-451.0
139;520.0;76.0;-547.0
118;519.0;362.0;-576.0
111;580.0;482.0;-559.0
-7;475.0;580.0;-441.0
-55;669.0;604.0;-596.0
142;709.0;534.0;-543.0
108;636.0;551.0;-581.0
105;652.0;608.0;-523.0
97;806.0;682.0;-304.0
104;623.0;553.0;-444.0
105;504.0;574.0;-439.0
107;472.0;516.0;-407.0
108;486.0;564.0;-383.0
98;675.0;409.0;-711.0
-55;688.0;526.0;-601.0
59;534.0;678.0;-591.0
-63;889.0;643.0;-698.0
116;577.0;622.0;-519.0
120;620.0;572.0;-530.0
-70;669.0;420.0;-584.0
128;652.0;642.0;-527.0
-44;546.0;640.0;-558.0
-20;505.0;592.0;-601.0
131;583.0;657.0;-454.0
137;537.0;627.0;-423.0
145;592.0;469.0;-441.0
145;404.0;453.0;-480.0
137;652.0;439.0;-336.0
145;579.0;625.0;-549.0
145;551.0;608.0;-484.0
-48;718.0;263.0;-599.0
59;672.0;320.0;-512.0
80;461.0;546.0;-662.0
145;528.0;658.0;-493.0
145;575.0;588.0;-659.0
145;431.0;547.0;-462.0
60;550.0;668.0;-499.0
-70;472.0;487.0;-824.0
