InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-963.0;606.0;-174.0;80.0;962.0;1010.0;-381.0;-361.0
-956.0;607.0;-201.0;110.0;927.0;985.0;-280.0;-315.0
-946.0;588.0;-214.0;127.0;967.0;986.0;-318.0;-290.0
-943.0;522.0;-246.0;186.0;922.0;957.0;-486.0;-338.0
-966.0;566.0;-284.0;140.0;936.0;964.0;-419.0;-360.0
-965.0;568.0;-290.0;140.0;948.0;976.0;-417.0;-324.0
-911.0;565.0;-228.0;202.0;945.0;966.0;-410.0;-352.0
-965.0;565.0;-226.0;166.0;932.0;976.0;-403.0;-384.0
-963.0;564.0;-236.0;160.0;932.0;956.0;-393.0;-368.0
-956.0;591.0;-280.0;151.0;956.0;963.0;-276.0;-359.0
-958.0;565.0;-251.0;191.0;923.0;1001.0;-435.0;-399.0
-933.0;553.0;-310.0;272.0;951.0;1024.0;-487.0;-460.0
-942.0;561.0;-227.0;136.0;964.0;977.0;-362.0;-309.0
-943.0;556.0;-265.0;113.0;955.0;956.0;-307.0;-321.0
-922.0;549.0;-266.0;143.0;937.0;966.0;-300.0;-357.0
-930.0;548.0;-266.0;109.0;950.0;990.0;-282.0;-358.0
-965.0;562.0;-225.0;205.0;932.0;1012.0;-377.0;-333.0
-937.0;550.0;-277.0;123.0;937.0;990.0;-309.0;-363.0
-958.0;559.0;-263.0;204.0;933.0;979.0;-396.0;-332.0
-943.0;550.0;-275.0;110.0;932.0;970.0;-326.0;-349.0
-952.0;549.0;-291.0;121.0;922.0;950.0;-415.0;-372.0
-962.0;509.0;-198.0;190.0;965.0;968.0;-321.0;-322.0
-954.0;516.0;-220.0;162.0;931.0;996.0;-319.0;-361.0
-930.0;508.0;-231.0;171.0;965.0;987.0;-349.0;-295.0
-950.0;659.0;-259.0;176.0;895.0;1021.0;-255.0;-330.0
-950.0;628.0;-269.0;60.0;928.0;1116.0;-316.0;-510.0
-947.0;503.0;-235.0;155.0;937.0;978.0;-349.0;-384.0
-937.0;503.0;-229.0;156.0;935.0;968.0;-347.0;-379.0
-936.0;499.0;-231.0;161.0;938.0;955.0;-319.0;-371.0
-931.0;493.0;-245.0;147.0;946.0;959.0;-326.0;-382.0
-944.0;525.0;-251.0;110.0;950.0;957.0;-330.0;-313.0
-924.0;489.0;-275.0;160.0;912.0;977.0;-386.0;-381.0
-954.0;400.0;-190.0;150.0;895.0;940.0;-349.0;-408.0
-907.0;584.0;-278.0;114.0;855.0;973.0;-142.0;-470.0
-957.0;777.0;-264.0;328.0;782.0;851.0;-289.0;-409.0
-900.0;567.0;-186.0;164.0;910.0;1007.0;-337.0;-431.0
-954.0;525.0;-178.0;85.0;921.0;1008.0;-375.0;-395.0
