InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
10;589;1;-1;10;-2;5;-830;-10;10;-18;5
5;572;158;306;-84;-213;-104;-799;-5;-84;56;-104
-4;484;4;0;6;-95;1;-890;4;6;-17;1
6;475;-1;-4;9;-116;-11;-896;-6;9;-21;-11
25;475;7;-3;-6;-123;-19;-889;-25;-6;-15;-19
0;483;2;2;9;-89;-22;-890;0;9;-16;-22
0;490;-2;-4;-2;-92;-12;-888;0;-2;-18;-12
-5;488;0;-6;-13;-94;-9;-886;5;-13;-16;-9
-7;482;5;1;16;-91;10;-888;7;16;-14;10
100;488;-21;11;119;-89;63;-897;-100;119;-28;63
724;474;-146;222;-80;-69;-495;-929;-724;-80;-10;-495
22;519;-4;-12;7;-62;8;-873;-22;7;-18;8
1041;546;47;55;385;-90;334;-932;-1041;385;-80;334
-26;567;-13;3;-1;-14;-14;-845;26;-1;-18;-14
10;563;119;-63;13;-9;50;-859;-10;13;-19;50
-3;544;3;11;-23;6;-7;-855;3;-23;-13;-7
-21;198;50;-2;-239;678;-158;-774;21;-239;-46;-158
242;-421;8;19;-491;999;349;-293;-242;-491;-122;349
28;554;-3;-12;2;-17;18;-852;-28;2;-17;18
-1;484;73;-53;16;-63;7;-900;1;16;-20;7
28;546;6;0;-10;-7;4;-856;-28;-10;-16;4
35;498;3;-14;76;-125;-68;-907;-35;76;-42;-68
-2;478;-62;2;67;-69;32;-889;2;67;-9;32
9;478;11;3;-19;-83;-5;-897;-9;-19;-19;-5
16;491;8;-2;21;-90;-2;-894;-16;21;-24;-2
9;496;38;-46;16;-69;9;-880;-9;16;-11;9
11;491;4;-6;-10;-69;13;-896;-11;-10;-24;13
14;485;4;1;-1;-71;-19;-901;-14;-1;-26;-19
-8;493;2;-9;-4;-66;-23;-897;8;-4;-26;-23
-15;490;3;-11;-28;-77;13;-895;15;-28;-23;13
-34;494;26;-35;-21;-77;8;-891;34;-21;-21;8
-6;494;6;-9;-19;-91;11;-886;6;-19;-18;11
-14;500;1;-2;-18;-54;-7;-892;14;-18;-24;-7
-19;496;9;-10;4;-68;2;-890;19;4;-21;2
-17;491;1;-9;3;-99;-28;-888;17;3;-19;-28
11;500;18;-11;-14;-74;22;-890;-11;-14;-23;22
-12;489;29;-24;-3;-69;11;-901;12;-3;-27;11
-7;492;1;2;-11;-94;21;-889;7;-11;-20;21
10;497;-1;-5;1;-93;-6;-883;-10;1;-17;-6
-41;530;88;9;-6;-53;-15;-880;41;-6;-21;-15
28;481;9;10;3;-20;-4;-907;-28;3;-27;-4
12;490;1;1;11;-93;5;-885;-12;11;-16;5
14;495;4;2;-7;-55;11;-889;-14;-7;-19;11
-34;486;2;-3;-11;-90;-14;-894;34;-11;-21;-14
9;492;6;-12;-13;-60;9;-891;-9;-13;-20;9
-44;486;-4;0;-26;-96;-23;-887;44;-26;-16;-23
-192;495;-51;-43;56;-29;182;-909;192;56;-34;182
8;490;-10;-9;3;-40;-6;-886;-8;3;-14;-6
-24;495;4;-8;5;-96;1;-882;24;5;-16;1
21;507;1;15;-35;-77;-15;-895;-21;-35;-31;-15
10;489;-3;0;7;-85;3;-889;-10;7;-18;3
-1;489;-18;-6;-16;-44;2;-891;1;-16;-17;2
10;497;32;-16;-2;-75;-32;-888;-10;-2;-19;-32
24;501;0;3;7;-64;-15;-888;-24;7;-22;-15
17;506;6;8;-4;-73;-15;-893;-17;-4;-29;-15
