InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-992.0;534.0;-232.0;95.0;914.0;944.0;-284.0;-470.0
-1001.0;367.0;-304.0;-32.0;786.0;1043.0;-396.0;-586.0
-882.0;637.0;-196.0;116.0;857.0;959.0;-327.0;-410.0
-949.0;726.0;-382.0;260.0;948.0;946.0;-372.0;-362.0
-982.0;518.0;-217.0;122.0;902.0;973.0;-447.0;-379.0
-733.0;592.0;-206.0;116.0;910.0;1033.0;-349.0;-507.0
-974.0;523.0;-167.0;233.0;930.0;990.0;-262.0;-321.0
-937.0;485.0;-166.0;54.0;930.0;994.0;-206.0;-368.0
-947.0;511.0;-211.0;184.0;939.0;973.0;-403.0;-304.0
-940.0;571.0;-171.0;132.0;906.0;1040.0;-360.0;-451.0
-811.0;603.0;-383.0;398.0;710.0;919.0;-243.0;-666.0
-926.0;597.0;-220.0;140.0;898.0;980.0;-330.0;-449.0
-927.0;597.0;-232.0;123.0;885.0;969.0;-344.0;-494.0
-856.0;630.0;-326.0;222.0;801.0;944.0;-345.0;-534.0
-872.0;517.0;-431.0;356.0;728.0;918.0;-513.0;-700.0
-1003.0;500.0;-292.0;117.0;951.0;982.0;-372.0;-379.0
-812.0;559.0;-480.0;7.0;972.0;1147.0;-308.0;-599.0
-944.0;503.0;-166.0;185.0;954.0;1017.0;-388.0;-355.0
-873.0;551.0;-288.0;88.0;918.0;966.0;-344.0;-447.0
-993.0;666.0;-356.0;108.0;926.0;938.0;-417.0;-365.0
-958.0;719.0;-346.0;209.0;959.0;959.0;-390.0;-316.0
-951.0;642.0;-168.0;148.0;962.0;1006.0;-395.0;-294.0
-1052.0;531.0;-233.0;273.0;834.0;841.0;-321.0;-362.0
-759.0;1112.0;-216.0;34.0;1188.0;1267.0;-337.0;-567.0
-1027.0;538.0;-185.0;95.0;884.0;904.0;-332.0;-319.0
-938.0;599.0;-237.0;144.0;885.0;978.0;-376.0;-473.0
-788.0;648.0;-398.0;9.0;1072.0;1186.0;-521.0;-595.0
-927.0;556.0;-254.0;111.0;855.0;913.0;-496.0;-474.0
-893.0;634.0;-328.0;29.0;973.0;1006.0;-248.0;-546.0
-981.0;635.0;-251.0;58.0;955.0;999.0;-338.0;-302.0
-981.0;565.0;-201.0;81.0;942.0;994.0;-347.0;-363.0
-979.0;620.0;-328.0;85.0;916.0;959.0;-275.0;-405.0
-922.0;698.0;-666.0;355.0;790.0;802.0;-680.0;-639.0
-964.0;636.0;-265.0;121.0;927.0;991.0;-298.0;-413.0
-960.0;682.0;-304.0;122.0;941.0;975.0;-355.0;-356.0
-975.0;644.0;-150.0;61.0;987.0;1001.0;-124.0;-207.0
-963.0;570.0;-195.0;95.0;920.0;1005.0;-388.0;-413.0
