InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
-14;571;0;6;-7;-26;5;-846;14;-7;-21;5
10;589;1;-1;10;-2;5;-830;-10;10;-18;5
10;592;1;-5;-4;1;3;-834;-10;-4;-24;3
6;599;5;4;5;-6;6;-829;-6;5;-23;6
20;591;-1;-3;3;-1;-1;-833;-20;3;-20;-1
4;593;0;-1;-1;-3;-5;-831;-4;-1;-21;-5
-9;594;4;10;1;-12;-4;-826;9;1;-17;-4
-6;594;1;4;13;-8;-10;-832;6;13;-22;-10
13;588;-4;0;-4;-5;-3;-834;-13;-4;-20;-3
11;590;-2;-4;4;1;11;-833;-11;4;-21;11
2;591;-4;-4;2;1;7;-835;-2;2;-23;7
22;519;-4;-12;7;-62;8;-873;-22;7;-18;8
2;597;5;10;-4;-10;7;-830;-2;-4;-23;7
-3;594;3;6;1;-7;7;-828;3;1;-19;7
-11;594;0;9;-4;-9;5;-828;11;-4;-19;5
3;598;3;3;-3;-2;-6;-831;-3;-3;-23;-6
1;595;-1;1;16;-3;7;-835;-1;16;-25;7
-4;589;-5;5;4;-8;15;-832;4;4;-20;15
28;554;-3;-12;2;-17;18;-852;-28;2;-17;18
5;594;2;-1;19;-2;7;-833;-5;19;-22;7
28;546;6;0;-10;-7;4;-856;-28;-10;-16;4
5;584;-8;-3;18;-2;8;-834;-5;18;-18;8
-1;595;-2;5;6;-2;9;-828;1;6;-19;9
11;596;0;4;-6;-3;0;-830;-11;-6;-22;0
14;593;-1;9;6;-12;5;-826;-14;6;-17;5
0;585;-2;2;-13;-12;16;-833;0;-13;-18;16
13;584;-3;-1;-8;-10;-6;-841;-13;-8;-24;-6
22;587;0;-3;-13;-7;8;-841;-22;-13;-25;8
-6;589;5;-1;-6;-8;0;-833;6;-6;-20;0
12;583;1;-1;6;-8;-10;-832;-12;6;-16;-10
-16;584;-3;-3;13;-7;-7;-838;16;13;-21;-7
-7;588;2;6;9;-11;8;-831;7;9;-17;8
12;587;-1;-1;26;-6;-3;-838;-12;26;-23;-3
12;587;1;7;27;-13;-3;-830;-12;27;-17;-3
11;591;4;6;-13;-12;-3;-830;-11;-13;-19;-3
-5;594;6;1;16;-6;5;-834;5;16;-24;5
-13;591;0;1;2;-10;-5;-837;13;2;-25;-5
-2;523;-6;-14;4;-56;-7;-878;2;4;-23;-7
-6;523;6;5;13;-35;-8;-871;6;13;-15;-8
-62;512;69;-55;-12;-80;9;-881;62;-12;-18;9
-6;524;-2;-2;-16;-46;10;-872;6;-16;-18;10
-14;523;0;-3;16;-45;-15;-872;14;16;-18;-15
14;495;4;2;-7;-55;11;-889;-14;-7;-19;11
-157;472;35;-10;-20;-35;83;-882;157;-20;1;83
9;492;6;-12;-13;-60;9;-891;-9;-13;-20;9
27;511;-5;-5;8;-59;-4;-873;-27;8;-13;-4
-20;512;13;9;6;-36;-3;-872;20;6;-12;-3
8;490;-10;-9;3;-40;-6;-886;-8;3;-14;-6
18;511;3;1;-9;-49;-16;-872;-18;-9;-12;-16
-6;509;12;4;6;-40;11;-871;6;6;-9;11
-24;517;-11;-2;7;-57;-8;-876;24;7;-19;-8
23;514;-2;0;32;-40;19;-877;-23;32;-17;19
-59;386;40;-80;8;12;23;-838;59;8;79;23
24;501;0;3;7;-64;-15;-888;-24;7;-22;-15
17;506;6;8;-4;-73;-15;-893;-17;-4;-29;-15
-9;511;-17;-3;-18;-61;10;-882;9;-18;-21;10
-17;505;-17;-3;18;-63;-5;-875;17;18;-12;-5
24;492;16;-4;-1;-54;-2;-888;-24;-1;-16;-2
20;506;-12;0;-7;-32;-30;-891;-20;-7;-25;-30
-5;513;-8;6;14;-51;7;-874;5;14;-14;7
-15;489;15;-6;5;-7;8;-888;15;5;-14;8
16;501;1;-5;16;-46;11;-882;-16;16;-14;11
-12;502;3;-5;7;-57;16;-892;12;7;-24;16
-23;500;-12;-4;1;-84;-14;-877;23;1;-13;-14
12;517;5;4;1;-48;0;-873;-12;1;-16;0
56;510;1;1;1;-93;-28;-870;-56;1;-13;-28
0;495;2;-1;3;-56;-5;-897;0;3;-26;-5
1;593;0;-1;-5;-9;-5;-839;-1;-5;-27;-5
-2;488;-2;-2;12;-53;11;-892;2;12;-18;11
-3;593;3;4;0;-11;19;-831;3;0;-21;19
18;594;6;2;5;-10;-4;-833;-18;5;-23;-4
12;591;3;4;19;-13;6;-831;-12;19;-20;6
18;483;-3;11;-15;-44;-10;-896;-18;-15;-19;-10
6;490;0;2;-2;-39;4;-888;-6;-2;-15;4
28;464;-9;2;-3;2;14;-903;-28;-3;-15;14
-2;487;8;-5;-8;-58;1;-892;2;-8;-18;1
-1;591;1;1;15;-11;-3;-837;1;15;-24;-3
-6;587;1;-2;-1;-8;-12;-832;6;-1;-18;-12
5;487;0;0;13;-48;-8;-890;-5;13;-15;-8
21;490;39;-25;2;-76;6;-910;-21;2;-35;6
25;592;0;6;-7;-15;3;-837;-25;-7;-25;3
-5;587;-2;-1;-2;-8;-17;-835;5;-2;-21;-17
5;587;-1;3;-6;-11;-11;-831;-5;-6;-18;-11
16;587;-2;2;-11;-11;-2;-831;-16;-11;-18;-2
6;491;10;0;8;-57;0;-887;-6;8;-15;0
4;593;2;4;-1;-10;-10;-832;-4;-1;-21;-10
5;488;4;3;12;-55;-5;-894;-5;12;-20;-5
16;586;-4;-2;3;-8;-18;-837;-16;3;-22;-18
12;589;0;-1;-8;-8;-13;-835;-12;-8;-22;-13
2;592;3;2;8;-10;16;-831;-2;8;-21;16
10;585;-2;-1;-4;-8;22;-831;-10;-4;-17;22
-12;589;2;1;6;-8;3;-831;12;6;-18;3
11;588;2;-2;8;-7;10;-832;-11;8;-19;10
20;592;2;5;1;-13;7;-836;-20;1;-25;7
12;592;1;8;0;-15;6;-836;-12;0;-25;6
3;590;2;0;-13;-8;1;-835;-3;-13;-22;1
24;591;2;5;2;-12;8;-834;-24;2;-23;8
11;584;-1;0;19;-9;-10;-833;-11;19;-18;-10
10;482;1;0;5;-51;-6;-889;-10;5;-12;-6
-17;583;-4;-4;2;-5;6;-837;17;2;-20;6
-11;590;1;2;9;-10;-10;-834;11;9;-22;-10
-6;593;1;2;16;-10;-9;-838;6;16;-27;-9
-5;585;-4;-3;-11;-7;18;-836;5;-11;-20;18
7;586;-4;4;-16;-13;9;-835;-7;-16;-21;9
4;500;7;0;-7;-61;0;-886;-4;-7;-19;0
9;590;3;0;21;-9;9;-832;-9;21;-20;9
-3;585;-4;2;-2;-14;-23;-837;3;-2;-22;-23
22;588;2;-2;-1;-8;-9;-832;-22;-1;-19;-9
1;593;5;-2;-3;-7;7;-833;-1;-3;-22;7
-6;588;0;-3;0;-8;16;-834;6;0;-20;16
-4;592;2;11;-2;-18;11;-829;4;-2;-19;11
16;588;0;-1;-9;-8;-2;-835;-16;-9;-21;-2
16;485;1;-3;2;-54;2;-894;-16;2;-18;2
-15;512;5;-8;-16;-60;1;-874;15;-16;-15;1
