Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
183.0;824.0;933.0;934.0;-361.0;-4;-320.0;189.0;810.0;282.0;-668.0
162.0;839.0;1018.0;1018.0;-478.0;2;-318.0;359.0;895.0;395.0;-799.0
146.0;849.0;853.0;990.0;-456.0;0;-328.0;183.0;852.0;406.0;-884.0
20.0;785.0;883.0;808.0;-494.0;0;-401.0;292.0;793.0;394.0;-881.0
214.0;754.0;850.0;996.0;-432.0;11;-255.0;261.0;851.0;295.0;-784.0
214.0;750.0;899.0;1012.0;-432.0;10;-266.0;238.0;809.0;307.0;-788.0
16.0;782.0;707.0;834.0;-556.0;1;-341.0;4.0;864.0;457.0;-820.0
175.0;854.0;1014.0;971.0;-398.0;5;-242.0;313.0;926.0;356.0;-783.0
60.0;849.0;928.0;967.0;-372.0;18;-254.0;242.0;880.0;388.0;-766.0
129.0;864.0;1001.0;885.0;-579.0;13;-437.0;445.0;830.0;453.0;-811.0
32.0;904.0;969.0;946.0;-472.0;13;-481.0;303.0;806.0;437.0;-728.0
197.0;824.0;974.0;1040.0;-545.0;11;-195.0;382.0;885.0;364.0;-791.0
205.0;851.0;953.0;906.0;-427.0;16;-182.0;282.0;894.0;301.0;-832.0
169.0;801.0;826.0;990.0;-327.0;-11;-187.0;293.0;844.0;209.0;-900.0
126.0;766.0;843.0;930.0;-404.0;19;-214.0;291.0;797.0;301.0;-808.0
146.0;826.0;865.0;1013.0;-376.0;19;-257.0;310.0;833.0;350.0;-732.0
208.0;650.0;628.0;1038.0;-608.0;13;-542.0;443.0;729.0;674.0;-640.0
284.0;858.0;958.0;909.0;-554.0;14;-277.0;487.0;911.0;531.0;-745.0
168.0;813.0;886.0;915.0;-553.0;14;-351.0;441.0;834.0;398.0;-722.0
143.0;774.0;864.0;931.0;-563.0;12;-374.0;447.0;791.0;482.0;-710.0
219.0;840.0;913.0;1071.0;-601.0;22;-349.0;510.0;848.0;496.0;-829.0
171.0;708.0;853.0;912.0;-385.0;13;-373.0;578.0;818.0;605.0;-787.0
160.0;642.0;527.0;219.0;-433.0;-19;-584.0;478.0;491.0;614.0;-557.0
232.0;710.0;820.0;1010.0;-352.0;-6;-320.0;250.0;745.0;308.0;-697.0
216.0;905.0;962.0;989.0;-513.0;-7;-281.0;461.0;911.0;389.0;-780.0
166.0;850.0;900.0;877.0;-430.0;-7;-329.0;346.0;871.0;396.0;-763.0
199.0;790.0;883.0;883.0;-326.0;-6;-252.0;216.0;819.0;296.0;-759.0
209.0;735.0;720.0;1027.0;-523.0;6;-357.0;744.0;605.0;597.0;-748.0
63.0;882.0;681.0;1025.0;-686.0;4;-359.0;477.0;757.0;562.0;-711.0
27.0;891.0;732.0;919.0;-471.0;4;-412.0;315.0;758.0;470.0;-882.0
-29.0;814.0;593.0;866.0;-527.0;4;-512.0;248.0;662.0;441.0;-693.0
179.0;691.0;756.0;964.0;-393.0;10;-201.0;265.0;746.0;345.0;-655.0
201.0;688.0;729.0;976.0;-424.0;11;-230.0;281.0;725.0;302.0;-632.0
41.0;666.0;752.0;1044.0;-542.0;11;-349.0;323.0;666.0;309.0;-606.0
138.0;781.0;888.0;958.0;-370.0;7;-180.0;229.0;853.0;342.0;-764.0
221.0;811.0;925.0;949.0;-476.0;9;-218.0;252.0;879.0;334.0;-745.0
66.0;729.0;828.0;1024.0;-521.0;6;-350.0;370.0;750.0;346.0;-624.0
-8.0;666.0;822.0;1341.0;-483.0;-17;-401.0;278.0;642.0;390.0;-628.0
227.0;810.0;894.0;962.0;-421.0;4;-198.0;212.0;884.0;328.0;-800.0
65.0;718.0;744.0;659.0;-388.0;10;-508.0;421.0;714.0;540.0;-656.0
-27.0;756.0;812.0;708.0;-685.0;11;-459.0;377.0;637.0;339.0;-730.0
-14.0;743.0;749.0;912.0;-687.0;13;-469.0;340.0;617.0;440.0;-685.0
65.0;847.0;830.0;774.0;-562.0;23;-410.0;285.0;757.0;384.0;-767.0
9.0;849.0;982.0;787.0;-581.0;29;-451.0;426.0;780.0;437.0;-770.0
72.0;896.0;846.0;513.0;-735.0;10;-482.0;563.0;749.0;504.0;-854.0
94.0;866.0;909.0;779.0;-618.0;12;-405.0;328.0;856.0;451.0;-857.0
273.0;771.0;888.0;1002.0;-370.0;5;-200.0;283.0;788.0;371.0;-794.0
93.0;921.0;970.0;920.0;-477.0;9;-298.0;326.0;900.0;358.0;-891.0
101.0;733.0;738.0;741.0;-399.0;14;-563.0;566.0;683.0;588.0;-872.0
39.0;859.0;978.0;935.0;-422.0;9;-286.0;343.0;847.0;329.0;-814.0
190.0;856.0;975.0;879.0;-400.0;6;-290.0;254.0;871.0;329.0;-768.0
145.0;881.0;936.0;1179.0;-534.0;4;-337.0;349.0;840.0;389.0;-826.0
206.0;868.0;960.0;912.0;-482.0;2;-254.0;279.0;891.0;379.0;-817.0
127.0;830.0;921.0;646.0;-471.0;6;-419.0;410.0;811.0;443.0;-796.0
205.0;867.0;975.0;368.0;-350.0;-34;-514.0;415.0;829.0;504.0;-753.0
226.0;794.0;890.0;565.0;-444.0;31;-330.0;173.0;777.0;326.0;-746.0
64.0;696.0;817.0;1094.0;-362.0;-1;-345.0;370.0;737.0;432.0;-780.0
201.0;829.0;919.0;979.0;-417.0;-2;-318.0;327.0;858.0;470.0;-935.0
209.0;860.0;937.0;914.0;-437.0;-2;-344.0;404.0;849.0;483.0;-806.0
197.0;759.0;865.0;949.0;-540.0;-1;-322.0;453.0;764.0;420.0;-827.0
149.0;663.0;746.0;951.0;-530.0;-6;-344.0;306.0;632.0;409.0;-775.0
109.0;662.0;672.0;991.0;-470.0;-5;-396.0;373.0;627.0;413.0;-555.0
159.0;695.0;772.0;1009.0;-535.0;-4;-346.0;439.0;694.0;432.0;-634.0
180.0;618.0;731.0;903.0;-397.0;-6;-310.0;486.0;697.0;425.0;-1201.0
53.0;526.0;529.0;1237.0;-920.0;9;-442.0;187.0;576.0;482.0;-831.0
122.0;682.0;824.0;1096.0;-511.0;-7;-434.0;625.0;750.0;636.0;-785.0
59.0;689.0;748.0;1104.0;-574.0;-7;-361.0;360.0;712.0;367.0;-602.0
20.0;576.0;734.0;1117.0;-275.0;3;-324.0;410.0;621.0;357.0;-978.0
154.0;771.0;873.0;935.0;-371.0;4;-194.0;212.0;845.0;388.0;-809.0
72.0;796.0;793.0;885.0;-498.0;8;-452.0;588.0;762.0;344.0;-837.0
223.0;878.0;896.0;1013.0;-413.0;5;-260.0;511.0;931.0;478.0;-787.0
156.0;863.0;893.0;977.0;-433.0;7;-296.0;477.0;888.0;429.0;-806.0
203.0;771.0;849.0;964.0;-336.0;7;-179.0;177.0;798.0;334.0;-726.0
126.0;786.0;883.0;949.0;-359.0;7;-234.0;230.0;818.0;361.0;-750.0
49.0;720.0;760.0;1011.0;-421.0;3;-303.0;224.0;685.0;234.0;-658.0
116.0;822.0;884.0;983.0;-433.0;7;-328.0;465.0;819.0;454.0;-806.0
92.0;819.0;876.0;990.0;-503.0;8;-375.0;451.0;792.0;442.0;-781.0
219.0;921.0;947.0;987.0;-515.0;7;-296.0;505.0;937.0;462.0;-798.0
141.0;781.0;868.0;948.0;-361.0;18;-221.0;158.0;842.0;273.0;-795.0
221.0;929.0;939.0;1029.0;-538.0;7;-284.0;480.0;929.0;418.0;-764.0
212.0;882.0;896.0;1023.0;-557.0;7;-296.0;473.0;887.0;478.0;-772.0
219.0;866.0;888.0;1007.0;-578.0;7;-320.0;496.0;896.0;472.0;-828.0
228.0;859.0;919.0;1017.0;-580.0;6;-272.0;497.0;866.0;413.0;-905.0
152.0;912.0;960.0;999.0;-469.0;6;-349.0;468.0;892.0;424.0;-874.0
130.0;799.0;869.0;928.0;-378.0;7;-230.0;177.0;816.0;336.0;-768.0
110.0;790.0;911.0;927.0;-394.0;7;-250.0;266.0;816.0;352.0;-766.0
137.0;842.0;911.0;965.0;-369.0;6;-238.0;207.0;877.0;364.0;-761.0
110.0;814.0;943.0;900.0;-384.0;5;-227.0;254.0;866.0;357.0;-788.0
164.0;813.0;953.0;911.0;-398.0;5;-237.0;312.0;862.0;370.0;-806.0
19.0;789.0;999.0;938.0;-483.0;6;-387.0;380.0;855.0;448.0;-845.0
341.0;706.0;545.0;989.0;-659.0;8;-315.0;596.0;771.0;622.0;-438.0
91.0;789.0;835.0;1049.0;-480.0;5;-232.0;221.0;812.0;295.0;-779.0
87.0;701.0;582.0;938.0;-659.0;3;-745.0;360.0;386.0;275.0;-607.0
187.0;815.0;828.0;807.0;-321.0;16;-395.0;443.0;747.0;454.0;-882.0
256.0;889.0;914.0;872.0;-410.0;16;-373.0;486.0;797.0;465.0;-939.0
403.0;827.0;908.0;1068.0;-674.0;1;-123.0;335.0;906.0;294.0;-728.0
197.0;879.0;929.0;1003.0;-457.0;6;-340.0;539.0;905.0;430.0;-846.0
62.0;770.0;908.0;725.0;-389.0;19;-384.0;518.0;821.0;423.0;-750.0
277.0;554.0;625.0;1055.0;-457.0;17;-339.0;674.0;581.0;415.0;-518.0
244.0;880.0;916.0;899.0;-429.0;6;-276.0;449.0;884.0;409.0;-848.0
136.0;814.0;843.0;957.0;-468.0;6;-361.0;457.0;779.0;412.0;-846.0
182.0;934.0;959.0;942.0;-537.0;6;-314.0;380.0;951.0;463.0;-792.0
65.0;851.0;853.0;989.0;-454.0;7;-483.0;393.0;772.0;448.0;-914.0
18.0;762.0;800.0;987.0;-493.0;7;-491.0;428.0;654.0;433.0;-870.0
-10.0;818.0;883.0;877.0;-576.0;7;-540.0;486.0;721.0;451.0;-828.0
0.0;866.0;881.0;925.0;-539.0;7;-534.0;439.0;770.0;437.0;-754.0
191.0;726.0;952.0;1049.0;-465.0;-3;-178.0;427.0;815.0;295.0;-842.0
-18.0;877.0;904.0;898.0;-564.0;8;-474.0;338.0;789.0;369.0;-686.0
119.0;710.0;788.0;1104.0;-464.0;-15;-390.0;404.0;673.0;396.0;-653.0
114.0;648.0;742.0;741.0;-386.0;10;-199.0;343.0;642.0;225.0;-755.0
185.0;784.0;700.0;1005.0;-621.0;8;-321.0;657.0;690.0;521.0;-800.0
215.0;798.0;960.0;1072.0;-403.0;-3;-252.0;230.0;805.0;474.0;-710.0
161.0;733.0;862.0;1008.0;-465.0;-3;-236.0;259.0;773.0;413.0;-744.0
235.0;840.0;962.0;909.0;-507.0;-4;-321.0;294.0;870.0;432.0;-764.0
200.0;817.0;927.0;960.0;-456.0;-7;-307.0;291.0;829.0;355.0;-713.0
148.0;726.0;890.0;1015.0;-381.0;-8;-283.0;221.0;780.0;394.0;-649.0
107.0;832.0;895.0;1109.0;-541.0;8;-480.0;513.0;759.0;489.0;-644.0
163.0;842.0;853.0;1015.0;-591.0;8;-410.0;551.0;817.0;536.0;-619.0
578.0;1005.0;963.0;1414.0;-690.0;-3;-476.0;813.0;952.0;784.0;-391.0
173.0;673.0;691.0;1086.0;-783.0;7;-293.0;318.0;649.0;378.0;-539.0
464.0;810.0;826.0;750.0;-180.0;8;-86.0;583.0;939.0;331.0;-587.0
52.0;675.0;779.0;951.0;-477.0;7;-300.0;342.0;704.0;373.0;-967.0
191.0;849.0;847.0;1024.0;-624.0;8;-402.0;555.0;802.0;537.0;-803.0
198.0;854.0;807.0;965.0;-626.0;7;-404.0;567.0;784.0;426.0;-760.0
187.0;820.0;812.0;1063.0;-538.0;5;-452.0;634.0;748.0;522.0;-775.0
219.0;892.0;984.0;916.0;-442.0;9;-202.0;359.0;917.0;375.0;-887.0
171.0;801.0;740.0;1073.0;-606.0;5;-455.0;653.0;729.0;563.0;-788.0
-8.0;776.0;863.0;1017.0;-725.0;-5;-726.0;534.0;697.0;575.0;-810.0
115.0;748.0;698.0;999.0;-615.0;9;-301.0;767.0;707.0;357.0;-702.0
213.0;879.0;846.0;1060.0;-581.0;8;-435.0;672.0;823.0;556.0;-679.0
65.0;724.0;543.0;940.0;-667.0;4;-427.0;769.0;722.0;579.0;-644.0
203.0;643.0;415.0;979.0;-840.0;4;-468.0;942.0;644.0;769.0;-717.0
97.0;753.0;756.0;978.0;-547.0;-52;-194.0;322.0;930.0;528.0;-877.0
81.0;722.0;674.0;941.0;-745.0;-25;-329.0;651.0;821.0;581.0;-630.0
43.0;588.0;788.0;1029.0;-577.0;8;-407.0;321.0;609.0;296.0;-482.0
230.0;863.0;912.0;1058.0;-512.0;6;-224.0;494.0;881.0;436.0;-846.0
180.0;836.0;889.0;1004.0;-474.0;6;-284.0;511.0;865.0;489.0;-844.0
147.0;905.0;911.0;1000.0;-430.0;6;-344.0;482.0;904.0;461.0;-866.0
-40.0;789.0;787.0;1030.0;-481.0;7;-548.0;450.0;774.0;434.0;-825.0
-4.0;823.0;864.0;904.0;-544.0;28;-377.0;438.0;796.0;353.0;-520.0
-198.0;865.0;915.0;1072.0;-615.0;3;-474.0;389.0;884.0;491.0;-928.0
241.0;868.0;940.0;871.0;-434.0;9;-213.0;414.0;896.0;363.0;-877.0
228.0;866.0;944.0;897.0;-444.0;9;-214.0;394.0;912.0;355.0;-870.0
163.0;789.0;831.0;985.0;-588.0;12;-220.0;168.0;834.0;355.0;-635.0
141.0;779.0;472.0;979.0;-631.0;7;-293.0;679.0;828.0;482.0;-703.0
224.0;650.0;474.0;973.0;-546.0;7;-334.0;705.0;637.0;576.0;-610.0
134.0;783.0;833.0;961.0;-729.0;7;-441.0;597.0;663.0;536.0;-693.0
186.0;829.0;687.0;965.0;-654.0;9;-510.0;628.0;720.0;589.0;-739.0
145.0;639.0;791.0;924.0;-702.0;2;-242.0;375.0;681.0;361.0;-735.0
110.0;857.0;740.0;913.0;-750.0;8;-500.0;601.0;692.0;648.0;-709.0
160.0;708.0;873.0;923.0;-614.0;-7;-244.0;350.0;759.0;310.0;-914.0
89.0;746.0;1001.0;875.0;-369.0;-9;-304.0;259.0;798.0;478.0;-654.0
279.0;686.0;662.0;972.0;-641.0;-5;-345.0;707.0;719.0;530.0;-584.0
128.0;763.0;935.0;808.0;-343.0;-9;-326.0;393.0;789.0;415.0;-658.0
178.0;699.0;890.0;866.0;-475.0;-10;-187.0;458.0;779.0;463.0;-677.0
197.0;793.0;900.0;1049.0;-571.0;-8;-412.0;411.0;836.0;531.0;-871.0
87.0;691.0;802.0;1011.0;-595.0;3;-500.0;596.0;676.0;515.0;-831.0
89.0;670.0;765.0;985.0;-676.0;-6;-493.0;598.0;653.0;511.0;-849.0
225.0;920.0;987.0;839.0;-430.0;9;-221.0;374.0;886.0;392.0;-880.0
113.0;645.0;721.0;956.0;-509.0;-5;-442.0;512.0;656.0;522.0;-828.0
83.0;593.0;761.0;1057.0;-480.0;-12;-412.0;414.0;607.0;525.0;-901.0
39.0;603.0;628.0;962.0;-683.0;-7;-510.0;538.0;557.0;535.0;-768.0
53.0;843.0;873.0;1002.0;-550.0;9;-358.0;575.0;830.0;556.0;-774.0
123.0;775.0;865.0;980.0;-481.0;8;-318.0;319.0;825.0;508.0;-681.0
231.0;868.0;934.0;869.0;-463.0;9;-222.0;458.0;925.0;414.0;-877.0
218.0;867.0;937.0;850.0;-435.0;9;-241.0;474.0;908.0;440.0;-881.0
220.0;839.0;941.0;914.0;-429.0;10;-223.0;495.0;848.0;435.0;-880.0
256.0;829.0;883.0;920.0;-456.0;10;-193.0;486.0;867.0;426.0;-881.0
261.0;839.0;889.0;902.0;-426.0;11;-199.0;447.0;898.0;439.0;-857.0
205.0;705.0;592.0;949.0;-649.0;-1;-475.0;716.0;598.0;712.0;-737.0
246.0;865.0;925.0;862.0;-409.0;11;-193.0;400.0;901.0;335.0;-900.0
235.0;707.0;648.0;1046.0;-661.0;-11;-487.0;701.0;567.0;594.0;-778.0
30.0;732.0;767.0;826.0;-426.0;-74;-380.0;163.0;677.0;338.0;-624.0
257.0;711.0;645.0;985.0;-736.0;-8;-504.0;659.0;634.0;598.0;-745.0
105.0;740.0;816.0;882.0;-413.0;10;-288.0;371.0;807.0;430.0;-646.0
214.0;820.0;501.0;721.0;-510.0;6;-607.0;413.0;547.0;356.0;-732.0
228.0;722.0;466.0;700.0;-552.0;6;-578.0;336.0;464.0;369.0;-675.0
228.0;805.0;879.0;1150.0;-589.0;-43;-303.0;309.0;803.0;446.0;-802.0
203.0;873.0;968.0;925.0;-445.0;11;-233.0;356.0;905.0;365.0;-907.0
140.0;748.0;797.0;826.0;-797.0;-6;-500.0;455.0;645.0;630.0;-774.0
77.0;694.0;919.0;852.0;-410.0;2;-173.0;289.0;796.0;425.0;-820.0
