Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
221.0;917.0;952.0;738.0;-646.0;13;-341.0;562.0;911.0;546.0;-787.0
144.0;772.0;938.0;958.0;-345.0;7;-259.0;248.0;840.0;355.0;-700.0
68.0;960.0;977.0;593.0;-362.0;-21;-360.0;195.0;881.0;319.0;-696.0
156.0;880.0;928.0;482.0;-406.0;-9;-464.0;250.0;856.0;407.0;-1453.0
214.0;754.0;850.0;996.0;-432.0;11;-255.0;261.0;851.0;295.0;-784.0
171.0;747.0;933.0;991.0;-395.0;2;-233.0;264.0;797.0;381.0;-850.0
221.0;971.0;760.0;886.0;-622.0;3;-125.0;203.0;992.0;200.0;-854.0
-19.0;742.0;854.0;880.0;-703.0;7;-455.0;283.0;678.0;411.0;-638.0
46.0;822.0;913.0;1023.0;-674.0;9;-477.0;375.0;755.0;483.0;-582.0
197.0;933.0;1019.0;919.0;-742.0;20;-555.0;467.0;861.0;610.0;-969.0
-47.0;781.0;794.0;1262.0;-559.0;0;-515.0;321.0;644.0;384.0;-671.0
267.0;821.0;874.0;1013.0;-459.0;7;-296.0;261.0;812.0;345.0;-809.0
534.0;1076.0;1221.0;876.0;-520.0;5;-99.0;479.0;1167.0;404.0;-992.0
152.0;828.0;931.0;943.0;-353.0;3;-174.0;135.0;862.0;244.0;-889.0
171.0;815.0;869.0;933.0;-405.0;20;-202.0;240.0;819.0;306.0;-839.0
146.0;826.0;865.0;1013.0;-376.0;19;-257.0;310.0;833.0;350.0;-732.0
208.0;650.0;628.0;1038.0;-608.0;13;-542.0;443.0;729.0;674.0;-640.0
377.0;992.0;1203.0;889.0;-501.0;35;-274.0;650.0;1041.0;531.0;-654.0
129.0;864.0;1001.0;885.0;-579.0;13;-437.0;445.0;830.0;453.0;-811.0
143.0;774.0;864.0;931.0;-563.0;12;-374.0;447.0;791.0;482.0;-710.0
219.0;840.0;913.0;1071.0;-601.0;22;-349.0;510.0;848.0;496.0;-829.0
171.0;708.0;853.0;912.0;-385.0;13;-373.0;578.0;818.0;605.0;-787.0
167.0;713.0;812.0;986.0;-757.0;-13;-368.0;521.0;713.0;360.0;-1048.0
232.0;710.0;820.0;1010.0;-352.0;-6;-320.0;250.0;745.0;308.0;-697.0
216.0;905.0;962.0;989.0;-513.0;-7;-281.0;461.0;911.0;389.0;-780.0
166.0;850.0;900.0;877.0;-430.0;-7;-329.0;346.0;871.0;396.0;-763.0
229.0;841.0;921.0;857.0;-129.0;5;-140.0;-29.0;821.0;123.0;-787.0
427.0;750.0;474.0;1027.0;-383.0;5;-377.0;827.0;723.0;726.0;-742.0
63.0;882.0;681.0;1025.0;-686.0;4;-359.0;477.0;757.0;562.0;-711.0
101.0;925.0;740.0;901.0;-431.0;-6;-421.0;281.0;740.0;420.0;-962.0
-29.0;814.0;593.0;866.0;-527.0;4;-512.0;248.0;662.0;441.0;-693.0
201.0;688.0;729.0;976.0;-424.0;11;-230.0;281.0;725.0;302.0;-632.0
179.0;642.0;765.0;972.0;-427.0;3;-164.0;288.0;705.0;204.0;-572.0
41.0;666.0;752.0;1044.0;-542.0;11;-349.0;323.0;666.0;309.0;-606.0
235.0;778.0;829.0;1067.0;-250.0;1;-108.0;166.0;876.0;339.0;-760.0
256.0;893.0;958.0;952.0;-518.0;9;-201.0;134.0;986.0;328.0;-695.0
66.0;729.0;828.0;1024.0;-521.0;6;-350.0;370.0;750.0;346.0;-624.0
90.0;749.0;841.0;1480.0;-412.0;11;-311.0;155.0;648.0;339.0;-685.0
265.0;679.0;585.0;782.0;-528.0;4;-393.0;824.0;757.0;737.0;-685.0
194.0;717.0;927.0;271.0;-631.0;-15;-536.0;648.0;766.0;736.0;-660.0
-27.0;756.0;812.0;708.0;-685.0;11;-459.0;377.0;637.0;339.0;-730.0
0.0;832.0;669.0;931.0;-747.0;-2;-501.0;305.0;591.0;278.0;-807.0
65.0;847.0;830.0;774.0;-562.0;23;-410.0;285.0;757.0;384.0;-767.0
-59.0;877.0;1111.0;694.0;-564.0;2;-426.0;236.0;908.0;352.0;-727.0
78.0;763.0;852.0;973.0;-454.0;8;-466.0;452.0;765.0;535.0;-754.0
115.0;958.0;1066.0;684.0;-650.0;10;-331.0;349.0;967.0;435.0;-927.0
397.0;858.0;996.0;977.0;-268.0;7;-31.0;214.0;928.0;190.0;-899.0
190.0;618.0;679.0;992.0;-743.0;7;-533.0;706.0;599.0;703.0;-532.0
64.0;-207.0;622.0;386.0;-866.0;2;-693.0;714.0;-194.0;968.0;355.0
10.0;944.0;1015.0;989.0;-398.0;9;-231.0;284.0;952.0;315.0;-910.0
174.0;947.0;1043.0;810.0;-295.0;16;-284.0;146.0;930.0;172.0;-828.0
87.0;784.0;882.0;894.0;-437.0;12;-392.0;319.0;794.0;418.0;-826.0
189.0;1009.0;1046.0;869.0;-637.0;8;-194.0;255.0;976.0;212.0;-805.0
76.0;881.0;951.0;707.0;-358.0;14;-307.0;370.0;833.0;406.0;-977.0
