InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
-371.0;-626.0;1024.0;179.0;347.0;41;-553.0;-772.0;-513.0;-477.0
-39.0;-296.0;39.0;-612.0;305.0;-107;-184.0;154.0;175.0;539.0
-368.0;-190.0;-17.0;-393.0;-112.0;33;-15.0;242.0;42.0;341.0
-531.0;-386.0;51.0;-1026.0;-344.0;40;-95.0;587.0;260.0;781.0
82.0;-691.0;140.0;-369.0;467.0;-82;243.0;150.0;-150.0;386.0
-403.0;-346.0;75.0;-437.0;-134.0;44;-28.0;212.0;123.0;421.0
-402.0;-356.0;138.0;-446.0;-127.0;44;-29.0;194.0;109.0;408.0
-28.0;-318.0;75.0;-248.0;-188.0;-138;-312.0;83.0;308.0;347.0
74.0;-275.0;126.0;-519.0;-263.0;-164;-493.0;-178.0;346.0;275.0
-397.0;-363.0;89.0;-432.0;-115.0;44;-39.0;217.0;97.0;414.0
62.0;-144.0;0.0;-288.0;-259.0;-102;-535.0;-111.0;272.0;356.0
-70.0;-308.0;128.0;-261.0;-254.0;-152;-387.0;156.0;391.0;355.0
-10.0;-164.0;350.0;-168.0;-453.0;-194;-572.0;189.0;601.0;391.0
-397.0;-367.0;92.0;-364.0;-112.0;43;-44.0;255.0;90.0;393.0
-399.0;-637.0;80.0;-604.0;-466.0;-109;-419.0;-45.0;219.0;167.0
-343.0;-395.0;-74.0;-719.0;-635.0;-83;-72.0;227.0;249.0;366.0
-384.0;-452.0;178.0;-492.0;-138.0;-28;-100.0;404.0;79.0;334.0
-918.0;-921.0;-48.0;-856.0;-331.0;45;111.0;430.0;-1.0;751.0
-470.0;-798.0;1.0;-657.0;114.0;-79;-9.0;-88.0;63.0;371.0
-371.0;-423.0;141.0;-571.0;-171.0;-34;-125.0;135.0;58.0;541.0
-373.0;-416.0;105.0;-499.0;-169.0;-36;-123.0;136.0;50.0;429.0
-429.0;-409.0;146.0;-126.0;-186.0;43;-106.0;132.0;106.0;297.0
-276.0;-793.0;-162.0;-631.0;66.0;157;-89.0;254.0;108.0;638.0
-153.0;-533.0;58.0;-632.0;2.0;128;-106.0;434.0;123.0;534.0
-174.0;-771.0;-53.0;-711.0;-280.0;141;-393.0;281.0;415.0;418.0
-102.0;-477.0;117.0;-377.0;-37.0;-79;-130.0;318.0;307.0;329.0
-97.0;-481.0;200.0;-461.0;-27.0;-86;-111.0;213.0;298.0;325.0
-102.0;-501.0;142.0;-477.0;-6.0;-85;-43.0;29.0;276.0;498.0
-173.0;-590.0;151.0;-570.0;-24.0;112;-137.0;169.0;149.0;319.0
