InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-830;447.0;68.0;75;19;5;-275;922.0;-10;60;5;346.0
-876;573.0;155.0;12;14;79;-166;946.0;63;52;79;187.0
-808;859.0;-221.0;-3;16;-9;-229;859.0;1;71;-9;384.0
-814;861.0;-212.0;-3;16;-29;-223;862.0;5;68;-29;390.0
-805;841.0;-226.0;-3;16;13;-228;866.0;-1;73;13;373.0
-808;893.0;-198.0;-3;16;-14;-225;867.0;1;72;-14;375.0
-809;851.0;-221.0;-3;16;3;-226;847.0;3;71;3;384.0
-808;869.0;-198.0;-3;16;5;-227;873.0;3;71;5;391.0
-809;860.0;-209.0;-3;16;-18;-223;856.0;7;72;-18;380.0
-793;861.0;-197.0;-4;16;-29;-221;846.0;15;75;-29;373.0
-754;882.0;-211.0;-4;18;-1;-274;873.0;-6;84;-1;362.0
-762;898.0;-188.0;-4;19;24;-278;877.0;-9;78;24;302.0
-729;913.0;-193.0;-4;19;-5;-267;884.0;-2;93;-5;340.0
-729;919.0;-184.0;-4;19;10;-271;874.0;-6;91;10;316.0
-736;930.0;-204.0;-4;19;-16;-274;867.0;3;83;-16;343.0
-803;852.0;-239.0;-3;16;-1;-231;872.0;0;75;-1;387.0
-779;898.0;-221.0;-4;18;16;-270;902.0;-20;70;16;362.0
-787;891.0;-225.0;-4;18;8;-253;873.0;-5;74;8;365.0
-788;882.0;-203.0;-4;18;-25;-246;865.0;3;75;-25;364.0
-785;908.0;-202.0;-4;18;-18;-252;879.0;-2;77;-18;362.0
-784;871.0;-218.0;-4;18;7;-258;872.0;-8;79;7;375.0
-784;864.0;-231.0;-4;18;16;-254;877.0;-2;78;16;369.0
-791;882.0;-240.0;-4;18;7;-250;881.0;2;72;7;355.0
-788;871.0;-225.0;-4;18;-12;-257;885.0;-5;73;-12;343.0
-784;891.0;-222.0;-4;18;-14;-253;864.0;-2;77;-14;374.0
-786;898.0;-213.0;-4;18;38;-249;878.0;3;73;38;384.0
