InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2
-550.0;-108.0;105.0;-383.0;-402.0;-238.0;-635.0;-567.0;-97.0;174.0;463.0;-708.0;293.0
-541.0;-114.0;119.0;-376.0;-415.0;-248.0;-636.0;-574.0;-91.0;178.0;453.0;-711.0;285.0
-615.0;-6.0;-11.0;-280.0;-347.0;-192.0;-569.0;-472.0;-223.0;107.0;528.0;-711.0;348.0
-613.0;-9.0;-10.0;-284.0;-349.0;-194.0;-570.0;-475.0;-221.0;110.0;526.0;-711.0;346.0
-639.0;-30.0;142.0;-360.0;-350.0;-192.0;-618.0;-462.0;-193.0;146.0;505.0;-691.0;321.0
-635.0;-42.0;120.0;-366.0;-351.0;-177.0;-621.0;-464.0;-182.0;149.0;508.0;-696.0;311.0
-611.0;-12.0;-11.0;-287.0;-351.0;-196.0;-572.0;-477.0;-219.0;112.0;525.0;-712.0;344.0
-584.0;-119.0;207.0;-447.0;-406.0;-223.0;-638.0;-521.0;-114.0;221.0;472.0;-706.0;285.0
-590.0;-101.0;174.0;-424.0;-405.0;-230.0;-634.0;-518.0;-122.0;208.0;469.0;-706.0;291.0
-599.0;-83.0;152.0;-408.0;-405.0;-239.0;-631.0;-509.0;-126.0;192.0;466.0;-707.0;294.0
-621.0;-94.0;198.0;-422.0;-413.0;-252.0;-634.0;-470.0;-126.0;203.0;472.0;-715.0;266.0
-611.0;-14.0;-11.0;-290.0;-352.0;-197.0;-573.0;-477.0;-218.0;113.0;525.0;-712.0;343.0
-587.0;-115.0;169.0;-455.0;-419.0;-244.0;-645.0;-512.0;-112.0;211.0;466.0;-714.0;248.0
-580.0;-176.0;215.0;-465.0;-326.0;-274.0;-585.0;-534.0;-97.0;259.0;522.0;-757.0;274.0
-582.0;-84.0;178.0;-432.0;-417.0;-285.0;-622.0;-533.0;-123.0;207.0;452.0;-721.0;279.0
-609.0;-19.0;-9.0;-295.0;-355.0;-200.0;-573.0;-479.0;-216.0;116.0;523.0;-712.0;342.0
-608.0;-26.0;-1.0;-302.0;-357.0;-202.0;-575.0;-480.0;-214.0;121.0;523.0;-712.0;341.0
-606.0;-33.0;1.0;-314.0;-359.0;-204.0;-576.0;-481.0;-211.0;126.0;522.0;-712.0;341.0
-605.0;-38.0;-13.0;-327.0;-361.0;-205.0;-577.0;-482.0;-209.0;126.0;521.0;-712.0;340.0
-578.0;-117.0;166.0;-492.0;-410.0;-225.0;-635.0;-523.0;-119.0;193.0;473.0;-719.0;256.0
-617.0;-15.0;-13.0;-289.0;-362.0;-201.0;-577.0;-467.0;-222.0;107.0;520.0;-704.0;348.0
-616.0;-16.0;-14.0;-291.0;-365.0;-203.0;-579.0;-469.0;-222.0;107.0;517.0;-704.0;347.0
-615.0;-18.0;-15.0;-292.0;-368.0;-204.0;-581.0;-471.0;-221.0;107.0;515.0;-703.0;346.0
-614.0;-19.0;-14.0;-294.0;-370.0;-205.0;-583.0;-473.0;-220.0;109.0;512.0;-702.0;344.0
-613.0;-21.0;-13.0;-297.0;-372.0;-205.0;-585.0;-475.0;-218.0;111.0;510.0;-702.0;342.0
-738.0;73.0;-15.0;-230.0;-230.0;-105.0;-546.0;-254.0;-271.0;90.0;581.0;-694.0;383.0
-654.0;-55.0;9.0;-346.0;-331.0;-150.0;-606.0;-426.0;-190.0;160.0;531.0;-710.0;302.0
-649.0;-77.0;10.0;-370.0;-335.0;-171.0;-606.0;-433.0;-188.0;183.0;529.0;-712.0;300.0
-550.0;-123.0;105.0;-422.0;-455.0;-277.0;-635.0;-522.0;-101.0;106.0;468.0;-707.0;295.0
-553.0;-128.0;114.0;-424.0;-451.0;-274.0;-637.0;-521.0;-95.0;110.0;468.0;-709.0;287.0
-555.0;-151.0;150.0;-452.0;-451.0;-273.0;-637.0;-523.0;-87.0;137.0;465.0;-717.0;271.0
-553.0;-161.0;167.0;-470.0;-451.0;-274.0;-636.0;-527.0;-85.0;153.0;461.0;-720.0;263.0
-566.0;-171.0;117.0;-501.0;-428.0;-245.0;-650.0;-537.0;-104.0;197.0;456.0;-709.0;252.0
-565.0;-171.0;131.0;-455.0;-439.0;-251.0;-659.0;-537.0;-95.0;190.0;448.0;-705.0;246.0
-560.0;-165.0;153.0;-439.0;-444.0;-261.0;-662.0;-541.0;-85.0;187.0;444.0;-705.0;242.0
-544.0;-162.0;180.0;-429.0;-451.0;-279.0;-666.0;-557.0;-66.0;197.0;437.0;-707.0;229.0
-537.0;-164.0;190.0;-433.0;-453.0;-286.0;-667.0;-565.0;-63.0;204.0;433.0;-709.0;221.0
-530.0;-165.0;197.0;-440.0;-454.0;-289.0;-667.0;-574.0;-63.0;208.0;429.0;-710.0;217.0
-606.0;-25.0;-10.0;-299.0;-379.0;-211.0;-591.0;-486.0;-215.0;118.0;503.0;-703.0;332.0
-605.0;-26.0;-6.0;-300.0;-378.0;-212.0;-591.0;-488.0;-214.0;121.0;502.0;-705.0;329.0
-605.0;-27.0;-1.0;-302.0;-378.0;-212.0;-591.0;-490.0;-212.0;125.0;502.0;-707.0;326.0
-603.0;-27.0;8.0;-302.0;-376.0;-213.0;-589.0;-495.0;-206.0;135.0;500.0;-714.0;318.0
-603.0;-28.0;10.0;-303.0;-376.0;-214.0;-590.0;-496.0;-205.0;136.0;499.0;-715.0;316.0
-601.0;-36.0;8.0;-314.0;-374.0;-217.0;-588.0;-501.0;-195.0;141.0;498.0;-721.0;309.0
-632.0;-110.0;141.0;-421.0;-364.0;-188.0;-625.0;-463.0;-131.0;237.0;504.0;-720.0;273.0
-639.0;-90.0;121.0;-405.0;-362.0;-197.0;-620.0;-456.0;-146.0;218.0;502.0;-716.0;286.0
-645.0;-75.0;116.0;-396.0;-363.0;-212.0;-616.0;-448.0;-159.0;204.0;501.0;-712.0;298.0
-599.0;-38.0;5.0;-315.0;-374.0;-217.0;-588.0;-502.0;-194.0;145.0;499.0;-723.0;308.0
-655.0;-58.0;126.0;-385.0;-358.0;-228.0;-614.0;-435.0;-172.0;191.0;504.0;-706.0;307.0
-597.0;-39.0;5.0;-318.0;-375.0;-218.0;-587.0;-504.0;-193.0;150.0;499.0;-724.0;308.0
-589.0;-49.0;37.0;-341.0;-377.0;-222.0;-587.0;-512.0;-188.0;173.0;499.0;-725.0;307.0
-585.0;-59.0;56.0;-359.0;-378.0;-224.0;-586.0;-517.0;-184.0;181.0;497.0;-727.0;305.0
-584.0;-63.0;49.0;-358.0;-380.0;-226.0;-586.0;-519.0;-183.0;180.0;496.0;-729.0;304.0
-653.0;-42.0;143.0;-377.0;-362.0;-235.0;-611.0;-445.0;-173.0;181.0;495.0;-712.0;300.0
-582.0;-65.0;42.0;-358.0;-381.0;-228.0;-586.0;-522.0;-181.0;181.0;493.0;-729.0;303.0
-580.0;-69.0;40.0;-361.0;-383.0;-230.0;-587.0;-525.0;-179.0;182.0;491.0;-729.0;302.0
-578.0;-72.0;40.0;-363.0;-384.0;-231.0;-588.0;-527.0;-178.0;182.0;490.0;-729.0;301.0
-575.0;-75.0;42.0;-365.0;-387.0;-232.0;-590.0;-530.0;-175.0;181.0;489.0;-729.0;301.0
-573.0;-73.0;42.0;-363.0;-387.0;-232.0;-590.0;-532.0;-174.0;177.0;489.0;-729.0;301.0
-575.0;-60.0;35.0;-343.0;-380.0;-225.0;-587.0;-529.0;-176.0;171.0;496.0;-728.0;306.0
-576.0;-57.0;37.0;-337.0;-380.0;-226.0;-587.0;-526.0;-178.0;171.0;497.0;-728.0;307.0
-579.0;-54.0;41.0;-334.0;-379.0;-226.0;-585.0;-524.0;-179.0;172.0;497.0;-728.0;308.0
-581.0;-52.0;44.0;-331.0;-377.0;-226.0;-584.0;-521.0;-181.0;172.0;499.0;-729.0;309.0
-584.0;-48.0;42.0;-325.0;-374.0;-225.0;-583.0;-517.0;-184.0;168.0;501.0;-728.0;310.0
-588.0;-42.0;32.0;-315.0;-372.0;-224.0;-581.0;-513.0;-186.0;161.0;503.0;-728.0;312.0
-591.0;-35.0;17.0;-304.0;-370.0;-222.0;-578.0;-508.0;-190.0;152.0;505.0;-728.0;315.0
-595.0;-27.0;3.0;-295.0;-368.0;-220.0;-578.0;-505.0;-193.0;141.0;506.0;-727.0;318.0
