InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-25;1001.0;-6.0;-66.0;304.0;-115;-163.0;357;-957.0;249.0
-21;1016.0;-4.0;-30.0;264.0;-144;16.0;348;-956.0;58.0
-21;1031.0;14.0;-22.0;255.0;-144;-7.0;352;-964.0;51.0
-21;1001.0;27.0;3.0;258.0;-144;28.0;355;-964.0;-92.0
-21;999.0;-13.0;-19.0;273.0;-145;27.0;348;-959.0;-34.0
-21;1010.0;19.0;7.0;276.0;-145;6.0;342;-953.0;-27.0
-21;1012.0;5.0;5.0;268.0;-145;-10.0;355;-970.0;11.0
-21;1000.0;11.0;-15.0;267.0;-145;-18.0;347;-965.0;51.0
-21;995.0;36.0;-29.0;263.0;-145;3.0;354;-953.0;-2.0
-21;998.0;28.0;21.0;266.0;-144;27.0;347;-957.0;52.0
-21;999.0;30.0;-1.0;263.0;-144;37.0;347;-954.0;16.0
-21;1006.0;-42.0;-13.0;266.0;-144;20.0;352;-962.0;27.0
-27;899.0;139.0;146.0;254.0;-114;81.0;917;-852.0;-258.0
-30;942.0;74.0;36.0;270.0;-72;120.0;493;-896.0;-22.0
-24;1010.0;759.0;-18.0;229.0;-75;329.0;419;-815.0;-45.0
-37;1027.0;81.0;17.0;257.0;-77;280.0;549;-891.0;-65.0
-21;1017.0;17.0;-19.0;278.0;-145;-3.0;347;-954.0;66.0
-21;1013.0;-9.0;11.0;280.0;-145;-5.0;342;-942.0;100.0
-21;1009.0;-4.0;4.0;272.0;-145;54.0;347;-950.0;42.0
-21;1011.0;-4.0;56.0;273.0;-145;59.0;347;-955.0;0.0
-21;983.0;-37.0;28.0;273.0;-145;47.0;349;-967.0;-14.0
-28;1005.0;52.0;53.0;263.0;-71;33.0;445;-919.0;25.0
-27;979.0;2.0;19.0;276.0;-71;23.0;439;-933.0;-2.0
-27;967.0;0.0;41.0;237.0;-71;44.0;442;-950.0;3.0
-27;968.0;-42.0;6.0;223.0;-71;40.0;440;-935.0;35.0
-27;986.0;4.0;21.0;219.0;-71;60.0;433;-931.0;46.0
-27;960.0;-15.0;24.0;218.0;-71;48.0;433;-928.0;69.0
-27;970.0;-25.0;-10.0;218.0;-71;11.0;428;-943.0;8.0
-27;959.0;6.0;2.0;213.0;-71;3.0;420;-932.0;31.0
-27;989.0;-33.0;-11.0;214.0;-71;-5.0;428;-934.0;59.0
-27;970.0;-10.0;-11.0;216.0;-71;17.0;437;-939.0;34.0
-27;982.0;-7.0;-22.0;221.0;-71;-1.0;432;-939.0;42.0
-27;998.0;-16.0;-58.0;231.0;-71;-19.0;428;-935.0;93.0
-20;1027.0;-83.0;-157.0;160.0;8;-131.0;347;-970.0;269.0
-28;1018.0;-122.0;-205.0;143.0;-71;-135.0;439;-844.0;103.0
-18;1167.0;-142.0;-186.0;292.0;-31;-7.0;369;-784.0;89.0
-27;1038.0;-60.0;-17.0;225.0;-71;17.0;434;-885.0;66.0
-22;886.0;-226.0;-75.0;306.0;-147;-167.0;339;-857.0;188.0
-26;1071.0;-18.0;-30.0;472.0;-15;146.0;385;-1122.0;181.0
-22;869.0;-55.0;-27.0;296.0;-147;-45.0;336;-851.0;35.0
-27;1032.0;146.0;-417.0;240.0;-87;-621.0;392;-963.0;379.0
-20;1059.0;-11.0;-3.0;216.0;-129;41.0;339;-985.0;-17.0
-20;803.0;-24.0;-60.0;228.0;-136;-48.0;322;-794.0;-72.0
-22;830.0;21.0;-23.0;296.0;-147;-8.0;332;-855.0;-21.0
-25;951.0;12.0;60.0;415.0;-74;160.0;397;-738.0;-164.0
-27;870.0;-14.0;4.0;351.0;-71;-56.0;412;-760.0;42.0
-26;812.0;8.0;-12.0;431.0;-78;7.0;427;-709.0;12.0
-28;844.0;74.0;-45.0;418.0;-75;-63.0;426;-728.0;210.0
-22;850.0;3.0;-21.0;304.0;-147;-1.0;325;-847.0;-1.0
-22;860.0;3.0;-29.0;299.0;-147;-1.0;338;-832.0;28.0
-22;849.0;24.0;-18.0;284.0;-147;14.0;342;-841.0;32.0
-24;423.0;7.0;7.0;738.0;-74;-21.0;389;-403.0;97.0
-25;644.0;89.0;62.0;440.0;-75;212.0;374;-652.0;-74.0
-31;723.0;-70.0;18.0;411.0;-78;30.0;461;-624.0;-19.0
-31;685.0;107.0;-118.0;631.0;-76;-121.0;457;-566.0;165.0
-27;698.0;-13.0;-7.0;476.0;-78;-5.0;426;-653.0;37.0
-24;696.0;-143.0;25.0;352.0;-74;-67.0;391;-594.0;108.0
-32;560.0;104.0;-113.0;371.0;-74;-139.0;481;-460.0;149.0
-22;851.0;58.0;-15.0;286.0;-147;-25.0;329;-837.0;40.0
-21;911.0;94.0;-262.0;272.0;-147;-218.0;325;-809.0;12.0
-21;992.0;-37.0;-2.0;281.0;-145;37.0;337;-968.0;1.0
-23;704.0;-42.0;-60.0;227.0;-8;-203.0;355;-847.0;74.0
-21;1012.0;-52.0;-23.0;277.0;-145;53.0;339;-963.0;-7.0
-21;1008.0;-46.0;-4.0;275.0;-145;10.0;338;-953.0;41.0
-20;858.0;-243.0;93.0;268.0;-142;66.0;325;-736.0;194.0
-20;879.0;-39.0;31.0;262.0;-135;41.0;333;-797.0;3.0
-31;1025.0;101.0;-67.0;257.0;14;-248.0;-1051;-872.0;-297.0
-20;1000.0;-46.0;29.0;239.0;-156;20.0;342;-963.0;50.0
-20;989.0;-45.0;29.0;242.0;-156;14.0;343;-958.0;65.0
-20;1007.0;-35.0;35.0;240.0;-156;18.0;343;-965.0;70.0
-67;1190.0;-58.0;114.0;185.0;-145;-119.0;-280;-947.0;93.0
-20;985.0;-3.0;14.0;249.0;-156;-20.0;339;-950.0;60.0
-20;996.0;-57.0;-11.0;237.0;-156;17.0;335;-950.0;99.0
-20;1013.0;2.0;13.0;251.0;-154;14.0;346;-971.0;32.0
-20;1030.0;8.0;-12.0;243.0;-154;12.0;345;-958.0;21.0
-20;1014.0;17.0;10.0;239.0;-154;29.0;342;-951.0;51.0
-20;1026.0;28.0;-1.0;240.0;-154;-9.0;339;-953.0;46.0
-20;1030.0;44.0;11.0;242.0;-154;-1.0;346;-944.0;38.0
-20;1046.0;138.0;72.0;221.0;-156;30.0;342;-934.0;75.0
-20;1017.0;37.0;-44.0;229.0;-156;-25.0;341;-984.0;-47.0
-20;1004.0;15.0;-5.0;245.0;-154;-1.0;341;-975.0;32.0
-20;1011.0;-15.0;12.0;249.0;-154;-19.0;347;-976.0;45.0
-20;1027.0;-17.0;-5.0;243.0;-154;-10.0;343;-961.0;61.0
-20;1022.0;-23.0;-3.0;239.0;-154;-11.0;343;-962.0;28.0
-20;1008.0;3.0;-26.0;239.0;-154;0.0;343;-969.0;44.0
-20;998.0;1.0;3.0;241.0;-154;26.0;344;-974.0;56.0
-20;1003.0;-8.0;-5.0;242.0;-154;2.0;345;-968.0;24.0
-20;1009.0;-25.0;34.0;244.0;-154;8.0;347;-968.0;54.0
-20;1001.0;-4.0;-10.0;240.0;-154;27.0;343;-970.0;34.0
-20;1005.0;-24.0;-16.0;242.0;-154;-7.0;345;-964.0;34.0
-20;1013.0;-21.0;12.0;241.0;-154;20.0;345;-966.0;30.0
-20;1012.0;-13.0;16.0;245.0;-154;-5.0;347;-968.0;37.0
-20;1020.0;-26.0;-12.0;242.0;-154;6.0;342;-967.0;34.0
-20;1011.0;-15.0;-14.0;250.0;-154;18.0;343;-971.0;41.0
-20;1008.0;4.0;-3.0;245.0;-154;-21.0;342;-965.0;64.0
-20;998.0;-7.0;6.0;250.0;-154;-8.0;341;-965.0;56.0
-20;1020.0;17.0;19.0;252.0;-154;21.0;347;-965.0;50.0
-20;1011.0;-11.0;-3.0;251.0;-154;-23.0;346;-965.0;36.0
-20;1022.0;-11.0;14.0;251.0;-154;-13.0;345;-966.0;50.0
-20;1016.0;-28.0;3.0;251.0;-154;0.0;343;-963.0;31.0
-20;1023.0;-30.0;-4.0;250.0;-154;-12.0;341;-961.0;48.0
-20;1004.0;-24.0;-28.0;246.0;-154;-13.0;343;-961.0;60.0
-20;1005.0;-42.0;-5.0;249.0;-154;0.0;339;-963.0;30.0
-20;1010.0;-15.0;3.0;247.0;-154;-21.0;339;-974.0;30.0
-20;1000.0;-17.0;18.0;249.0;-154;-5.0;345;-958.0;26.0
-20;1012.0;-15.0;3.0;245.0;-154;6.0;342;-958.0;42.0
-20;1018.0;1.0;10.0;251.0;-154;-2.0;343;-961.0;74.0
-20;1004.0;5.0;-18.0;254.0;-154;6.0;343;-966.0;56.0
-20;1001.0;-16.0;-1.0;253.0;-154;22.0;343;-971.0;20.0
-20;1014.0;-27.0;2.0;256.0;-154;-9.0;344;-961.0;62.0
-20;999.0;6.0;10.0;258.0;-154;8.0;341;-960.0;62.0
