InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-814;248.0;18.0;143;18;0;-284;900.0;21;73;0;389.0
-817;253.0;10.0;143;18;-7;-294;907.0;31;68;-7;364.0
-828;235.0;10.0;143;18;25;-276;937.0;14;?;25;348.0
-838;?;45.0;143;18;13;-260;911.0;3;58;13;337.0
-836;266.0;39.0;143;18;-4;-252;930.0;?;65;-4;294.0
-835;?;-10.0;143;18;-17;-245;914.0;?;67;-17;343.0
-821;249.0;32.0;143;18;27;-280;903.0;16;66;?;326.0
-828;200.0;43.0;143;18;48;?;905.0;-10;67;48;351.0
-840;239.0;8.0;144;18;-5;-240;927.0;-1;67;-5;?
-828;251.0;?;144;18;-8;-279;919.0;30;67;-8;409.0
-829;245.0;28.0;144;18;37;-247;895.0;-12;64;37;403.0
-836;176.0;100.0;145;18;20;-246;952.0;-8;60;20;307.0
-844;230.0;60.0;145;18;-34;-233;940.0;-11;59;?;285.0
-841;337.0;78.0;145;18;-12;-220;907.0;-19;65;-12;357.0
-834;377.0;22.0;145;18;1;-245;880.0;4;68;1;362.0
-835;320.0;69.0;145;18;-26;-242;909.0;-2;66;-26;407.0
-830;302.0;25.0;145;18;-5;-253;890.0;?;65;-5;417.0
-836;369.0;-33.0;145;18;7;-251;?;3;61;7;284.0
-852;307.0;20.0;145;18;16;-218;937.0;-12;62;16;301.0
-838;308.0;80.0;144;?;35;-243;963.0;-1;63;35;292.0
-828;407.0;-70.0;144;18;22;-269;909.0;8;58;22;390.0
-838;365.0;-115.0;144;18;?;-243;937.0;-1;61;43;306.0
-836;248.0;83.0;144;18;50;-240;985.0;-4;62;50;193.0
