InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-945.0;669.0;-69.0;-20.0;939.0;1024.0;-341.0;-336.0
-955.0;591.0;-168.0;114.0;967.0;1004.0;-205.0;-301.0
-924.0;555.0;-157.0;141.0;1001.0;991.0;-290.0;-206.0
-952.0;507.0;-248.0;194.0;959.0;993.0;-491.0;-349.0
-966.0;566.0;-284.0;140.0;936.0;964.0;-419.0;-360.0
-965.0;568.0;-290.0;140.0;948.0;976.0;-417.0;-324.0
-911.0;565.0;-228.0;202.0;945.0;966.0;-410.0;-352.0
-949.0;562.0;-249.0;205.0;946.0;982.0;-450.0;-358.0
-963.0;564.0;-236.0;160.0;932.0;956.0;-393.0;-368.0
-1073.0;549.0;-316.0;237.0;962.0;907.0;-241.0;-317.0
-937.0;520.0;-245.0;181.0;966.0;1014.0;-641.0;-346.0
-943.0;523.0;-341.0;273.0;931.0;1010.0;-492.0;-527.0
-942.0;561.0;-227.0;136.0;964.0;977.0;-362.0;-309.0
-943.0;556.0;-265.0;113.0;955.0;956.0;-307.0;-321.0
-867.0;534.0;-238.0;99.0;930.0;981.0;-260.0;-351.0
-939.0;554.0;-264.0;143.0;948.0;976.0;-237.0;-337.0
-965.0;562.0;-225.0;205.0;932.0;1012.0;-377.0;-333.0
-937.0;550.0;-277.0;123.0;937.0;990.0;-309.0;-363.0
-945.0;554.0;-245.0;217.0;950.0;990.0;-399.0;-333.0
-943.0;550.0;-275.0;110.0;932.0;970.0;-326.0;-349.0
-952.0;549.0;-291.0;121.0;922.0;950.0;-415.0;-372.0
-962.0;509.0;-198.0;190.0;965.0;968.0;-321.0;-322.0
-954.0;516.0;-220.0;162.0;931.0;996.0;-319.0;-361.0
-946.0;511.0;-219.0;196.0;942.0;985.0;-370.0;-311.0
-950.0;659.0;-259.0;176.0;895.0;1021.0;-255.0;-330.0
-906.0;663.0;-333.0;26.0;931.0;1173.0;-442.0;-572.0
-947.0;503.0;-235.0;155.0;937.0;978.0;-349.0;-384.0
-936.0;499.0;-231.0;161.0;938.0;955.0;-319.0;-371.0
-1159.0;349.0;-155.0;176.0;838.0;740.0;-224.0;-315.0
-916.0;283.0;-192.0;210.0;969.0;959.0;-306.0;-422.0
-944.0;525.0;-251.0;110.0;950.0;957.0;-330.0;-313.0
-944.0;395.0;-266.0;218.0;799.0;878.0;-427.0;-408.0
-954.0;400.0;-190.0;150.0;895.0;940.0;-349.0;-408.0
-907.0;584.0;-278.0;114.0;855.0;973.0;-142.0;-470.0
-713.0;785.0;-264.0;206.0;797.0;897.0;-228.0;-363.0
-900.0;567.0;-186.0;164.0;910.0;1007.0;-337.0;-431.0
-927.0;302.0;-50.0;27.0;945.0;1054.0;-367.0;-390.0
-931.0;571.0;-230.0;162.0;913.0;977.0;-314.0;-407.0
-895.0;641.0;-290.0;171.0;899.0;934.0;-304.0;-381.0
-1102.0;326.0;-136.0;190.0;989.0;955.0;-331.0;-330.0
-972.0;513.0;-192.0;92.0;929.0;990.0;-379.0;-410.0
-864.0;327.0;-114.0;113.0;1097.0;1216.0;-345.0;-504.0
-941.0;655.0;-291.0;163.0;828.0;931.0;-553.0;-462.0
-893.0;422.0;-162.0;61.0;922.0;899.0;-400.0;-292.0
-963.0;573.0;-145.0;84.0;961.0;1006.0;-206.0;-300.0
-894.0;396.0;-108.0;77.0;848.0;961.0;-340.0;-326.0
-958.0;532.0;-178.0;85.0;905.0;979.0;-366.0;-361.0
-955.0;568.0;-206.0;87.0;937.0;980.0;-404.0;-320.0
-972.0;572.0;-215.0;92.0;957.0;986.0;-398.0;-372.0
-979.0;687.0;-268.0;99.0;962.0;973.0;-448.0;-297.0
-965.0;576.0;-216.0;77.0;933.0;995.0;-391.0;-383.0
-987.0;573.0;-249.0;82.0;924.0;966.0;-404.0;-416.0
-1092.0;310.0;-274.0;214.0;865.0;952.0;-565.0;-401.0
-1078.0;413.0;-268.0;121.0;967.0;1054.0;-508.0;-492.0
-957.0;464.0;-133.0;42.0;935.0;989.0;-328.0;-417.0
-1175.0;424.0;-184.0;280.0;945.0;968.0;-314.0;-435.0
-952.0;553.0;-293.0;93.0;943.0;957.0;-486.0;-343.0
-973.0;575.0;-300.0;76.0;923.0;977.0;-397.0;-410.0
-975.0;571.0;-281.0;90.0;949.0;963.0;-396.0;-418.0
-990.0;569.0;-255.0;70.0;929.0;1016.0;-377.0;-412.0
-992.0;610.0;-339.0;50.0;923.0;955.0;-433.0;-383.0
-955.0;523.0;-284.0;17.0;848.0;963.0;-370.0;-411.0
-907.0;436.0;-271.0;96.0;833.0;1002.0;-488.0;-471.0
-997.0;567.0;-304.0;43.0;941.0;956.0;-525.0;-349.0
-856.0;547.0;-258.0;96.0;862.0;1006.0;-347.0;-462.0
-1071.0;519.0;-340.0;59.0;910.0;936.0;-308.0;-373.0
-901.0;543.0;-348.0;109.0;995.0;960.0;-333.0;-497.0
-935.0;521.0;-210.0;99.0;926.0;976.0;-142.0;-388.0
