InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
-10;567;-3;0;-21;-20;-48;-846;10;-21;-19;-48
5;572;-2;-2;1;-17;-1;-844;-5;1;-20;-1
12;589;0;-1;-8;-8;-13;-835;-12;-8;-22;-13
-11;579;-3;8;-9;-29;-21;-845;11;-9;-25;-21
76;605;11;-2;36;-11;48;-816;-76;36;-15;48
7;560;-3;1;27;-31;14;-851;-7;27;-19;14
23;581;-3;-5;-17;-18;32;-834;-23;-17;-17;32
11;579;3;-1;-22;-22;11;-837;-11;-22;-17;11
115;513;24;9;292;-119;170;-891;-115;292;-35;170
2;587;-4;-1;-8;-1;0;-838;-2;-8;-24;0
11;573;2;4;2;-22;-1;-837;-11;2;-14;-1
128;485;-6;34;25;-109;71;-890;-128;25;-19;71
37;585;0;1;-14;-25;14;-842;-37;-14;-26;14
-417;467;9;-37;-766;-98;1499;-869;417;-766;10;1499
5;583;0;2;36;-25;19;-839;-5;36;-22;19
2;570;-9;-2;-7;-24;16;-844;-2;-7;-18;16
15;489;-3;3;-7;-41;-5;-888;-15;-7;-15;-5
29;496;-1;3;10;-96;14;-885;-29;10;-19;14
-53;496;-2;-6;116;-85;39;-881;53;116;-16;39
-4;573;1;0;5;-21;14;-848;4;5;-24;14
-18;578;-1;-3;13;-21;18;-842;18;13;-22;18
-37;472;30;-16;2;-35;40;-899;37;2;-15;40
41;566;-5;1;37;-38;15;-848;-41;37;-20;15
-7;566;-4;-2;10;-20;1;-848;7;10;-20;1
9;590;3;0;21;-9;9;-832;-9;21;-20;9
7;575;-2;5;5;-16;10;-843;-7;5;-20;10
-47;476;-12;7;-103;-127;-64;-897;47;-103;-22;-64
-26;465;-8;-2;15;6;1;-900;26;15;-14;1
12;481;-63;-187;42;-122;-2;-881;-12;42;8;-2
-3;591;3;4;13;1;7;-830;3;13;-18;7
-2;481;-24;1;73;-108;38;-897;2;73;-23;38
-3343;-108;-166;-472;-1611;-234;-1566;-458;3343;-1611;1001;-1566
27;484;-4;-5;18;-106;-5;-888;-27;18;-16;-5
17;591;1;4;42;-1;29;-832;-17;42;-21;29
97;478;188;82;66;-93;35;-891;-97;66;8;35
12;612;-2;0;16;17;-25;-813;-12;16;-17;-25
-8;485;-3;-1;-18;-93;17;-887;8;-18;-16;17
-7;592;2;0;-28;-22;-10;-833;7;-28;-22;-10
-26;488;4;-6;-22;-99;-16;-885;26;-22;-15;-16
6;592;0;0;2;-8;17;-838;-6;2;-26;17
5;485;-1;-1;-7;-95;-8;-887;-5;-7;-16;-8
-310;581;36;-21;61;-146;-44;-828;310;61;-21;-44
13;588;1;2;8;-22;-13;-836;-13;8;-22;-13
-12;619;3;-1;17;21;-4;-814;12;17;-23;-4
28;583;1;1;-3;-4;1;-838;-28;-3;-21;1
1041;546;47;55;385;-90;334;-932;-1041;385;-80;334
-1;592;3;0;34;-7;-5;-836;1;34;-24;-5
-10;597;1;0;47;1;-2;-828;10;47;-20;-2
4;489;4;-11;-230;-92;-138;-892;-4;-230;-20;-138
-9;592;-1;0;-21;-8;8;-834;9;-21;-23;8
-14;586;0;-5;-10;-17;-3;-838;14;-10;-23;-3
31;484;136;75;-765;119;-445;-803;-31;-765;59;-445
9;586;3;2;12;-9;-4;-839;-9;12;-23;-4
14;593;0;2;-26;-4;13;-830;-14;-26;-20;13
42;586;-4;-1;27;-9;-1;-837;-42;27;-21;-1
-345;569;15;25;-160;-4;-122;-848;345;-160;-21;-122
20;579;0;-1;-1;-12;3;-840;-20;-1;-21;3
-11;590;1;2;9;-10;-10;-834;11;9;-22;-10
2;490;1;1;-34;-91;-43;-886;-2;-34;-16;-43
-3;594;3;6;1;-7;7;-828;3;1;-19;7
2;591;1;-5;8;-8;30;-836;-2;8;-24;30
84;493;10;3;158;-70;92;-886;-84;158;-17;92
-23;591;1;-2;6;-7;10;-836;23;6;-24;10
539;501;-23;-15;-329;15;-188;-896;-539;-329;-26;-188
19;592;4;0;7;-7;33;-833;-19;7;-22;33
-20;594;2;1;-9;-10;-30;-837;20;-9;-27;-30
12;592;1;8;0;-15;6;-836;-12;0;-25;6
2;595;4;-2;2;-1;-22;-831;-2;2;-22;-22
-14;590;0;1;34;-12;16;-832;14;34;-20;16
-4277;848;294;118;1122;-368;210;-730;4277;1122;-130;210
-107;610;-5;-1;-19;10;-36;-821;107;-19;-22;-36
6;620;1;6;9;16;5;-813;-6;9;-23;5
398;553;-23;15;172;-88;131;-887;-398;172;-58;131
-29;627;1;3;-14;22;-9;-811;29;-14;-25;-9
177;509;11;21;713;-133;-913;-881;-177;713;-26;-913
-1022;466;8;-12;560;64;306;-938;1022;560;-51;306
-24;488;-3;5;9;-67;0;-896;24;9;-22;0
11;599;3;-1;-24;-3;-1;-828;-11;-24;-22;-1
-2;615;0;0;-9;15;-4;-816;2;-9;-22;-4
-14;621;3;-1;9;20;19;-815;14;9;-25;19
-18;730;0;5;1;168;0;-692;18;1;-20;0
2575;533;6;198;707;-84;815;-918;-2575;707;-48;815
-9;476;2;6;-3;-94;53;-894;9;-3;-18;53
-56;570;-8;0;-97;-19;-53;-847;56;-97;-20;-53
0;477;0;0;15;-85;11;-895;0;15;-18;11
71;720;-5;6;38;145;53;-704;-71;38;-17;53
17;596;1;-1;26;-11;-12;-829;-17;26;-21;-12
970;662;-189;-197;936;233;-2341;-831;-970;936;-52;-2341
30;618;-2;2;39;16;23;-815;-30;39;-23;23
-986;642;-63;141;1525;24;-2486;-811;986;1525;-21;-2486
-747;654;-57;-139;-1681;-11;3616;-801;747;-1681;-26;3616
25;495;14;30;93;-76;23;-888;-25;93;-19;23
-2;713;-3;9;8;105;14;-724;2;8;-22;14
18;606;5;0;-25;14;-13;-826;-18;-25;-24;-13
55;606;4;-3;1;-13;-8;-823;-55;1;-22;-8
5552;1007;347;-66;1921;-71;1123;-1523;-5552;1921;-774;1123
-4;486;0;3;28;-89;-15;-890;4;28;-19;-15
58;491;-8;-3;-61;-85;-14;-885;-58;-61;-15;-14
3497;1193;750;-31;-1931;407;-928;-868;-3497;-1931;-344;-928
12;624;5;2;-5;18;6;-815;-12;-5;-27;6
