InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
-18.0;-3;60.0;-28;9.0;265.0;27.0;-82.0;28;-76.0;175.0;-3;-40.0
92.0;-27;47.0;18;-27.0;-135.0;-52.0;-17.0;-18;-342.0;-167.0;-27;30.0
44.0;4;-337.0;-10;25.0;65.0;-53.0;-102.0;10;-50.0;-41.0;4;-68.0
6.0;11;30.0;-4;-25.0;29.0;1.0;-14.0;4;-72.0;-45.0;11;2.0
324.0;40;-73.0;35;81.0;35.0;-244.0;-144.0;-35;205.0;15.0;40;-223.0
52.0;5;39.0;-35;112.0;198.0;-85.0;200.0;35;-307.0;79.0;5;5.0
19.0;5;86.0;-68;-37.0;11.0;11.0;90.0;68;11.0;-18.0;5;7.0
69.0;74;-25.0;-57;56.0;-12.0;-39.0;20.0;57;-74.0;-2.0;74;7.0
-54.0;-10;-13.0;-23;86.0;70.0;30.0;270.0;23;191.0;127.0;-10;209.0
91.0;-10;33.0;6;-36.0;-196.0;100.0;-85.0;-6;-2142.0;-337.0;-10;-76.0
9.0;7;30.0;24;8.0;-127.0;-41.0;37.0;-24;122.0;-143.0;7;19.0
-106.0;3891;392.0;2411;-710.0;-91.0;71.0;-342.0;-2411;190.0;22.0;3891;-50.0
10.0;4;209.0;14;-59.0;-72.0;64.0;-511.0;-14;-34.0;-118.0;4;-133.0
78.0;0;9.0;-23;29.0;73.0;22.0;-90.0;23;-1.0;82.0;0;-48.0
-41.0;10;-293.0;-35;-489.0;-42.0;-82.0;330.0;35;228.0;-184.0;10;32.0
-6.0;-2;33.0;-13;-12.0;28.0;-11.0;-16.0;13;-25.0;21.0;-2;10.0
218.0;53;45.0;2;-322.0;-336.0;-283.0;257.0;-2;-205.0;-267.0;53;-155.0
-71.0;10;-179.0;-2;454.0;123.0;-109.0;575.0;2;338.0;439.0;10;492.0
2.0;6;15.0;-13;-13.0;25.0;13.0;13.0;13;-49.0;-24.0;6;-3.0
103.0;-17;-128.0;28;93.0;43.0;-273.0;304.0;-28;-65.0;-57.0;-17;54.0
188.0;20;28.0;7;-247.0;-288.0;21.0;-2.0;-7;-737.0;-686.0;20;-55.0
26.0;96;-38.0;-344;49.0;123.0;130.0;-126.0;344;-83.0;24.0;96;-106.0
183.0;-250;389.0;-2943;274.0;354.0;474.0;-323.0;2943;549.0;241.0;-250;-138.0
7.0;18;-17.0;-6;2.0;0.0;10.0;5.0;6;-77.0;-39.0;18;10.0
-107.0;12;529.0;10;6.0;59.0;249.0;-377.0;-10;26.0;29.0;12;569.0
12.0;-20;27.0;0;6.0;-3.0;-2.0;-16.0;0;-73.0;-10.0;-20;-10.0
32.0;-4;1.0;-32;-25.0;27.0;-3.0;5.0;32;-73.0;-36.0;-4;-2.0
122.0;-37;-94.0;11;-160.0;-194.0;-271.0;327.0;-11;-230.0;-314.0;-37;270.0
-37.0;311;94.0;-129;-11.0;-30.0;44.0;75.0;129;35.0;54.0;311;55.0
30.0;-11;12.0;-9;-20.0;28.0;-26.0;8.0;9;-42.0;-13.0;-11;-5.0
240.0;1411;53.0;-1148;-629.0;-212.0;282.0;-754.0;1148;-651.0;-842.0;1411;-353.0
42.0;18;-15.0;-161;17.0;40.0;-14.0;-14.0;161;-71.0;-20.0;18;12.0
-2.0;-10;2.0;24;-75.0;-47.0;0.0;-2.0;-24;-182.0;-129.0;-10;18.0
9.0;9;133.0;-41;-114.0;-694.0;-32.0;133.0;41;636.0;-568.0;9;-225.0
2.0;-14;96.0;43;-25.0;48.0;47.0;-10.0;-43;-63.0;-36.0;-14;45.0
-246.0;-2367;-761.0;-4671;329.0;-43.0;-80.0;-67.0;4671;185.0;521.0;-2367;177.0
33.0;-2;2.0;19;-3.0;27.0;-21.0;39.0;-19;-58.0;-17.0;-2;34.0
