InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-21;1051.0;211.0;184.0;186.0;169;38.0;343;-956.0;142.0
-21;1013.0;230.0;154.0;169.0;169;143.0;341;-947.0;308.0
-21;1019.0;245.0;214.0;137.0;169;254.0;345;-986.0;453.0
?;1071.0;?;212.0;113.0;170;320.0;343;-1024.0;452.0
-21;1115.0;?;211.0;99.0;172;296.0;335;-1081.0;332.0
-21;1177.0;532.0;207.0;93.0;173;260.0;337;-1104.0;65.0
-21;1162.0;505.0;223.0;209.0;174;200.0;349;-1048.0;-264.0
-21;1059.0;579.0;271.0;220.0;175;135.0;352;-1029.0;-596.0
-21;1102.0;660.0;243.0;235.0;174;65.0;329;-1077.0;-851.0
-21;1163.0;449.0;218.0;270.0;174;-32.0;330;-1073.0;-1117.0
?;1090.0;290.0;210.0;291.0;174;-103.0;359;-1006.0;-1473.0
?;1048.0;262.0;66.0;186.0;174;-163.0;355;-936.0;-1832.0
-21;1003.0;126.0;72.0;49.0;174;-44.0;345;-826.0;-1999.0
-21;877.0;103.0;31.0;-29.0;174;130.0;342;-755.0;-2047.0
-21;879.0;229.0;8.0;?;174;240.0;338;-885.0;-1920.0
-21;?;77.0;?;51.0;174;396.0;342;?;-1610.0
-21;920.0;-17.0;-3.0;113.0;174;?;349;?;-1328.0
-21;902.0;164.0;?;202.0;174;432.0;345;?;-1016.0
-21;988.0;182.0;-31.0;320.0;174;436.0;327;?;-563.0
?;1010.0;172.0;18.0;328.0;174;433.0;343;?;13.0
-21;998.0;131.0;?;237.0;174;423.0;363;-969.0;536.0
-21;1033.0;174.0;29.0;152.0;174;497.0;347;-1007.0;1048.0
-21;1068.0;194.0;18.0;168.0;174;502.0;352;-966.0;1480.0
-21;1003.0;190.0;16.0;186.0;174;578.0;358;-961.0;1640.0
-21;990.0;146.0;2.0;188.0;174;318.0;343;-981.0;1600.0
-21;?;72.0;28.0;214.0;173;36.0;338;-1069.0;?
-21;1156.0;-2.0;-6.0;206.0;173;-58.0;338;-1080.0;1067.0
-21;1106.0;-11.0;11.0;235.0;174;-126.0;340;-1064.0;902.0
-21;1093.0;-18.0;50.0;111.0;174;-111.0;?;-1025.0;736.0
-21;1101.0;-79.0;24.0;37.0;173;-63.0;351;-1027.0;603.0
