InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
156.0;-248.0;-131.0;-890.0;79.0;-101;-560.0;812.0;232.0;910.0
9.0;-396.0;108.0;-740.0;140.0;-156;-418.0;949.0;175.0;923.0
167.0;-127.0;-58.0;-848.0;-141.0;-103;-524.0;270.0;227.0;343.0
2.0;-300.0;-154.0;-845.0;-60.0;-103;-497.0;449.0;374.0;639.0
-26.0;-773.0;254.0;-288.0;427.0;-90;222.0;110.0;-115.0;291.0
36.0;-224.0;-11.0;-835.0;-309.0;-103;-542.0;394.0;221.0;615.0
17.0;-275.0;-46.0;-868.0;44.0;-101;-558.0;494.0;143.0;765.0
-88.0;-294.0;-64.0;-689.0;-41.0;-106;-748.0;506.0;111.0;468.0
-341.0;-396.0;85.0;-117.0;133.0;-154;-638.0;-11.0;-107.0;548.0
-164.0;-337.0;150.0;-913.0;362.0;-107;-395.0;533.0;-116.0;821.0
-163.0;-326.0;142.0;-801.0;372.0;-107;-349.0;327.0;-22.0;742.0
171.0;-237.0;139.0;-539.0;322.0;-107;-278.0;50.0;78.0;220.0
118.0;-312.0;113.0;-907.0;309.0;-107;-268.0;478.0;146.0;223.0
251.0;-206.0;111.0;-728.0;304.0;-107;-260.0;191.0;171.0;67.0
-56.0;-280.0;-106.0;-344.0;44.0;-104;-411.0;372.0;174.0;513.0
-128.0;26.0;-101.0;-580.0;-547.0;-26;-74.0;264.0;426.0;383.0
39.0;-235.0;-167.0;-484.0;-141.0;-102;-520.0;444.0;287.0;763.0
-560.0;-422.0;84.0;-569.0;-211.0;40;-56.0;365.0;-49.0;520.0
88.0;-150.0;-31.0;-583.0;-350.0;-102;-568.0;180.0;257.0;486.0
96.0;-205.0;93.0;-620.0;300.0;-108;-190.0;369.0;211.0;533.0
151.0;93.0;-80.0;-904.0;-223.0;-123;-314.0;657.0;311.0;791.0
-196.0;-361.0;131.0;-1195.0;338.0;-107;-348.0;614.0;-108.0;823.0
-143.0;-583.0;59.0;-546.0;-6.0;109;-156.0;311.0;139.0;515.0
-494.0;-820.0;82.0;-188.0;65.0;-5;3.0;149.0;47.0;245.0
-516.0;-911.0;-111.0;-614.0;106.0;-52;-19.0;257.0;58.0;336.0
-10.0;-615.0;0.0;-153.0;-49.0;84;-302.0;223.0;289.0;333.0
-98.0;-451.0;132.0;-301.0;-45.0;-81;-59.0;97.0;255.0;288.0
-91.0;-151.0;29.0;-616.0;246.0;-110;-513.0;208.0;33.0;444.0
-13.0;-658.0;83.0;-371.0;200.0;145;109.0;99.0;42.0;469.0
