InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
-1;-306.0;-985.0;9.0;983.0;-132.0;22.0;98.0;163.0
10;-321.0;-951.0;-9.0;944.0;-179.0;22.0;124.0;162.0
15;-303.0;-965.0;29.0;942.0;-183.0;-126.0;123.0;173.0
6;-332.0;-950.0;-8.0;946.0;-171.0;6.0;132.0;164.0
7;-324.0;-950.0;-8.0;950.0;-180.0;19.0;135.0;142.0
9;-329.0;-954.0;-17.0;940.0;-171.0;13.0;132.0;159.0
4;-320.0;-960.0;8.0;931.0;-186.0;-14.0;121.0;144.0
5;-322.0;-957.0;10.0;967.0;-170.0;-4.0;121.0;156.0
5;-317.0;-954.0;-5.0;947.0;-171.0;-26.0;123.0;165.0
1;-317.0;-955.0;-19.0;938.0;-181.0;-22.0;121.0;164.0
0;-318.0;-960.0;-31.0;942.0;-179.0;-1.0;121.0;157.0
8;-320.0;-956.0;-4.0;949.0;-166.0;-13.0;129.0;158.0
10;-323.0;-951.0;0.0;940.0;-168.0;-17.0;132.0;173.0
-1;-267.0;-959.0;-53.0;959.0;-170.0;53.0;84.0;86.0
4;-267.0;-967.0;-45.0;940.0;-172.0;44.0;84.0;86.0
3;-271.0;-970.0;-43.0;937.0;-169.0;42.0;81.0;63.0
-1;-273.0;-964.0;-30.0;954.0;-183.0;52.0;95.0;91.0
3;-273.0;-962.0;-70.0;955.0;-171.0;50.0;93.0;96.0
0;-280.0;-966.0;-26.0;938.0;-190.0;9.0;91.0;104.0
-2;-279.0;-968.0;-47.0;950.0;-193.0;21.0;96.0;117.0
-1;-278.0;-961.0;-24.0;938.0;-179.0;34.0;92.0;95.0
-2;-288.0;-966.0;-35.0;959.0;-170.0;4.0;96.0;105.0
-1;-286.0;-967.0;-47.0;954.0;-180.0;26.0;103.0;99.0
-3;-282.0;-963.0;-38.0;947.0;-166.0;35.0;113.0;107.0
5;-285.0;-969.0;-59.0;948.0;-172.0;35.0;104.0;123.0
11;-288.0;-940.0;-148.0;949.0;-143.0;-42.0;88.0;169.0
72;-380.0;-944.0;-43.0;1006.0;23.0;85.0;181.0;9.0
-11;-276.0;-964.0;-46.0;969.0;-13.0;34.0;105.0;77.0
1;-283.0;-962.0;51.0;971.0;-4.0;-23.0;116.0;100.0
1;-288.0;-962.0;-54.0;955.0;-191.0;11.0;105.0;105.0
-1;-293.0;-953.0;-37.0;958.0;-166.0;21.0;117.0;135.0
4;-295.0;-956.0;-59.0;951.0;-176.0;26.0;128.0;114.0
3;-296.0;-949.0;-13.0;956.0;-176.0;35.0;117.0;126.0
2;-253.0;-1000.0;-22.0;971.0;-27.0;43.0;113.0;115.0
1;-299.0;-950.0;-26.0;942.0;-195.0;-27.0;106.0;116.0
4;-280.0;-999.0;10.0;978.0;-32.0;40.0;109.0;114.0
0;-293.0;-961.0;-81.0;922.0;-182.0;43.0;122.0;122.0
7;-289.0;-946.0;-1.0;943.0;-171.0;23.0;115.0;144.0
2;-295.0;-963.0;16.0;950.0;-181.0;-42.0;115.0;126.0
1;-286.0;-960.0;-21.0;930.0;-179.0;10.0;122.0;119.0
6;-290.0;-949.0;-22.0;930.0;-177.0;18.0;111.0;128.0
4;-302.0;-959.0;-28.0;956.0;-174.0;9.0;133.0;139.0
4;-298.0;-952.0;-41.0;935.0;-174.0;23.0;126.0;124.0
2;-298.0;-952.0;-78.0;930.0;-153.0;18.0;125.0;138.0
0;-302.0;-945.0;-69.0;946.0;-173.0;30.0;117.0;103.0
1;-312.0;-957.0;0.0;958.0;-191.0;-12.0;122.0;123.0
1;-305.0;-954.0;5.0;944.0;-191.0;-38.0;127.0;125.0
6;-264.0;-1065.0;29.0;811.0;-162.0;-184.0;116.0;145.0
14;-293.0;-936.0;23.0;929.0;-190.0;-58.0;116.0;124.0
9;-291.0;-949.0;32.0;947.0;-179.0;-64.0;117.0;128.0
7;-293.0;-947.0;27.0;925.0;-171.0;-36.0;130.0;146.0
15;-300.0;-935.0;29.0;920.0;-168.0;-36.0;135.0;141.0
-2;-206.0;-971.0;-13.0;936.0;-153.0;-30.0;65.0;37.0
