InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit R-SHOE Body_Ax;Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;Accelerometer RKN_ accX
-814;545.0;7.0;21;16;19;-266;947.0;-14;68;19;265.0
-872;364.0;-115.0;13;13;-15;-189;920.0;12;49;-15;309.0
-830;491.0;-213.0;-3;17;-1;-235;907.0;0;64;-1;290.0
-831;353.0;106.0;9;16;68;-260;900.0;-3;64;68;343.0
-846;307.0;12.0;18;35;550;-44;889.0;390;383;550;298.0
-1135;337.0;115.0;-13;16;2926;-658;888.0;-313;-355;2926;353.0
-212;384.0;2.0;-26;32;-684;-186;881.0;-337;1522;-684;460.0
-738;916.0;-222.0;-4;19;-2;-265;886.0;-2;89;-2;344.0
-809;-25.0;35.0;2;18;9;-247;1747.0;-33;91;9;-82.0
-833;673.0;18.0;14;15;71;-261;887.0;-4;63;71;343.0
-806;526.0;-38.0;-5;26;12;-243;933.0;3;68;12;291.0
-836;554.0;-202.0;-3;16;15;-221;925.0;7;64;15;267.0
-785;500.0;-47.0;-5;26;40;-248;932.0;-2;81;40;293.0
-821;510.0;-40.0;-5;25;-20;-249;937.0;-7;67;-20;295.0
-848;614.0;-162.0;0;15;-25;-233;941.0;1;63;-25;223.0
-747;468.0;-63.0;-5;27;-19;-279;947.0;-1;83;-19;276.0
-1494;172.0;-111.0;70;15;726;-317;909.0;-59;-678;726;269.0
-815;297.0;-39.0;73;16;-5;-255;923.0;-6;72;-5;334.0
-615;185.0;-186.0;99;24;83;-303;880.0;-13;97;83;376.0
-814;539.0;-55.0;-5;25;-32;-254;967.0;-10;72;-32;270.0
-823;533.0;-21.0;3;21;99;-268;980.0;36;75;99;158.0
-782;501.0;-52.0;-5;26;10;-243;926.0;-1;78;10;301.0
-886;374.0;-465.0;-86;-4;-167;51;581.0;-8;50;-167;-694.0
-781;534.0;-40.0;-5;26;-14;-251;944.0;-6;81;-14;298.0
-838;257.0;103.0;9;16;13;-258;904.0;3;59;13;383.0
-829;502.0;-48.0;-5;25;-13;-246;930.0;-1;60;-13;316.0
-819;554.0;-53.0;-5;25;37;-250;961.0;-3;65;37;257.0
-783;469.0;-54.0;-5;26;0;-251;924.0;-1;77;0;305.0
-824;552.0;-119.0;17;20;-19;-230;870.0;33;71;-19;507.0
-734;348.0;-182.0;127;14;-1224;-370;894.0;-151;69;-1224;418.0
-750;494.0;-35.0;-6;25;11;-248;929.0;-2;81;11;309.0
-839;443.0;-4.0;-54;1;115;-271;917.0;-16;48;115;317.0
-827;208.0;-63.0;145;18;-3;-247;907.0;-5;65;-3;345.0
-800;974.0;191.0;9;21;36;-332;972.0;-14;77;36;-152.0
-845;464.0;-39.0;10;21;8;-251;981.0;14;58;8;252.0
-762;515.0;-34.0;-5;27;-23;-265;954.0;5;81;-23;260.0
-824;580.0;-131.0;3;21;-425;-299;947.0;-1;69;-425;231.0
-752;1001.0;25.0;-2;21;-3;-316;941.0;0;83;-3;304.0
-766;494.0;-38.0;-5;25;26;-247;921.0;4;83;26;337.0
-801;395.0;39.0;-166;15;2;-276;932.0;0;74;2;291.0
-815;491.0;-29.0;9;22;0;-291;951.0;-9;68;0;239.0
-780;508.0;-49.0;-5;26;-11;-230;957.0;22;77;-11;285.0
-819;503.0;-60.0;-5;25;2;-245;950.0;0;71;2;309.0
-802;648.0;-127.0;19;16;18;-304;999.0;-58;69;18;-10.0
-821;464.0;109.0;9;18;15;-291;965.0;-11;66;15;209.0
-877;336.0;70.0;57;24;358;-321;888.0;-28;2;358;400.0
-816;742.0;140.0;5;19;2;-300;970.0;-1;69;2;91.0
-820;406.0;158.0;48;20;-13;-270;914.0;-7;68;-13;305.0
-807;431.0;83.0;-11;15;-56;-304;942.0;-14;71;-56;262.0
-852;535.0;-264.0;17;-2;9;-192;820.0;-28;60;9;459.0
-334;573.0;-20.0;16;24;-1873;-190;989.0;-92;428;-1873;300.0
-829;354.0;128.0;8;16;-5;-262;899.0;-1;66;-5;356.0
-963;320.0;-78.0;140;32;-3;-477;944.0;-192;-55;-3;275.0
-787;506.0;-24.0;-5;26;-10;-245;929.0;1;80;-10;302.0
-827;582.0;19.0;24;17;9;-241;921.0;2;65;9;339.0
-793;333.0;4.0;20;26;1290;-336;902.0;-223;392;1290;355.0
-846;447.0;-58.0;126;11;-35;-282;856.0;-145;61;-35;403.0
-1014;-64.0;-281.0;13;40;-3229;-595;636.0;-141;-383;-3229;945.0
-638;297.0;60.0;-4;26;-62;-406;982.0;-79;232;-62;266.0
-810;465.0;43.0;-167;12;21;-271;948.0;3;71;21;219.0
-823;481.0;141.0;48;20;23;-260;905.0;6;69;23;348.0
-784;544.0;-32.0;-5;24;-5;-247;938.0;-3;81;-5;290.0
-794;514.0;-28.0;-5;26;-29;-257;949.0;-5;71;-29;283.0
-790;547.0;-39.0;-5;24;-14;-244;952.0;2;73;-14;284.0
-810;624.0;44.0;18;20;-25;-266;938.0;48;74;-25;244.0
-768;573.0;108.0;-153;19;-98;-321;971.0;29;68;-98;336.0
-836;547.0;-57.0;10;21;2;-244;910.0;17;67;2;345.0
-791;539.0;-32.0;-5;24;-12;-238;917.0;6;74;-12;311.0
-808;536.0;-99.0;23;18;-57;-285;942.0;-10;69;-57;213.0
-777;547.0;-35.0;-5;24;-19;-253;932.0;-8;75;-19;291.0
-786;521.0;-31.0;-5;24;-2;-241;921.0;1;78;-2;301.0
-835;-54.0;-348.0;56;19;-65;-284;628.0;42;61;-65;650.0
-799;367.0;45.0;-174;26;-15;-293;898.0;-3;70;-15;387.0
-795;527.0;-54.0;-6;24;-43;-234;920.0;3;73;-43;386.0
-685;675.0;-104.0;2;20;38;-232;949.0;23;295;38;219.0
-754;504.0;-13.0;-5;28;27;-261;931.0;-3;80;27;291.0
-764;530.0;-71.0;-6;24;-1;-245;933.0;1;82;-1;309.0
-811;511.0;-11.0;-48;-1;-36;-296;984.0;207;108;-36;225.0
-838;373.0;1.0;20;19;3;-249;908.0;32;64;3;390.0
-847;617.0;-162.0;-3;16;28;-218;942.0;10;63;28;226.0
-210;115.0;-18.0;-5;-10;490;-385;871.0;-231;932;490;462.0
-855;262.0;-40.0;72;15;-21;-87;930.0;312;274;-21;251.0
-1036;255.0;-323.0;9;33;148;-66;780.0;252;3;148;453.0
-839;526.0;-148.0;-3;17;-25;-253;955.0;-9;63;-25;213.0
