Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
-78.0;107.0;-110.0;-106.0;237.0;405.0;-47;-134.0;230.0;554.0;-73.0;711.0
76.0;158.0;35.0;-101.0;341.0;285.0;-29;-140.0;186.0;287.0;122.0;393.0
-157.0;320.0;-35.0;24.0;238.0;453.0;-20;0.0;131.0;598.0;62.0;311.0
95.0;149.0;-472.0;-195.0;139.0;391.0;-29;-697.0;-240.0;549.0;-131.0;621.0
130.0;154.0;-128.0;-51.0;-199.0;392.0;-87;3.0;183.0;387.0;12.0;477.0
83.0;119.0;38.0;-17.0;-176.0;408.0;-81;18.0;266.0;406.0;-69.0;467.0
-48.0;34.0;99.0;-55.0;-259.0;305.0;-44;146.0;146.0;401.0;-33.0;445.0
16.0;-296.0;-160.0;-612.0;9.0;202.0;-28;-36.0;30.0;414.0;307.0;316.0
270.0;177.0;340.0;-6.0;-96.0;215.0;-69;382.0;348.0;364.0;-189.0;352.0
54.0;-4.0;-70.0;-149.0;172.0;401.0;-23;-224.0;121.0;325.0;208.0;333.0
-268.0;153.0;489.0;-79.0;736.0;644.0;-29;-431.0;678.0;984.0;-10.0;352.0
-19.0;486.0;78.0;-114.0;436.0;649.0;-29;146.0;281.0;616.0;-633.0;217.0
326.0;21.0;421.0;-280.0;-161.0;359.0;-35;187.0;512.0;502.0;-3.0;26.0
132.0;342.0;391.0;305.0;-287.0;227.0;-35;134.0;556.0;543.0;-310.0;159.0
101.0;30.0;-66.0;-65.0;116.0;361.0;-23;-189.0;159.0;340.0;131.0;316.0
540.0;-210.0;-44.0;-402.0;-19.0;196.0;-23;-205.0;-58.0;372.0;205.0;211.0
6.0;231.0;9.0;17.0;268.0;357.0;-23;-192.0;148.0;360.0;-50.0;296.0
74.0;227.0;-31.0;-1.0;292.0;375.0;-23;-195.0;138.0;350.0;-2.0;299.0
61.0;227.0;-55.0;-46.0;304.0;381.0;-23;-197.0;157.0;351.0;93.0;302.0
143.0;150.0;38.0;-23.0;592.0;177.0;-27;-286.0;79.0;375.0;62.0;310.0
3.0;173.0;-13.0;7.0;375.0;312.0;-23;-312.0;106.0;323.0;21.0;350.0
104.0;310.0;-191.0;84.0;551.0;158.0;-16;-752.0;63.0;239.0;-92.0;751.0
-361.0;335.0;514.0;69.0;-357.0;191.0;-35;175.0;530.0;734.0;-252.0;102.0
-82.0;122.0;190.0;-79.0;147.0;314.0;-70;94.0;312.0;535.0;-21.0;484.0
106.0;195.0;-116.0;-86.0;494.0;311.0;-26;-327.0;90.0;334.0;-185.0;628.0
38.0;214.0;-45.0;-43.0;390.0;301.0;-23;-303.0;89.0;300.0;18.0;356.0
272.0;-62.0;-131.0;-236.0;379.0;316.0;-32;-502.0;-16.0;288.0;112.0;280.0
49.0;149.0;-106.0;-59.0;500.0;284.0;-29;-483.0;7.0;273.0;-17.0;306.0
132.0;65.0;147.0;-47.0;-48.0;399.0;-81;-17.0;188.0;367.0;-148.0;539.0
43.0;186.0;-45.0;-72.0;556.0;317.0;-29;-564.0;99.0;311.0;75.0;324.0
74.0;207.0;-40.0;-62.0;387.0;327.0;-23;-349.0;148.0;349.0;126.0;353.0
30.0;241.0;-30.0;-58.0;385.0;335.0;-23;-346.0;168.0;352.0;85.0;350.0
84.0;226.0;-30.0;-72.0;382.0;349.0;-23;-340.0;108.0;345.0;106.0;349.0
50.0;213.0;-9.0;-41.0;384.0;345.0;-23;-342.0;93.0;303.0;72.0;350.0
37.0;204.0;0.0;-31.0;380.0;350.0;-23;-338.0;95.0;316.0;46.0;347.0
53.0;182.0;-53.0;-23.0;368.0;287.0;-23;-304.0;85.0;330.0;117.0;343.0
70.0;188.0;-69.0;-9.0;365.0;291.0;-23;-297.0;69.0;320.0;61.0;341.0
69.0;238.0;-55.0;-54.0;352.0;332.0;-23;-288.0;63.0;297.0;105.0;348.0
45.0;192.0;-83.0;-30.0;359.0;304.0;-23;-293.0;50.0;276.0;65.0;345.0
63.0;191.0;-71.0;-65.0;356.0;298.0;-23;-297.0;103.0;328.0;81.0;353.0
-10.0;34.0;102.0;-87.0;-85.0;371.0;-67;-85.0;75.0;414.0;-41.0;579.0
12.0;36.0;142.0;-58.0;-140.0;312.0;-43;-112.0;273.0;446.0;37.0;598.0
-75.0;302.0;-49.0;132.0;17.0;327.0;-36;167.0;165.0;464.0;-91.0;402.0
101.0;437.0;0.0;90.0;42.0;360.0;-29;88.0;138.0;274.0;-132.0;358.0
-601.0;103.0;541.0;21.0;61.0;931.0;-8;-405.0;686.0;872.0;-141.0;464.0
5.0;351.0;-31.0;19.0;101.0;427.0;-76;62.0;154.0;410.0;106.0;324.0
-77.0;17.0;-310.0;-32.0;-17.0;444.0;-54;140.0;-137.0;572.0;-11.0;240.0
120.0;-18.0;116.0;-82.0;-284.0;419.0;-37;-138.0;227.0;366.0;225.0;716.0
40.0;127.0;-97.0;-128.0;-228.0;321.0;-37;-77.0;54.0;350.0;-1.0;601.0
127.0;110.0;69.0;-153.0;324.0;298.0;-29;-46.0;218.0;310.0;88.0;354.0
81.0;120.0;85.0;-135.0;357.0;289.0;-29;-89.0;197.0;299.0;68.0;353.0
152.0;127.0;80.0;-103.0;358.0;298.0;-29;-89.0;198.0;307.0;53.0;351.0
98.0;115.0;73.0;-146.0;363.0;295.0;-29;-101.0;183.0;314.0;98.0;354.0
132.0;114.0;105.0;-146.0;357.0;296.0;-29;-104.0;237.0;319.0;111.0;353.0
90.0;120.0;108.0;-138.0;356.0;291.0;-29;-98.0;217.0;295.0;92.0;355.0
88.0;138.0;40.0;-129.0;348.0;270.0;-29;-48.0;158.0;275.0;40.0;357.0
579.0;-20.0;377.0;-280.0;554.0;721.0;-28;-635.0;436.0;584.0;-10.0;727.0
120.0;125.0;56.0;-103.0;342.0;296.0;-29;-83.0;185.0;321.0;72.0;352.0
125.0;123.0;68.0;-110.0;340.0;317.0;-29;-85.0;224.0;310.0;114.0;353.0
158.0;144.0;71.0;-97.0;341.0;311.0;-29;-85.0;198.0;309.0;102.0;353.0
132.0;143.0;55.0;-111.0;333.0;292.0;-29;-83.0;196.0;301.0;72.0;355.0
450.0;2.0;28.0;-51.0;265.0;287.0;-40;-564.0;128.0;438.0;18.0;643.0
132.0;131.0;43.0;-140.0;329.0;296.0;-29;-80.0;158.0;297.0;64.0;357.0
