InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
-369.0;-181.0;100.0;-381.0;-120.0;26;-10.0;282.0;36.0;351.0
-54.0;-852.0;199.0;-297.0;467.0;-110;374.0;127.0;-181.0;299.0
-42.0;-102.0;18.0;-641.0;413.0;-110;-158.0;48.0;4.0;334.0
181.0;280.0;-94.0;-566.0;-577.0;38;-376.0;331.0;576.0;427.0
-69.0;-277.0;-66.0;-832.0;23.0;-106;-629.0;846.0;-13.0;824.0
-46.0;-101.0;30.0;-479.0;411.0;-110;-60.0;54.0;-2.0;270.0
125.0;786.0;5.0;-559.0;-481.0;-30;-459.0;728.0;451.0;1051.0
76.0;133.0;-283.0;-477.0;-556.0;-77;-26.0;185.0;566.0;464.0
-54.0;-114.0;118.0;-1075.0;464.0;-113;30.0;413.0;-6.0;246.0
-48.0;-113.0;52.0;-630.0;413.0;-110;-190.0;87.0;11.0;321.0
-49.0;-116.0;33.0;-598.0;410.0;-110;-183.0;95.0;8.0;334.0
-48.0;-116.0;34.0;-591.0;412.0;-110;-184.0;59.0;11.0;370.0
-49.0;-115.0;37.0;-556.0;409.0;-110;-184.0;70.0;11.0;359.0
-50.0;-113.0;31.0;-575.0;406.0;-110;-196.0;103.0;12.0;370.0
-56.0;-116.0;30.0;-654.0;397.0;-110;-230.0;97.0;13.0;370.0
-65.0;-121.0;30.0;-717.0;381.0;-110;-328.0;125.0;16.0;379.0
-71.0;-124.0;20.0;-757.0;371.0;-110;-369.0;128.0;17.0;379.0
-74.0;-130.0;40.0;-713.0;358.0;-110;-414.0;152.0;19.0;357.0
-86.0;-142.0;45.0;-623.0;306.0;-110;-505.0;192.0;32.0;429.0
-122.0;-168.0;44.0;-456.0;319.0;-109;-680.0;190.0;19.0;416.0
-91.0;-146.0;22.0;-621.0;272.0;-110;-519.0;163.0;37.0;438.0
-123.0;-212.0;60.0;-676.0;326.0;-109;-659.0;300.0;25.0;476.0
