InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
-579.0;1.0;586.0;-7.0;199.0;467.0;-135.0;383.0;335.0
-607.0;246.0;458.0;-339.0;200.0;644.0;-107.0;227.0;487.0
-596.0;214.0;223.0;-452.0;720.0;1038.0;-61.0;224.0;401.0
-611.0;273.0;381.0;-339.0;351.0;617.0;-254.0;244.0;311.0
-577.0;169.0;414.0;-335.0;291.0;611.0;32.0;292.0;261.0
-564.0;80.0;569.0;-78.0;192.0;446.0;-147.0;380.0;323.0
-564.0;162.0;379.0;-285.0;349.0;598.0;-172.0;234.0;407.0
-593.0;287.0;406.0;-332.0;332.0;611.0;-100.0;275.0;385.0
-560.0;156.0;407.0;-243.0;318.0;588.0;-126.0;269.0;400.0
-565.0;86.0;562.0;-79.0;194.0;449.0;-172.0;372.0;312.0
-565.0;89.0;564.0;-72.0;202.0;453.0;-173.0;376.0;328.0
-551.0;202.0;434.0;-189.0;299.0;574.0;-134.0;301.0;431.0
-550.0;204.0;440.0;-176.0;301.0;570.0;-119.0;307.0;468.0
-545.0;250.0;450.0;-152.0;297.0;566.0;-133.0;309.0;429.0
-593.0;409.0;435.0;-113.0;404.0;667.0;-92.0;164.0;325.0
-568.0;89.0;561.0;-79.0;198.0;450.0;-165.0;372.0;332.0
-526.0;268.0;466.0;-121.0;284.0;550.0;-266.0;316.0;322.0
-552.0;64.0;514.0;-18.0;209.0;445.0;-144.0;332.0;371.0
-568.0;75.0;562.0;-79.0;196.0;446.0;-156.0;379.0;327.0
136.0;93.0;-176.0;-50.0;449.0;609.0;114.0;-153.0;118.0
-606.0;260.0;459.0;-336.0;200.0;643.0;-95.0;228.0;501.0
-567.0;74.0;560.0;-79.0;198.0;445.0;-164.0;368.0;321.0
-567.0;61.0;560.0;-80.0;196.0;446.0;-167.0;361.0;320.0
-293.0;416.0;322.0;-63.0;235.0;541.0;-422.0;376.0;241.0
-523.0;224.0;449.0;-119.0;282.0;532.0;-335.0;276.0;271.0
-566.0;66.0;553.0;-82.0;196.0;445.0;-179.0;357.0;307.0
-566.0;63.0;553.0;-80.0;200.0;448.0;-170.0;356.0;335.0
-567.0;69.0;555.0;-76.0;204.0;451.0;-150.0;359.0;333.0
-566.0;81.0;560.0;-84.0;191.0;445.0;-165.0;377.0;315.0
-568.0;75.0;562.0;-81.0;192.0;445.0;-143.0;377.0;321.0
-567.0;73.0;561.0;-82.0;194.0;445.0;-151.0;377.0;319.0
-565.0;82.0;571.0;-76.0;192.0;446.0;-154.0;385.0;327.0
-567.0;81.0;569.0;-84.0;185.0;442.0;-145.0;383.0;309.0
-567.0;84.0;563.0;-82.0;194.0;446.0;-157.0;377.0;312.0
-179.0;210.0;-781.0;-92.0;813.0;303.0;-137.0;-787.0;429.0
-377.0;256.0;-275.0;-106.0;606.0;425.0;-208.0;-596.0;328.0
-200.0;-11.0;-79.0;21.0;217.0;560.0;168.0;-212.0;369.0
899.0;310.0;-557.0;308.0;360.0;64.0;20.0;-233.0;821.0
110.0;165.0;-357.0;-510.0;600.0;421.0;-93.0;-173.0;369.0
-310.0;133.0;44.0;-125.0;109.0;362.0;-252.0;-43.0;335.0
142.0;507.0;-122.0;-138.0;22.0;178.0;-296.0;201.0;351.0
-479.0;379.0;-187.0;-34.0;155.0;18.0;-48.0;186.0;622.0
-566.0;84.0;563.0;-76.0;202.0;452.0;-173.0;373.0;326.0
-567.0;78.0;561.0;-80.0;199.0;452.0;-161.0;369.0;307.0
-567.0;86.0;560.0;-83.0;196.0;449.0;-168.0;368.0;332.0
-568.0;84.0;560.0;-78.0;201.0;453.0;-185.0;370.0;312.0
-566.0;85.0;562.0;-82.0;198.0;450.0;-163.0;369.0;330.0
-567.0;84.0;563.0;-76.0;201.0;453.0;-132.0;372.0;319.0
-565.0;86.0;561.0;-73.0;202.0;454.0;-134.0;372.0;319.0
-566.0;87.0;561.0;-79.0;199.0;449.0;-166.0;369.0;314.0
-567.0;88.0;562.0;-74.0;198.0;454.0;-168.0;372.0;321.0
-278.0;194.0;29.0;-101.0;174.0;402.0;61.0;-91.0;333.0
-207.0;-26.0;-129.0;-47.0;-196.0;482.0;-239.0;-13.0;241.0
-187.0;364.0;31.0;-7.0;-87.0;448.0;-168.0;-36.0;388.0
-351.0;67.0;128.0;-123.0;-85.0;400.0;-167.0;44.0;284.0
-163.0;255.0;58.0;58.0;-186.0;408.0;-282.0;70.0;325.0
-568.0;81.0;564.0;-76.0;196.0;448.0;-158.0;379.0;320.0
-567.0;78.0;562.0;-83.0;194.0;446.0;-121.0;377.0;320.0
-466.0;305.0;162.0;-365.0;-279.0;418.0;-275.0;330.0;249.0
-566.0;88.0;561.0;-78.0;198.0;451.0;-159.0;370.0;311.0
-567.0;97.0;560.0;-79.0;197.0;450.0;-165.0;370.0;292.0
-567.0;93.0;561.0;-72.0;202.0;454.0;-169.0;370.0;320.0
-566.0;79.0;562.0;-84.0;192.0;445.0;-157.0;378.0;320.0
-556.0;75.0;566.0;-67.0;184.0;444.0;-152.0;386.0;323.0
