InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-27;981.0;-13.0;-3.0;119.0;-124;-134.0;395;-927.0;42.0
-24;930.0;54.0;33.0;306.0;-16;238.0;348;-888.0;27.0
-27;944.0;-14.0;-45.0;171.0;-125;-35.0;416;-943.0;116.0
-27;980.0;-11.0;8.0;218.0;-125;58.0;424;-921.0;28.0
-7;928.0;232.0;-227.0;440.0;-34;-121.0;1027;-1024.0;57.0
-25;942.0;-40.0;-1.0;238.0;-125;11.0;364;-914.0;42.0
-25;950.0;-31.0;6.0;179.0;-125;-37.0;367;-912.0;47.0
-24;987.0;-138.0;22.0;330.0;-115;38.0;357;-941.0;-4.0
-23;952.0;-55.0;67.0;368.0;8;81.0;387;-940.0;-69.0
-25;951.0;18.0;-5.0;196.0;-75;117.0;383;-844.0;45.0
-25;951.0;-30.0;-22.0;201.0;-75;23.0;406;-849.0;41.0
-24;998.0;-401.0;90.0;233.0;-17;-85.0;337;-942.0;-171.0
-36;1018.0;-10.0;-10.0;312.0;-73;5.0;552;-910.0;14.0
-37;1011.0;-49.0;45.0;325.0;-77;-106.0;547;-923.0;31.0
-29;1077.0;-237.0;-270.0;149.0;-11;-329.0;356;-1000.0;230.0
-34;1004.0;-5.0;-198.0;578.0;-74;-100.0;515;-941.0;215.0
-27;1021.0;17.0;-204.0;278.0;-138;-108.0;409;-944.0;25.0
-22;950.0;60.0;-173.0;355.0;8;-140.0;362;-910.0;278.0
-37;663.0;382.0;159.0;401.0;-83;-29.0;48;-846.0;146.0
-24;1002.0;-73.0;40.0;242.0;174;-52.0;-141;-965.0;17.0
-26;1053.0;-48.0;-24.0;156.0;174;-11.0;363;-987.0;92.0
-20;962.0;179.0;112.0;324.0;8;124.0;354;-870.0;-195.0
-38;1020.0;85.0;22.0;290.0;-75;15.0;571;-929.0;22.0
-28;1022.0;-36.0;19.0;413.0;24;-26.0;402;-860.0;117.0
-27;991.0;-481.0;140.0;180.0;-76;310.0;402;-965.0;-170.0
-26;734.0;-44.0;-121.0;502.0;-75;-178.0;404;-724.0;157.0
-24;1044.0;-210.0;251.0;139.0;5;308.0;355;-1063.0;210.0
-31;1044.0;-44.0;-5.0;153.0;-72;18.0;433;-926.0;-35.0
-26;1030.0;89.0;-13.0;116.0;174;43.0;363;-973.0;99.0
-24;834.0;47.0;-12.0;510.0;-30;-49.0;371;-826.0;39.0
-29;1002.0;-21.0;-1.0;206.0;-71;27.0;422;-948.0;33.0
-29;1048.0;47.0;-48.0;158.0;-71;20.0;441;-942.0;77.0
-25;816.0;-21.0;15.0;425.0;-75;83.0;400;-768.0;-244.0
-25;799.0;1.0;-18.0;160.0;-75;27.0;376;-651.0;37.0
-29;939.0;10.0;19.0;281.0;-71;26.0;425;-728.0;-12.0
-28;980.0;99.0;99.0;177.0;7;52.0;369;-970.0;-1731.0
