InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
-57;624.0;362.0;-457.0
40;601.0;392.0;-469.0
-64;440.0;483.0;-354.0
97;560.0;525.0;-417.0
44;646.0;517.0;-562.0
-138;504.0;481.0;-504.0
97;564.0;560.0;-472.0
97;589.0;532.0;-360.0
97;519.0;394.0;-407.0
-73;521.0;598.0;-500.0
97;536.0;482.0;-347.0
97;547.0;438.0;-430.0
125;595.0;576.0;-551.0
-57;697.0;644.0;-633.0
125;517.0;498.0;-376.0
125;518.0;459.0;-353.0
125;503.0;437.0;-376.0
125;465.0;435.0;-402.0
55;512.0;701.0;-533.0
125;609.0;421.0;-395.0
125;503.0;377.0;-410.0
125;510.0;373.0;-400.0
39;643.0;600.0;-595.0
76;634.0;570.0;-664.0
139;736.0;515.0;-445.0
-91;655.0;573.0;-581.0
97;578.0;630.0;-538.0
2;556.0;520.0;-509.0
3;528.0;381.0;-480.0
97;565.0;593.0;-584.0
3;652.0;527.0;-536.0
125;587.0;501.0;-538.0
-70;603.0;407.0;-372.0
-57;560.0;500.0;-325.0
116;531.0;512.0;-562.0
99;481.0;469.0;-481.0
-69;585.0;456.0;-417.0
161;419.0;340.0;-557.0
115;562.0;433.0;-437.0
-69;544.0;489.0;-462.0
5;621.0;540.0;-651.0
2;512.0;484.0;-513.0
22;490.0;486.0;-450.0
-69;694.0;545.0;-472.0
-69;681.0;602.0;-573.0
-69;652.0;556.0;-451.0
54;669.0;547.0;-637.0
-69;653.0;466.0;-500.0
-94;579.0;582.0;-532.0
115;461.0;463.0;-402.0
-69;485.0;468.0;-445.0
97;614.0;440.0;-373.0
99;580.0;508.0;-562.0
99;641.0;550.0;-623.0
-31;529.0;545.0;-374.0
-14;723.0;708.0;-528.0
118;730.0;627.0;-644.0
-140;199.0;315.0;-324.0
-94;607.0;620.0;-490.0
-106;582.0;428.0;-483.0
-121;827.0;721.0;-557.0
-153;311.0;410.0;-117.0
-57;718.0;458.0;-446.0
-101;721.0;535.0;-534.0
-100;596.0;361.0;-658.0
-59;655.0;550.0;-571.0
-106;603.0;596.0;-565.0
-73;665.0;621.0;-316.0
-95;689.0;548.0;-581.0
-112;654.0;484.0;-472.0
-70;469.0;516.0;-375.0
-42;542.0;433.0;-454.0
-101;657.0;530.0;-443.0
-101;555.0;615.0;-465.0
-121;500.0;490.0;-458.0
-121;555.0;495.0;-558.0
-81;766.0;611.0;-625.0
-121;652.0;578.0;-512.0
-121;658.0;485.0;-466.0
-123;700.0;687.0;-683.0
-121;634.0;586.0;-471.0
-48;676.0;431.0;-531.0
94;471.0;449.0;-453.0
-102;475.0;469.0;-413.0
91;666.0;565.0;-520.0
91;441.0;514.0;-401.0
73;606.0;585.0;-607.0
83;690.0;681.0;-586.0
-57;473.0;540.0;-509.0
85;610.0;577.0;-573.0
76;585.0;584.0;-606.0
76;609.0;613.0;-574.0
-96;521.0;540.0;-380.0
110;484.0;534.0;-471.0
-67;621.0;611.0;-486.0
-1;647.0;571.0;-530.0
-102;576.0;519.0;-489.0
39;581.0;539.0;-685.0
110;484.0;523.0;-484.0
110;512.0;553.0;-510.0
-74;531.0;321.0;-331.0
-97;480.0;454.0;-360.0
110;524.0;526.0;-555.0
-140;430.0;494.0;-212.0
56;441.0;599.0;-406.0
-108;402.0;368.0;-361.0
145;625.0;450.0;-483.0
139;508.0;447.0;-442.0
-53;674.0;605.0;-540.0
-123;672.0;462.0;-688.0
97;464.0;631.0;-103.0
-4;709.0;570.0;-644.0
-42;691.0;478.0;-641.0
139;641.0;477.0;-508.0
50;603.0;630.0;-666.0
56;562.0;594.0;-562.0
57;632.0;442.0;-433.0
36;535.0;536.0;-547.0
139;629.0;513.0;-465.0
-38;474.0;512.0;-504.0
-74;324.0;313.0;-485.0
35;510.0;552.0;-515.0
-121;411.0;579.0;-430.0
41;390.0;667.0;-492.0
42;612.0;619.0;-604.0
35;569.0;506.0;-513.0
144;602.0;477.0;-461.0
-81;659.0;470.0;-578.0
-92;493.0;537.0;-511.0
83;655.0;622.0;-554.0
-96;534.0;547.0;-412.0
2;511.0;595.0;-577.0
35;579.0;525.0;-532.0
-109;523.0;486.0;-447.0
3;675.0;671.0;-586.0
102;460.0;468.0;-371.0
102;538.0;567.0;-464.0
143;644.0;649.0;-411.0
101;519.0;563.0;-469.0
102;596.0;591.0;-521.0
13;612.0;678.0;-532.0
102;624.0;576.0;-559.0
84;631.0;513.0;-465.0
35;530.0;621.0;-493.0
-14;604.0;527.0;-625.0
5;683.0;431.0;-612.0
-131;435.0;457.0;-704.0
-18;547.0;493.0;-523.0
32;497.0;563.0;-457.0
0;558.0;610.0;-596.0
32;437.0;497.0;-404.0
-121;451.0;841.0;-413.0
4;405.0;377.0;-328.0
-57;452.0;530.0;-385.0
81;642.0;591.0;-580.0
13;682.0;766.0;-655.0
145;592.0;469.0;-441.0
-152;167.0;212.0;-167.0
-72;663.0;525.0;-338.0
-57;462.0;538.0;-363.0
-44;546.0;640.0;-558.0
120;620.0;572.0;-530.0
-55;688.0;526.0;-601.0
107;472.0;516.0;-407.0
-57;522.0;478.0;-419.0
105;504.0;574.0;-439.0
104;623.0;553.0;-444.0
105;652.0;608.0;-523.0
-97;474.0;360.0;-205.0
108;636.0;551.0;-581.0
-57;479.0;475.0;-439.0
-55;669.0;604.0;-596.0
55;336.0;602.0;-365.0
123;606.0;434.0;-629.0
-57;613.0;338.0;-436.0
118;508.0;409.0;-488.0
-57;588.0;354.0;-377.0
-45;676.0;305.0;-288.0
118;640.0;580.0;-504.0
-7;478.0;447.0;-436.0
118;630.0;433.0;-451.0
118;635.0;509.0;-410.0
-7;492.0;451.0;-439.0
-7;548.0;418.0;-478.0
59;294.0;516.0;-637.0
102;528.0;548.0;-362.0
144;652.0;432.0;-511.0
-27;709.0;717.0;-740.0
144;574.0;366.0;-584.0
175;589.0;527.0;-510.0
137;583.0;359.0;-441.0
-57;590.0;291.0;-453.0
-62;989.0;918.0;-350.0
175;575.0;483.0;-443.0
145;646.0;415.0;-504.0
-35;833.0;479.0;-374.0
-123;548.0;609.0;-522.0
-99;705.0;308.0;-806.0
-57;617.0;666.0;-587.0
-48;721.0;452.0;-550.0
-48;764.0;410.0;-614.0
97;741.0;485.0;-287.0
