InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion2
-704.0;2.0;134.0;-382.0;-260.0;-91.0;-550.0;-350.0;-275.0;98.0;560.0;-661.0;431.0
-538.0;-146.0;119.0;-414.0;-421.0;-262.0;-645.0;-582.0;-79.0;213.0;440.0;-713.0;263.0
-773.0;-244.0;107.0;118.0;-152.0;136.0;-467.0;-175.0;-413.0;38.0;590.0;-609.0;490.0
-641.0;-782.0;595.0;-540.0;408.0;533.0;-455.0;495.0;-370.0;604.0;422.0;-694.0;418.0
-632.0;-834.0;261.0;-446.0;418.0;-271.0;258.0;364.0;-880.0;50.0;541.0;-288.0;275.0
-449.0;-805.0;579.0;-682.0;536.0;-606.0;399.0;653.0;-720.0;585.0;292.0;202.0;531.0
-701.0;-369.0;-8.0;175.0;364.0;-272.0;-16.0;54.0;-814.0;-9.0;611.0;-572.0;101.0
-601.0;76.0;-99.0;433.0;-472.0;212.0;-578.0;-623.0;-140.0;-249.0;170.0;-760.0;262.0
740.0;61.0;230.0;397.0;65.0;374.0;321.0;186.0;370.0;-108.0;-643.0;779.0;-391.0
-683.0;-46.0;-64.0;296.0;-308.0;150.0;-586.0;-396.0;-265.0;-112.0;531.0;-670.0;371.0
-830.0;-452.0;-6.0;-732.0;-449.0;-417.0;-665.0;-274.0;-24.0;322.0;185.0;-741.0;84.0
-695.0;-483.0;-6.0;-787.0;-625.0;-314.0;-689.0;-349.0;83.0;310.0;-69.0;-718.0;52.0
-820.0;-464.0;-31.0;-781.0;-432.0;-226.0;-663.0;-360.0;30.0;323.0;107.0;-744.0;74.0
-791.0;-524.0;-48.0;-809.0;-399.0;-54.0;-615.0;-454.0;-10.0;127.0;94.0;-785.0;72.0
-817.0;-461.0;73.0;-663.0;-419.0;-479.0;-661.0;-224.0;-45.0;292.0;326.0;-740.0;115.0
-370.0;-646.0;617.0;-602.0;546.0;584.0;-560.0;732.0;-183.0;621.0;171.0;-766.0;256.0
-824.0;-597.0;71.0;-721.0;-372.0;-297.0;-631.0;-302.0;-30.0;152.0;301.0;-761.0;148.0
-667.0;-58.0;-19.0;271.0;-313.0;107.0;-585.0;-430.0;-260.0;-91.0;522.0;-678.0;361.0
-642.0;-17.0;-71.0;314.0;-322.0;169.0;-602.0;-466.0;-223.0;-141.0;517.0;-690.0;333.0
-498.0;184.0;-201.0;508.0;-466.0;292.0;-656.0;-609.0;-73.0;-261.0;405.0;-717.0;223.0
-683.0;-47.0;-45.0;290.0;-293.0;150.0;-568.0;-383.0;-276.0;-101.0;549.0;-664.0;401.0
-672.0;-62.0;-54.0;278.0;-297.0;106.0;-574.0;-403.0;-276.0;-78.0;546.0;-658.0;402.0
-669.0;-49.0;-49.0;287.0;-297.0;91.0;-578.0;-416.0;-256.0;-85.0;539.0;-679.0;374.0
-613.0;57.0;-79.0;407.0;-365.0;220.0;-608.0;-490.0;-172.0;-182.0;501.0;-702.0;329.0
-698.0;-379.0;318.0;-655.0;-305.0;-97.0;-664.0;-628.0;127.0;459.0;161.0;-736.0;0.0
-808.0;-202.0;137.0;-530.0;-300.0;-46.0;-636.0;-461.0;-33.0;332.0;212.0;-758.0;143.0
-881.0;-591.0;545.0;-411.0;207.0;487.0;-513.0;47.0;-266.0;613.0;424.0;-804.0;140.0
-825.0;-157.0;78.0;-487.0;-288.0;-27.0;-618.0;-433.0;-74.0;300.0;221.0;-761.0;183.0
-738.0;-474.0;127.0;-688.0;-467.0;-345.0;-611.0;-423.0;15.0;304.0;243.0;-787.0;79.0
-739.0;-477.0;133.0;-687.0;-462.0;-314.0;-609.0;-423.0;18.0;302.0;247.0;-789.0;80.0
-651.0;-469.0;-23.0;-783.0;-463.0;-299.0;-654.0;-586.0;95.0;316.0;131.0;-748.0;59.0
-752.0;-480.0;140.0;-684.0;-454.0;-252.0;-606.0;-415.0;16.0;304.0;236.0;-792.0;81.0
-753.0;-480.0;140.0;-684.0;-455.0;-250.0;-606.0;-414.0;16.0;304.0;233.0;-791.0;81.0
-756.0;-480.0;138.0;-683.0;-456.0;-242.0;-605.0;-410.0;13.0;306.0;228.0;-792.0;82.0
-764.0;-481.0;140.0;-681.0;-452.0;-228.0;-603.0;-405.0;11.0;309.0;219.0;-793.0;81.0
-767.0;-483.0;144.0;-679.0;-451.0;-223.0;-600.0;-402.0;10.0;310.0;216.0;-795.0;82.0
-775.0;-482.0;147.0;-675.0;-449.0;-208.0;-596.0;-390.0;6.0;310.0;211.0;-799.0;83.0
