InertialMeasurementUnit RUA magneticY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit LUA magneticX;Accelerometer LUA^ accZ;InertialMeasurementUnit LUA magneticY;Accelerometer LUA_ accZ
-565.0;69.0;554.0;-72.0;212.0;453.0;-130.0;358.0;318.0
-596.0;298.0;445.0;-471.0;-338.0;521.0;9.0;354.0;542.0
-569.0;90.0;556.0;-80.0;202.0;451.0;-176.0;367.0;324.0
-567.0;97.0;555.0;-76.0;201.0;453.0;-173.0;366.0;308.0
-568.0;93.0;555.0;-77.0;202.0;452.0;-172.0;366.0;333.0
-564.0;80.0;569.0;-78.0;192.0;446.0;-147.0;380.0;323.0
-558.0;72.0;612.0;-35.0;197.0;458.0;-10.0;419.0;362.0
-584.0;14.0;587.0;-30.0;215.0;460.0;-16.0;362.0;396.0
-585.0;16.0;588.0;-31.0;220.0;460.0;-72.0;354.0;374.0
-565.0;81.0;567.0;-75.0;194.0;448.0;-174.0;381.0;317.0
-569.0;91.0;557.0;-77.0;203.0;451.0;-154.0;366.0;312.0
-562.0;65.0;494.0;-98.0;221.0;448.0;-112.0;299.0;338.0
-568.0;90.0;556.0;-77.0;202.0;452.0;-174.0;365.0;319.0
-596.0;25.0;572.0;-90.0;247.0;460.0;-105.0;326.0;340.0
-600.0;56.0;563.0;-117.0;266.0;459.0;-63.0;307.0;340.0
-568.0;89.0;561.0;-79.0;198.0;450.0;-165.0;372.0;332.0
-599.0;27.0;566.0;-120.0;266.0;457.0;-91.0;300.0;340.0
-552.0;64.0;514.0;-18.0;209.0;445.0;-144.0;332.0;371.0
-568.0;75.0;562.0;-79.0;196.0;446.0;-156.0;379.0;327.0
-600.0;6.0;566.0;-118.0;263.0;454.0;-101.0;301.0;367.0
-595.0;4.0;566.0;-108.0;258.0;455.0;-100.0;306.0;344.0
-567.0;74.0;560.0;-79.0;198.0;445.0;-164.0;368.0;321.0
-567.0;61.0;560.0;-80.0;196.0;446.0;-167.0;361.0;320.0
-568.0;78.0;558.0;-78.0;201.0;451.0;-170.0;367.0;309.0
-586.0;56.0;562.0;-99.0;235.0;450.0;-156.0;318.0;305.0
-566.0;66.0;553.0;-82.0;196.0;445.0;-179.0;357.0;307.0
-566.0;63.0;553.0;-80.0;200.0;448.0;-170.0;356.0;335.0
-567.0;69.0;555.0;-76.0;204.0;451.0;-150.0;359.0;333.0
-566.0;81.0;560.0;-84.0;191.0;445.0;-165.0;377.0;315.0
-568.0;75.0;562.0;-81.0;192.0;445.0;-143.0;377.0;321.0
-567.0;73.0;561.0;-82.0;194.0;445.0;-151.0;377.0;319.0
-565.0;82.0;571.0;-76.0;192.0;446.0;-154.0;385.0;327.0
-567.0;81.0;569.0;-84.0;185.0;442.0;-145.0;383.0;309.0
-567.0;84.0;563.0;-82.0;194.0;446.0;-157.0;377.0;312.0
641.0;307.0;-739.0;797.0;922.0;470.0;-147.0;-655.0;180.0
