InertialMeasurementUnit R-SHOE EuY;Accelerometer RUA^ accY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit RUA accX;InertialMeasurementUnit LLA gyroZ
-18;918.0;117.0;-117.0;141.0;-131;-56.0;889;-993.0;436.0
-25;960.0;-47.0;-54.0;319.0;-115;-19.0;352;-938.0;50.0
-27;766.0;95.0;-201.0;595.0;-75;-93.0;411;-620.0;-334.0
-25;942.0;7.0;-17.0;362.0;-75;14.0;373;-761.0;1.0
-25;969.0;-26.0;-40.0;370.0;-75;-34.0;375;-750.0;-73.0
-76;1112.0;320.0;66.0;70.0;71;42.0;555;-955.0;242.0
-26;1015.0;48.0;-62.0;416.0;-71;-44.0;399;-619.0;109.0
-25;999.0;-114.0;-9.0;413.0;-75;-9.0;379;-622.0;65.0
-35;1000.0;125.0;-146.0;128.0;-10;-65.0;357;-907.0;164.0
-25;934.0;-28.0;-64.0;196.0;-75;12.0;373;-816.0;-36.0
-23;1094.0;-27.0;-52.0;140.0;-16;-72.0;350;-1008.0;68.0
-21;1006.0;-42.0;-13.0;266.0;-144;20.0;352;-962.0;27.0
-36;1043.0;-229.0;-318.0;262.0;-1;-323.0;384;-913.0;-481.0
-30;942.0;74.0;36.0;270.0;-72;120.0;493;-896.0;-22.0
-24;1010.0;759.0;-18.0;229.0;-75;329.0;419;-815.0;-45.0
-29;1038.0;88.0;33.0;64.0;-71;87.0;445;-933.0;-10.0
-25;785.0;-20.0;-34.0;265.0;-75;-51.0;406;-686.0;225.0
-26;785.0;-30.0;-15.0;202.0;-71;0.0;403;-630.0;62.0
-25;914.0;-54.0;4.0;307.0;-75;10.0;378;-678.0;-12.0
-28;924.0;126.0;2.0;466.0;-75;8.0;422;-776.0;63.0
-25;855.0;27.0;67.0;303.0;-75;12.0;381;-735.0;85.0
-25;918.0;308.0;43.0;217.0;-75;-159.0;410;-846.0;92.0
-27;979.0;2.0;19.0;276.0;-71;23.0;439;-933.0;-2.0
-27;967.0;0.0;41.0;237.0;-71;44.0;442;-950.0;3.0
-27;968.0;-42.0;6.0;223.0;-71;40.0;440;-935.0;35.0
-27;986.0;4.0;21.0;219.0;-71;60.0;433;-931.0;46.0
-27;960.0;-15.0;24.0;218.0;-71;48.0;433;-928.0;69.0
-27;970.0;-25.0;-10.0;218.0;-71;11.0;428;-943.0;8.0
-27;959.0;6.0;2.0;213.0;-71;3.0;420;-932.0;31.0
-27;1007.0;-53.0;-60.0;189.0;-71;-63.0;428;-902.0;65.0
-27;970.0;-10.0;-11.0;216.0;-71;17.0;437;-939.0;34.0
-27;989.0;-33.0;-11.0;214.0;-71;-5.0;428;-934.0;59.0
-28;1039.0;-86.0;-169.0;140.0;-71;-95.0;442;-825.0;45.0
-27;1081.0;-81.0;-249.0;146.0;-138;-202.0;412;-987.0;187.0
-24;1075.0;-199.0;-247.0;135.0;-99;-303.0;401;-960.0;30.0
-20;1038.0;-220.0;5.0;213.0;-15;-91.0;368;-977.0;224.0
-23;1270.0;-371.0;-84.0;135.0;-55;139.0;347;-844.0;263.0
-22;869.0;-55.0;-27.0;296.0;-147;-45.0;336;-851.0;35.0
-31;1044.0;-44.0;-5.0;153.0;-72;18.0;433;-926.0;-35.0
-23;887.0;-63.0;-87.0;270.0;-59;-266.0;-1535;-814.0;-205.0
-31;1010.0;-25.0;13.0;176.0;-71;-6.0;433;-950.0;33.0
-23;1038.0;53.0;-22.0;113.0;-9;-98.0;340;-994.0;4.0
-49;898.0;-139.0;-75.0;301.0;34;-260.0;-516;-776.0;-591.0
-33;1047.0;-90.0;44.0;90.0;-14;20.0;403;-985.0;176.0
-25;866.0;-17.0;43.0;426.0;-75;90.0;384;-679.0;-132.0
-29;820.0;-93.0;72.0;399.0;-75;-183.0;453;-703.0;67.0
-27;703.0;39.0;-8.0;432.0;-78;-5.0;430;-619.0;50.0
