InertialMeasurementUnit RUA magneticZ;InertialMeasurementUnit RLA magneticZ;Accelerometer HIP accZ;Accelerometer RWR accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA magneticZ;Accelerometer RUA_ accX;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RLA accY
-80.0;-199.0;-44.0;-752.0;329.0;-106;-119.0;614.0;-33.0;-163.0
-44.0;-103.0;6.0;-604.0;416.0;-110;-146.0;40.0;3.0;346.0
-42.0;-102.0;18.0;-641.0;413.0;-110;-158.0;48.0;4.0;334.0
-42.0;-102.0;35.0;-648.0;412.0;-110;-166.0;57.0;6.0;310.0
-40.0;-102.0;35.0;-605.0;409.0;-110;-172.0;48.0;8.0;290.0
-39.0;-101.0;10.0;-556.0;405.0;-110;-174.0;61.0;8.0;287.0
-41.0;-104.0;39.0;-654.0;404.0;-110;-170.0;67.0;7.0;274.0
-43.0;-103.0;40.0;-663.0;405.0;-110;-171.0;74.0;9.0;286.0
-58.0;-83.0;139.0;-883.0;463.0;-113;20.0;185.0;-12.0;153.0
-48.0;-113.0;52.0;-630.0;413.0;-110;-190.0;87.0;11.0;321.0
-49.0;-116.0;33.0;-598.0;410.0;-110;-183.0;95.0;8.0;334.0
-48.0;-116.0;34.0;-591.0;412.0;-110;-184.0;59.0;11.0;370.0
-49.0;-115.0;37.0;-556.0;409.0;-110;-184.0;70.0;11.0;359.0
-50.0;-113.0;31.0;-575.0;406.0;-110;-196.0;103.0;12.0;370.0
-56.0;-116.0;30.0;-654.0;397.0;-110;-230.0;97.0;13.0;370.0
-65.0;-121.0;30.0;-717.0;381.0;-110;-328.0;125.0;16.0;379.0
-71.0;-124.0;20.0;-757.0;371.0;-110;-369.0;128.0;17.0;379.0
-74.0;-130.0;40.0;-713.0;358.0;-110;-414.0;152.0;19.0;357.0
-86.0;-142.0;45.0;-623.0;306.0;-110;-505.0;192.0;32.0;429.0
-122.0;-168.0;44.0;-456.0;319.0;-109;-680.0;190.0;19.0;416.0
-91.0;-146.0;22.0;-621.0;272.0;-110;-519.0;163.0;37.0;438.0
-123.0;-212.0;60.0;-676.0;326.0;-109;-659.0;300.0;25.0;476.0
-88.0;-153.0;7.0;-666.0;228.0;-110;-484.0;213.0;32.0;407.0
-88.0;-153.0;28.0;-668.0;224.0;-110;-480.0;186.0;35.0;454.0
-84.0;-149.0;48.0;-610.0;229.0;-110;-481.0;203.0;35.0;426.0
-90.0;-145.0;51.0;-591.0;232.0;-110;-484.0;208.0;34.0;319.0
-89.0;-145.0;35.0;-633.0;233.0;-110;-485.0;220.0;32.0;415.0
-83.0;-149.0;20.0;-616.0;232.0;-110;-481.0;220.0;37.0;569.0
-118.0;-84.0;10.0;-586.0;272.0;-110;-660.0;95.0;-44.0;297.0
-89.0;-150.0;28.0;-577.0;229.0;-110;-485.0;199.0;39.0;715.0
-124.0;-82.0;12.0;-441.0;304.0;-109;-756.0;48.0;-58.0;292.0
-95.0;-153.0;35.0;-693.0;233.0;-110;-484.0;234.0;34.0;481.0
-123.0;-76.0;32.0;-284.0;310.0;-109;-752.0;-4.0;-58.0;309.0
-326.0;-217.0;177.0;219.0;424.0;-109;-717.0;-267.0;-161.0;800.0
-96.0;-182.0;32.0;-472.0;233.0;-110;-484.0;222.0;35.0;563.0
-96.0;-185.0;27.0;-594.0;232.0;-110;-484.0;77.0;36.0;508.0
-97.0;-188.0;23.0;-390.0;234.0;-110;-483.0;191.0;32.0;455.0
-98.0;-193.0;46.0;-707.0;231.0;-110;-479.0;95.0;35.0;514.0
