InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-859.0;594.0;-213.0;-121.0;932.0;1016.0;-412.0;-208.0
-888.0;?;?;-132.0;951.0;983.0;-432.0;-191.0
-910.0;600.0;-128.0;-146.0;978.0;1020.0;-426.0;-225.0
-955.0;605.0;-129.0;-106.0;1046.0;1019.0;-395.0;-192.0
?;609.0;-133.0;-162.0;1033.0;1050.0;-375.0;-189.0
-984.0;?;-112.0;-134.0;1031.0;1021.0;-343.0;-211.0
-970.0;618.0;-80.0;-159.0;965.0;995.0;-324.0;-201.0
-947.0;623.0;-107.0;-139.0;1000.0;1032.0;-372.0;-206.0
-1009.0;622.0;-86.0;-40.0;1000.0;1050.0;-326.0;-264.0
?;623.0;-13.0;-35.0;989.0;1002.0;-247.0;-300.0
-988.0;623.0;57.0;?;949.0;1079.0;-256.0;-302.0
-972.0;621.0;125.0;-28.0;920.0;1000.0;-306.0;-351.0
-954.0;621.0;140.0;-11.0;908.0;993.0;-202.0;-336.0
-949.0;625.0;-15.0;-50.0;962.0;966.0;-75.0;-312.0
-950.0;625.0;-95.0;-65.0;997.0;1073.0;-51.0;-272.0
-995.0;626.0;-12.0;-17.0;1000.0;1009.0;-88.0;-294.0
-978.0;626.0;?;-3.0;971.0;1025.0;-210.0;-306.0
-971.0;626.0;-26.0;-122.0;971.0;1019.0;-278.0;-279.0
-977.0;630.0;-30.0;-68.0;990.0;1030.0;-328.0;-292.0
-991.0;631.0;-78.0;-12.0;963.0;1055.0;-359.0;-306.0
-958.0;632.0;?;-68.0;949.0;1011.0;-348.0;-309.0
-955.0;633.0;-125.0;-80.0;936.0;1009.0;-307.0;-273.0
-941.0;631.0;-93.0;-46.0;931.0;1003.0;-165.0;-280.0
-930.0;634.0;-115.0;-73.0;930.0;996.0;-198.0;-237.0
-927.0;637.0;-167.0;-75.0;976.0;966.0;-319.0;?
-969.0;637.0;-122.0;-63.0;998.0;1009.0;-309.0;-300.0
-976.0;632.0;-66.0;-72.0;988.0;1039.0;-362.0;?
-964.0;633.0;-30.0;-93.0;971.0;999.0;-452.0;-261.0
-970.0;634.0;-66.0;-96.0;991.0;1017.0;-356.0;-280.0
-973.0;634.0;-101.0;-57.0;971.0;1051.0;-218.0;-272.0
-953.0;635.0;-58.0;-65.0;966.0;975.0;-174.0;-294.0
-971.0;632.0;-110.0;-54.0;978.0;1034.0;-230.0;-310.0
-980.0;633.0;-36.0;-49.0;966.0;1056.0;-246.0;-331.0
-983.0;630.0;-33.0;-66.0;974.0;983.0;-261.0;-309.0
-977.0;630.0;-23.0;-53.0;983.0;1041.0;-332.0;-295.0
-979.0;630.0;-56.0;-65.0;960.0;1013.0;-519.0;-317.0
