InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK accY;InertialMeasurementUnit LUA accX;InertialMeasurementUnit RUA gyroY;Accelerometer LUA^ accY;Accelerometer RKN^ accX;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit LUA accZ;Accelerometer BACK accX
-28;-484.0;-914.0;77.0;966.0;-29.0;-307.0;?;360.0
-30;-496.0;-943.0;78.0;932.0;30.0;-561.0;17.0;339.0
-17;-463.0;-967.0;86.0;938.0;-2.0;?;-36.0;301.0
-4;?;-999.0;62.0;?;48.0;-1014.0;-44.0;265.0
3;-425.0;-1041.0;-26.0;1026.0;-21.0;-1202.0;-66.0;237.0
5;-381.0;-1056.0;-127.0;1070.0;42.0;-1400.0;-48.0;180.0
-28;-292.0;?;?;1106.0;?;-1451.0;-42.0;121.0
?;-232.0;-977.0;-732.0;1068.0;-115.0;?;-54.0;101.0
15;-217.0;-988.0;-918.0;1038.0;-75.0;-1187.0;-91.0;18.0
-12;-168.0;-996.0;-1133.0;1010.0;-101.0;-1004.0;?;-37.0
-15;-157.0;-989.0;-1159.0;?;-104.0;-829.0;-40.0;-48.0
-10;-176.0;-1012.0;-946.0;1031.0;-4.0;-777.0;-70.0;-26.0
7;-151.0;-990.0;-693.0;1064.0;41.0;-794.0;-69.0;5.0
15;-218.0;-970.0;-377.0;1023.0;-81.0;?;-42.0;33.0
2;-258.0;-1054.0;52.0;986.0;-46.0;-760.0;-49.0;54.0
3;-239.0;-1101.0;402.0;1028.0;65.0;-724.0;-101.0;50.0
-12;-215.0;-1009.0;717.0;1088.0;77.0;-788.0;-24.0;48.0
-5;-229.0;-1000.0;955.0;984.0;230.0;-742.0;26.0;94.0
32;-275.0;-1016.0;?;955.0;39.0;-349.0;-7.0;84.0
1;-233.0;-1036.0;955.0;1015.0;-127.0;163.0;-22.0;80.0
-32;-246.0;-1006.0;1136.0;1014.0;-105.0;614.0;-26.0;90.0
-2;-236.0;-979.0;1124.0;976.0;-106.0;875.0;-95.0;77.0
-4;-244.0;-980.0;861.0;980.0;19.0;1140.0;-107.0;79.0
-9;?;-926.0;743.0;985.0;-149.0;1184.0;-55.0;67.0
4;-236.0;-957.0;674.0;956.0;-173.0;1128.0;82.0;85.0
3;-238.0;-1010.0;318.0;946.0;-33.0;956.0;48.0;86.0
?;-261.0;-1033.0;125.0;1020.0;-63.0;172.0;-75.0;115.0
3;-272.0;-1011.0;-92.0;1080.0;-117.0;-141.0;-83.0;104.0
?;-239.0;-984.0;-187.0;1059.0;-152.0;-176.0;-93.0;94.0
-3;-252.0;-986.0;?;1002.0;-96.0;-142.0;-118.0;104.0
6;-282.0;-987.0;-240.0;979.0;?;-112.0;-92.0;124.0
-7;-284.0;-994.0;-336.0;1009.0;-127.0;-193.0;-47.0;96.0
-12;-251.0;-1038.0;-485.0;?;-161.0;-341.0;-32.0;84.0
-2;?;-1039.0;-717.0;1057.0;-197.0;-242.0;65.0;117.0
0;-273.0;-1066.0;-1026.0;1056.0;-299.0;-322.0;86.0;103.0
?;?;-1146.0;-1366.0;1090.0;122.0;?;142.0;89.0
2;-240.0;-1105.0;-1878.0;1207.0;114.0;-799.0;165.0;87.0
6;-241.0;-1054.0;-2181.0;1184.0;-36.0;-1239.0;118.0;72.0
-7;-241.0;-1123.0;-2545.0;1180.0;-60.0;-1499.0;180.0;95.0
-13;?;-1115.0;-2885.0;1213.0;26.0;-1767.0;234.0;80.0
4;-249.0;-1159.0;-3145.0;1191.0;-165.0;-1832.0;359.0;67.0
4;-102.0;-1182.0;-3427.0;1256.0;?;-2194.0;603.0;77.0
0;-138.0;?;-3532.0;1312.0;-60.0;-2833.0;496.0;133.0
2;-285.0;-1085.0;-3700.0;1129.0;-16.0;-3721.0;403.0;206.0
