InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LUA Quaternion1
784.0;103.0;226.0;69.0;67.0;341.0;-53.0
774.0;389.0;-85.0;102.0;627.0;363.0;352.0
803.0;448.0;-10.0;210.0;555.0;390.0;421.0
893.0;448.0;23.0;201.0;434.0;385.0;413.0
606.0;513.0;-288.0;262.0;643.0;351.0;300.0
867.0;359.0;89.0;59.0;468.0;355.0;338.0
744.0;447.0;-124.0;121.0;451.0;297.0;177.0
795.0;420.0;-69.0;61.0;369.0;266.0;139.0
735.0;393.0;118.0;7.0;367.0;238.0;110.0
656.0;399.0;122.0;21.0;467.0;248.0;138.0
618.0;401.0;122.0;28.0;510.0;254.0;154.0
635.0;403.0;146.0;60.0;584.0;296.0;259.0
-243.0;509.0;-738.0;526.0;315.0;84.0;526.0
-259.0;502.0;-730.0;525.0;303.0;87.0;515.0
-259.0;498.0;-732.0;527.0;303.0;91.0;518.0
-242.0;500.0;-748.0;526.0;291.0;100.0;519.0
-237.0;498.0;-752.0;526.0;287.0;96.0;521.0
-214.0;492.0;-767.0;529.0;279.0;79.0;532.0
-174.0;466.0;-796.0;535.0;251.0;52.0;586.0
-170.0;369.0;-786.0;560.0;224.0;79.0;695.0
-138.0;634.0;-797.0;611.0;511.0;570.0;701.0
-283.0;502.0;-771.0;773.0;460.0;411.0;687.0
-207.0;432.0;-797.0;576.0;129.0;336.0;598.0
-129.0;483.0;-776.0;601.0;208.0;329.0;531.0
-97.0;494.0;-772.0;622.0;231.0;281.0;487.0
-83.0;496.0;-773.0;629.0;241.0;269.0;479.0
-69.0;500.0;-773.0;633.0;252.0;252.0;474.0
-54.0;502.0;-772.0;639.0;262.0;237.0;472.0
-5.0;512.0;-766.0;641.0;294.0;194.0;478.0
63.0;522.0;-762.0;620.0;324.0;151.0;540.0
139.0;507.0;-751.0;595.0;339.0;290.0;689.0
29.0;793.0;-962.0;495.0;61.0;-471.0;37.0
27.0;642.0;-809.0;664.0;552.0;-147.0;617.0
318.0;655.0;-845.0;618.0;99.0;-273.0;511.0
282.0;614.0;-824.0;175.0;476.0;23.0;779.0
316.0;606.0;-759.0;-110.0;565.0;-437.0;779.0
822.0;205.0;126.0;81.0;236.0;388.0;68.0
816.0;215.0;127.0;70.0;278.0;406.0;92.0
847.0;182.0;56.0;132.0;168.0;371.0;46.0
846.0;195.0;32.0;152.0;182.0;380.0;50.0
846.0;208.0;11.0;166.0;199.0;386.0;58.0
828.0;186.0;-62.0;24.0;274.0;428.0;80.0
821.0;185.0;-82.0;32.0;271.0;426.0;76.0
814.0;186.0;-101.0;55.0;264.0;425.0;77.0
806.0;191.0;-121.0;90.0;260.0;428.0;82.0
796.0;198.0;-144.0;130.0;261.0;431.0;89.0
771.0;230.0;-215.0;222.0;284.0;425.0;118.0
765.0;244.0;-233.0;224.0;293.0;410.0;138.0
768.0;242.0;-224.0;225.0;299.0;430.0;138.0
778.0;255.0;-204.0;216.0;300.0;455.0;151.0
789.0;274.0;-183.0;198.0;295.0;476.0;166.0
797.0;287.0;-168.0;174.0;288.0;490.0;175.0
792.0;291.0;-251.0;143.0;309.0;498.0;174.0
787.0;294.0;-260.0;159.0;304.0;487.0;174.0
782.0;295.0;-267.0;174.0;296.0;477.0;173.0
780.0;293.0;-263.0;196.0;271.0;457.0;166.0
781.0;291.0;-256.0;202.0;259.0;448.0;159.0
782.0;291.0;-253.0;209.0;256.0;441.0;153.0
781.0;294.0;-253.0;222.0;262.0;437.0;151.0
782.0;302.0;-252.0;241.0;280.0;440.0;156.0
709.0;352.0;-416.0;292.0;405.0;430.0;233.0
704.0;371.0;-402.0;335.0;401.0;475.0;253.0
710.0;400.0;-386.0;321.0;415.0;520.0;287.0
823.0;167.0;161.0;-26.0;125.0;276.0;1.0
833.0;194.0;122.0;16.0;154.0;303.0;35.0
909.0;316.0;131.0;-12.0;136.0;331.0;233.0
921.0;322.0;175.0;15.0;258.0;350.0;300.0
184.0;513.0;-779.0;596.0;392.0;556.0;796.0
-167.0;338.0;-854.0;336.0;187.0;365.0;736.0
-255.0;340.0;-833.0;386.0;267.0;216.0;512.0
-295.0;333.0;-824.0;403.0;261.0;168.0;488.0
542.0;329.0;592.0;87.0;-379.0;-141.0;528.0
730.0;569.0;417.0;194.0;212.0;146.0;208.0
690.0;387.0;319.0;22.0;263.0;226.0;208.0
765.0;376.0;247.0;-26.0;272.0;158.0;167.0
-211.0;-518.0;872.0;-505.0;94.0;489.0;-371.0
-532.0;-542.0;736.0;-536.0;286.0;437.0;-415.0
625.0;73.0;655.0;-384.0;406.0;483.0;62.0
542.0;244.0;580.0;-125.0;310.0;128.0;-60.0
282.0;-234.0;713.0;-707.0;158.0;43.0;-361.0
506.0;239.0;405.0;-100.0;386.0;249.0;98.0
