InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
14.0;-13;32.0;13;16.0;-3.0;-5.0;-8.0;-13;-93.0;-21.0;-13;-4.0
-23.0;-506;-21.0;-238;52.0;54.0;-1.0;28.0;238;16.0;61.0;-506;61.0
-5.0;-3;-20.0;3;-30.0;13.0;15.0;-4.0;-3;-64.0;-53.0;-3;2.0
6.0;11;30.0;-4;-25.0;29.0;1.0;-14.0;4;-72.0;-45.0;11;2.0
-120.0;-24;263.0;68;-104.0;196.0;260.0;-47.0;-68;161.0;165.0;-24;-127.0
-5.0;12;37.0;45;-57.0;78.0;-8.0;-46.0;-45;-60.0;7.0;12;-22.0
19.0;21;-6.0;33;-10.0;29.0;-58.0;84.0;-33;-58.0;-27.0;21;-19.0
58.0;-16;-68.0;19;20.0;18.0;-73.0;46.0;-19;-63.0;-32.0;-16;-27.0
-45.0;0;107.0;5;-79.0;15.0;29.0;269.0;-5;31.0;5.0;0;94.0
17.0;2;-327.0;-22;-223.0;42.0;252.0;109.0;22;-118.0;-112.0;2;-294.0
-91.0;-3;635.0;-8;-52.0;107.0;209.0;490.0;8;-60.0;21.0;-3;-111.0
-61.0;44;267.0;-2;0.0;-10.0;123.0;123.0;2;-116.0;-74.0;44;-290.0
2.0;7;32.0;-4;-1.0;5.0;16.0;-39.0;4;-43.0;-32.0;7;6.0
-175.0;45;1.0;-4;48.0;0.0;112.0;164.0;4;-284.0;89.0;45;166.0
19.0;-12;24.0;5;-82.0;27.0;-29.0;50.0;-5;56.0;7.0;-12;-19.0
23.0;-10;26.0;-14;-20.0;21.0;-13.0;21.0;14;-46.0;7.0;-10;7.0
123.0;5;18.0;0;-31.0;-71.0;-67.0;58.0;0;-87.0;-118.0;5;88.0
-18.0;4;12.0;-8;121.0;96.0;-11.0;165.0;8;49.0;116.0;4;131.0
129.0;-4;64.0;45;-18.0;147.0;18.0;207.0;-45;1146.0;-26.0;-4;-80.0
111.0;945;-341.0;-446;-149.0;-104.0;-7.0;-496.0;446;-303.0;-299.0;945;-92.0
3.0;8;9.0;-12;-32.0;10.0;3.0;5.0;12;-91.0;-71.0;8;12.0
9.0;-4;-4.0;-33;9.0;33.0;9.0;-6.0;33;-67.0;-9.0;-4;14.0
27.0;0;22.0;-36;17.0;33.0;7.0;10.0;36;-68.0;-38.0;0;8.0
7.0;18;-17.0;-6;2.0;0.0;10.0;5.0;6;-77.0;-39.0;18;10.0
24.0;8;48.0;6;13.0;31.0;-4.0;-8.0;-6;-67.0;-25.0;8;19.0
18.0;-10;-90.0;3;254.0;232.0;-191.0;245.0;-3;225.0;347.0;-10;460.0
32.0;-4;1.0;-32;-25.0;27.0;-3.0;5.0;32;-73.0;-36.0;-4;-2.0
17.0;-12;64.0;-16;-44.0;13.0;-113.0;39.0;16;-43.0;-24.0;-12;52.0
-16.0;67;491.0;227;-351.0;-115.0;299.0;206.0;-227;-160.0;-214.0;67;-83.0
30.0;-11;12.0;-9;-20.0;28.0;-26.0;8.0;9;-42.0;-13.0;-11;-5.0
15.0;7;3.0;-3;-6.0;34.0;-22.0;55.0;3;-47.0;-1.0;7;-9.0
1202.0;21;613.0;-13;-146.0;-63.0;157.0;-625.0;13;1233.0;-295.0;21;255.0
-17.0;2;130.0;-34;-223.0;-151.0;60.0;311.0;34;-43.0;-149.0;2;82.0
15.0;36;8.0;5;-36.0;8.0;-30.0;34.0;-5;-47.0;-36.0;36;-5.0
8.0;-21;-163.0;-5;-47.0;-133.0;-33.0;214.0;5;-220.0;-230.0;-21;-11.0
-16.0;18;44.0;-9;-82.0;57.0;15.0;-14.0;9;-73.0;-52.0;18;-49.0
7.0;-6;43.0;57;7.0;43.0;-39.0;44.0;-57;-59.0;29.0;-6;-24.0
-42.0;46;56.0;23;-122.0;157.0;-10.0;41.0;-23;-148.0;30.0;46;-14.0
-8.0;-111;1262.0;267;136.0;-38.0;-751.0;166.0;-267;79.0;29.0;-111;-300.0
15.0;32;-327.0;-44;78.0;-2.0;-303.0;180.0;44;194.0;27.0;32;-136.0
46.0;-15;17.0;-27;-20.0;6.0;18.0;26.0;27;-50.0;-31.0;-15;16.0
17.0;-15;-1.0;-22;6.0;32.0;-18.0;13.0;22;-56.0;-19.0;-15;-10.0
-47.0;18;8.0;-41;-21.0;143.0;199.0;-194.0;41;-124.0;83.0;18;-179.0
3.0;0;-1177.0;-71;-291.0;76.0;237.0;268.0;71;-144.0;-16.0;0;-704.0
18.0;-32;-3.0;-5;-13.0;37.0;-12.0;7.0;5;-84.0;-14.0;-32;21.0
10.0;16;-4.0;-5;-25.0;40.0;-3.0;-20.0;5;-61.0;-46.0;16;17.0
-78.0;13;-103.0;2;88.0;-112.0;-64.0;37.0;-2;-536.0;-237.0;13;3.0
-2.0;-38;-116.0;251;-71.0;-46.0;51.0;11.0;-251;-90.0;-119.0;-38;-81.0
42.0;18;-15.0;-161;17.0;40.0;-14.0;-14.0;161;-71.0;-20.0;18;12.0
45.0;-61;-70.0;-14;-42.0;25.0;-68.0;-65.0;14;-65.0;-96.0;-61;-43.0
103.0;4;-94.0;25;99.0;-39.0;-238.0;-98.0;-25;-344.0;28.0;4;120.0
1.0;-7;14.0;75;-52.0;2.0;20.0;-31.0;-75;-97.0;-51.0;-7;-22.0
55.0;-14;-43.0;-8;51.0;-7.0;-36.0;-20.0;8;-58.0;-51.0;-14;10.0
46.0;-9;22.0;16;16.0;56.0;1.0;5.0;-16;-60.0;-34.0;-9;23.0
1.0;9;-49.0;-7;-41.0;67.0;-32.0;56.0;7;-37.0;-9.0;9;72.0
49.0;-9;25.0;-38;19.0;69.0;-11.0;10.0;38;-19.0;-11.0;-9;44.0
5.0;-218;141.0;-2096;53.0;32.0;86.0;-34.0;2096;-65.0;-36.0;-218;-28.0
30.0;27;-27.0;-22;-1.0;2.0;-49.0;32.0;22;-73.0;-13.0;27;-33.0
17.0;-16;19.0;-23;4.0;20.0;-27.0;-13.0;23;-49.0;-46.0;-16;7.0
39.0;21;17.0;-10;-48.0;-2.0;26.0;-54.0;10;-73.0;-47.0;21;-14.0
-11.0;9;18.0;-13;14.0;6.0;14.0;15.0;13;-47.0;-46.0;9;12.0
105.0;-10;561.0;-18;280.0;149.0;-281.0;-1615.0;18;-73.0;139.0;-10;-57.0
12.0;11;16.0;-19;-13.0;20.0;-26.0;-28.0;19;-75.0;-32.0;11;8.0
56.0;1152;18.0;-3634;-270.0;-129.0;205.0;-224.0;3634;73.0;-294.0;1152;-511.0
87.0;37;19.0;-39;-303.0;-212.0;-157.0;-24.0;39;-113.0;-281.0;37;-154.0
17.0;-20;-96.0;26;38.0;24.0;-43.0;-78.0;-26;25.0;-6.0;-20;-77.0
76.0;37;88.0;-11;-44.0;58.0;78.0;-44.0;11;-296.0;-95.0;37;-28.0
17.0;-8;18.0;-12;-18.0;21.0;0.0;-12.0;12;-82.0;-38.0;-8;-38.0
32.0;11;5.0;7;-6.0;35.0;21.0;-14.0;-7;-56.0;-32.0;11;-27.0
365.0;1725;1770.0;-1293;-626.0;-357.0;534.0;-614.0;1293;-1173.0;-1191.0;1725;-995.0
14.0;-14;-335.0;6;2.0;1.0;26.0;163.0;-6;-122.0;-46.0;-14;-32.0
117.0;-16;8.0;-15;-34.0;-79.0;31.0;-109.0;15;-109.0;-164.0;-16;-57.0
-48.0;64;-1041.0;9;272.0;39.0;-432.0;-270.0;-9;345.0;339.0;64;327.0
54.0;-8;-163.0;2;14.0;27.0;-90.0;66.0;-2;-60.0;-46.0;-8;-30.0
36.0;2;20.0;-24;-38.0;-11.0;0.0;-21.0;24;-59.0;-40.0;2;-8.0
-18.0;-3;60.0;-28;9.0;265.0;27.0;-82.0;28;-76.0;175.0;-3;-40.0
-1095.0;-143;226.0;34;327.0;1605.0;-89.0;-140.0;-34;838.0;1391.0;-143;-286.0
32.0;8;-266.0;-28;70.0;32.0;-181.0;283.0;28;-27.0;-25.0;8;-312.0
57.0;215;-17.0;626;7.0;100.0;-33.0;-16.0;-626;-54.0;-13.0;215;-34.0
164.0;-20;503.0;7;-224.0;-7.0;-517.0;171.0;-7;-90.0;-197.0;-20;-431.0
-73.0;49;181.0;-27;-58.0;-78.0;156.0;60.0;27;-98.0;153.0;49;-98.0
15.0;16;17.0;-9;-18.0;20.0;-15.0;23.0;9;-55.0;-16.0;16;0.0
3.0;-10;11.0;13;-54.0;18.0;-23.0;13.0;-13;-77.0;-18.0;-10;11.0
32.0;24;28.0;-16;-42.0;-15.0;-8.0;-3.0;16;-47.0;-46.0;24;13.0
-4.0;9;-45.0;-23;-9.0;36.0;7.0;-97.0;23;-22.0;-15.0;9;-39.0
12.0;-1;131.0;-12;-2.0;21.0;61.0;-183.0;12;-75.0;11.0;-1;229.0
-40.0;33;-41.0;-67;-2.0;-7.0;237.0;-103.0;67;-50.0;16.0;33;132.0
17.0;-24;34.0;8;-11.0;48.0;-2.0;5.0;-8;-60.0;-8.0;-24;-6.0
1.0;-28;-93.0;12;157.0;101.0;-81.0;-736.0;-12;199.0;210.0;-28;206.0
13.0;-15;18.0;13;-8.0;52.0;7.0;-1.0;-13;-72.0;-10.0;-15;-5.0
33.0;-11;60.0;38;-34.0;46.0;29.0;-19.0;-38;-49.0;-27.0;-11;24.0
135.0;1991;-591.0;-2015;-647.0;10.0;-170.0;9.0;2015;-401.0;-268.0;1991;137.0
19.0;10;44.0;-20;-38.0;20.0;19.0;17.0;20;-80.0;-35.0;10;-4.0
33.0;28;-18.0;-12;-3.0;26.0;-21.0;9.0;12;-87.0;-47.0;28;-11.0
59.0;-10;22.0;28;-23.0;18.0;4.0;-2.0;-28;-90.0;-3.0;-10;23.0
1.0;-38;-31.0;16;8.0;-37.0;-19.0;-46.0;-16;-3.0;-58.0;-38;-16.0
34.0;4;313.0;-7;53.0;9.0;-551.0;38.0;7;-78.0;-24.0;4;320.0
-9.0;-19;92.0;29;-11.0;19.0;175.0;-90.0;-29;-90.0;-121.0;-19;-133.0
27.0;-14;-30.0;-26;-9.0;60.0;-18.0;55.0;26;-151.0;-3.0;-14;37.0
47.0;64;99.0;-194;107.0;97.0;364.0;-144.0;194;-93.0;24.0;64;-150.0
37.0;78;3.0;-36;-4.0;25.0;-1.0;32.0;36;-23.0;36.0;78;40.0
22.0;-10;-25.0;7;6.0;12.0;-5.0;-13.0;-7;51.0;-2.0;-10;17.0
17.0;11;43.0;-41;1.0;37.0;0.0;-12.0;41;-69.0;11.0;11;-10.0
29.0;27;11.0;-23;-10.0;46.0;-7.0;12.0;23;-80.0;-36.0;27;15.0
45.0;5;15.0;-2;18.0;27.0;-5.0;-21.0;2;-69.0;-45.0;5;-7.0
13.0;31;-50.0;-68;45.0;12.0;-73.0;197.0;68;-75.0;-19.0;31;-127.0
31.0;-26;27.0;-15;19.0;12.0;-4.0;15.0;15;-45.0;-34.0;-26;9.0
41.0;-9;13.0;-20;-44.0;45.0;-1.0;-8.0;20;-89.0;-15.0;-9;-3.0
-3.0;-13;-14.0;-35;-24.0;7.0;-22.0;13.0;35;-41.0;-34.0;-13;-16.0
-111.0;-21;117.0;-10;-36.0;-38.0;90.0;-83.0;10;75.0;-111.0;-21;45.0
4.0;10;-29.0;-8;-35.0;139.0;-7.0;-32.0;8;-85.0;8.0;10;-16.0
16.0;32;9.0;21;-5.0;-40.0;-33.0;-20.0;-21;-128.0;-76.0;32;12.0
91.0;-10;-91.0;-1;4.0;65.0;-93.0;34.0;1;-85.0;-15.0;-10;126.0
25.0;9;-5.0;9;-18.0;0.0;-20.0;6.0;-9;-88.0;-13.0;9;-5.0
33.0;6;42.0;-22;-10.0;29.0;-32.0;8.0;22;-67.0;-13.0;6;32.0
9.0;-36;43.0;-16;-29.0;34.0;-23.0;11.0;16;-104.0;-34.0;-36;-2.0
21.0;12;2.0;-14;-27.0;3.0;-26.0;10.0;14;-34.0;-36.0;12;-2.0
-69.0;-3;-132.0;3;-445.0;219.0;-26.0;2655.0;-3;-304.0;-166.0;-3;-186.0
22.0;2;19.0;16;-8.0;24.0;13.0;30.0;-16;-86.0;-13.0;2;7.0
319.0;-69;-249.0;69;97.0;-189.0;-221.0;-148.0;-69;263.0;83.0;-69;-97.0
92.0;-26;-119.0;6;-58.0;-65.0;-214.0;-205.0;-6;24.0;-74.0;-26;-157.0
29.0;-16;17.0;-9;-42.0;20.0;-33.0;-21.0;9;-71.0;-11.0;-16;5.0
-544.0;-339;-16.0;-205;144.0;399.0;-73.0;285.0;205;135.0;201.0;-339;-70.0
-23.0;-13;7.0;15;-29.0;7.0;9.0;0.0;-15;-47.0;-38.0;-13;-7.0
43.0;24;28.0;36;-21.0;3.0;-38.0;-10.0;-36;-102.0;-16.0;24;5.0
29.0;-4;34.0;-6;-17.0;48.0;-17.0;-2.0;6;-76.0;-30.0;-4;-2.0
17.0;-32;7.0;-21;-20.0;20.0;-24.0;20.0;21;-49.0;-36.0;-32;15.0
8.0;-44;41.0;-5;20.0;6.0;3.0;61.0;5;-41.0;-6.0;-44;37.0
22.0;-20;24.0;-1;-9.0;22.0;7.0;5.0;1;-89.0;-28.0;-20;4.0
-58.0;-128;611.0;200;31.0;-51.0;-104.0;-43.0;-200;96.0;55.0;-128;105.0
