InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelNavFrameZ
-14;571;0;6;-7;-26;5;-846;14;-7;-21;5
10;589;1;-1;10;-2;5;-830;-10;10;-18;5
10;592;1;-5;-4;1;3;-834;-10;-4;-24;3
6;599;5;4;5;-6;6;-829;-6;5;-23;6
20;591;-1;-3;3;-1;-1;-833;-20;3;-20;-1
3;598;3;3;-3;-2;-6;-831;-3;-3;-23;-6
-9;594;4;10;1;-12;-4;-826;9;1;-17;-4
-13;589;-4;2;24;-7;-4;-832;13;24;-20;-4
13;588;-4;0;-4;-5;-3;-834;-13;-4;-20;-3
11;590;-2;-4;4;1;11;-833;-11;4;-21;11
1;594;-1;-5;5;7;10;-832;-1;5;-23;10
12;481;-63;-187;42;-122;-2;-881;-12;42;8;-2
2;597;5;10;-4;-10;7;-830;-2;-4;-23;7
-3;594;3;6;1;-7;7;-828;3;1;-19;7
-23;620;4;2;-18;23;16;-809;23;-18;-19;16
1;627;1;6;-5;20;-2;-807;-1;-5;-21;-2
1;595;-1;1;16;-3;7;-835;-1;16;-25;7
-4;589;-5;5;4;-8;15;-832;4;4;-20;15
106;519;9;-2;13;-82;37;-876;-106;13;-22;37
11;617;-1;5;34;14;18;-812;-11;34;-19;18
28;546;6;0;-10;-7;4;-856;-28;-10;-16;4
5;584;-8;-3;18;-2;8;-834;-5;18;-18;8
-3;602;6;-1;9;6;6;-827;3;9;-23;6
13;618;2;1;-15;19;-4;-811;-13;-15;-20;-4
14;593;-1;9;6;-12;5;-826;-14;6;-17;5
-4;585;0;-9;-17;-19;25;-835;4;-17;-20;25
13;584;-3;-1;-8;-10;-6;-841;-13;-8;-24;-6
22;587;0;-3;-13;-7;8;-841;-22;-13;-25;8
-11;596;1;5;-4;-3;-3;-831;11;-4;-23;-3
12;583;1;-1;6;-8;-10;-832;-12;6;-16;-10
-23;592;1;3;17;-3;-15;-827;23;17;-17;-15
-7;588;2;6;9;-11;8;-831;7;9;-17;8
11;593;2;-3;27;-1;-2;-835;-11;27;-23;-2
25;617;0;2;26;17;-15;-813;-25;26;-20;-15
11;591;4;6;-13;-12;-3;-830;-11;-13;-19;-3
-5;594;6;1;16;-6;5;-834;5;16;-24;5
-13;593;3;2;0;-1;-1;-832;13;0;-22;-1
-14;526;-86;-280;-28;-65;-37;-877;14;-28;19;-37
3;503;-21;-18;32;3;0;-885;-3;32;-17;0
-36;519;166;-32;-43;-79;-8;-860;36;-43;7;-8
-6;524;-2;-2;-16;-46;10;-872;6;-16;-18;10
-27;512;-2;-5;28;-55;-21;-877;27;28;-18;-21
21;481;5;-7;-8;-58;22;-896;-21;-8;-18;22
-417;467;9;-37;-766;-98;1499;-869;417;-766;10;1499
5;485;6;-1;-17;-58;22;-894;-5;-17;-18;22
48;367;-2;-72;74;-112;-11;-811;-48;74;103;-11
0;484;112;66;8;-97;-18;-906;0;8;-23;-18
125;316;-390;-280;25;182;-67;-859;-125;25;150;-67
48;484;-7;-5;-27;-46;-29;-895;-48;-27;-19;-29
-6;509;12;4;6;-40;11;-871;6;6;-9;11
-120;501;-3;9;-4;-47;-37;-889;120;-4;-22;-37
104;498;49;48;244;-92;155;-914;-104;244;-40;155
-681;280;-51;15;71;-77;180;-935;681;71;23;180
29;480;0;-1;2;-53;-27;-897;-29;2;-18;-27
36;484;-6;3;-7;-86;-33;-892;-36;-7;-18;-33
-9;511;-17;-3;-18;-61;10;-882;9;-18;-21;10
-103;495;-12;-12;74;-81;41;-911;103;74;-40;41
74;494;160;-10;12;-60;13;-877;-74;12;2;13
20;506;-12;0;-7;-32;-30;-891;-20;-7;-25;-30
0;513;-40;26;19;-81;10;-881;0;19;-24;10
-158;443;18;-23;188;74;87;-919;158;188;-23;87
23;514;-2;0;32;-40;19;-877;-23;32;-17;19
-30;494;3;-1;5;-59;26;-891;30;5;-21;26
-50;497;8;24;-29;-93;-11;-884;50;-29;-17;-11
12;517;5;4;1;-48;0;-873;-12;1;-16;0
126;523;81;-26;-246;-62;-170;-924;-126;-246;-59;-170
0;495;2;-1;3;-56;-5;-897;0;3;-26;-5
1;593;0;-1;-5;-9;-5;-839;-1;-5;-27;-5
-15;481;-4;-2;26;-87;19;-892;15;26;-17;19
-1;606;7;3;-3;12;13;-823;1;-3;-22;13
18;594;6;2;5;-10;-4;-833;-18;5;-23;-4
12;591;3;4;19;-13;6;-831;-12;19;-20;6
21;479;12;9;-15;-16;-9;-898;-21;-15;-18;-9
11;457;14;1;-29;0;-2;-907;-11;-29;-16;-2
37;475;7;-1;-56;-21;-9;-894;-37;-56;-12;-9
-2;487;8;-5;-8;-58;1;-892;2;-8;-18;1
-1;591;1;1;15;-11;-3;-837;1;15;-24;-3
-5;587;-2;-1;-2;-8;-17;-835;5;-2;-21;-17
4;490;1;2;39;-58;-16;-887;-4;39;-15;-16
21;490;39;-25;2;-76;6;-910;-21;2;-35;6
26;589;1;0;-16;-20;-4;-840;-26;-16;-25;-4
-12;591;-3;-1;-3;-2;-17;-832;12;-3;-21;-17
12;589;0;-1;-8;-8;-13;-835;-12;-8;-22;-13
16;587;-2;2;-11;-11;-2;-831;-16;-11;-18;-2
6;491;10;0;8;-57;0;-887;-6;8;-15;0
4;593;2;4;-1;-10;-10;-832;-4;-1;-21;-10
10;481;-3;0;18;-58;-2;-897;-10;18;-20;-2
23;593;1;3;14;-13;-40;-837;-23;14;-26;-40
6;591;0;5;-15;-7;-25;-833;-6;-15;-22;-25
-1;595;2;3;10;-5;17;-830;1;10;-21;17
17;587;8;1;6;-7;50;-840;-17;6;-25;50
-12;589;2;1;6;-8;3;-831;12;6;-18;3
11;588;2;-2;8;-7;10;-832;-11;8;-19;10
20;592;2;5;1;-13;7;-836;-20;1;-25;7
12;592;1;8;0;-15;6;-836;-12;0;-25;6
3;590;2;0;-13;-8;1;-835;-3;-13;-22;1
24;591;2;5;2;-12;8;-834;-24;2;-23;8
12;583;0;3;20;-2;-15;-837;-12;20;-20;-15
15;476;-1;-2;8;-62;-19;-898;-15;8;-19;-19
-22;580;-1;-1;-2;-7;1;-839;22;-2;-20;1
-11;590;1;2;9;-10;-10;-834;11;9;-22;-10
-6;593;1;2;16;-10;-9;-838;6;16;-27;-9
-11;593;0;-4;-19;-1;26;-834;11;-19;-23;26
11;589;1;1;-23;-11;18;-833;-11;-23;-20;18
4;500;7;0;-7;-61;0;-886;-4;-7;-19;0
9;590;3;0;21;-9;9;-832;-9;21;-20;9
-1;596;1;-2;-2;1;-31;-835;1;-2;-26;-31
26;592;3;5;-5;-14;-13;-833;-26;-5;-21;-13
1;593;5;-2;-3;-7;7;-833;-1;-3;-22;7
-6;588;0;-3;0;-8;16;-834;6;0;-20;16
-4;592;2;11;-2;-18;11;-829;4;-2;-19;11
16;588;0;-1;-9;-8;-2;-835;-16;-9;-21;-2
25;483;2;0;2;-55;2;-896;-25;2;-19;2
-15;512;5;-8;-16;-60;1;-874;15;-16;-15;1
-3;504;-1;-2;-10;-61;10;-878;3;-10;-15;10
