InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
16.0;-2;2.0;-18;-23.0;44.0;19.0;-69.0;18;-115.0;-27.0;-2;-22.0
71.0;-6;3.0;-29;-54.0;28.0;-8.0;-64.0;29;-118.0;-79.0;-6;-61.0
8.0;3;66.0;-38;-15.0;78.0;37.0;2.0;38;-2.0;3.0;3;53.0
-39.0;29;26.0;-92;9.0;-20.0;58.0;23.0;92;-31.0;19.0;29;16.0
166.0;697;78.0;1558;-71.0;76.0;58.0;-57.0;-1558;-178.0;-52.0;697;-84.0
1.0;-28;13.0;48;27.0;29.0;-19.0;113.0;-48;-36.0;-31.0;-28;34.0
40.0;-19;62.0;-63;21.0;48.0;-39.0;120.0;63;-133.0;-89.0;-19;100.0
193.0;46;119.0;-11;-172.0;-156.0;-116.0;159.0;11;-229.0;-150.0;46;-128.0
-719.0;-123;16.0;141;-615.0;-2206.0;39.0;-376.0;-141;442.0;-987.0;-123;-414.0
-32.0;17;41.0;31;30.0;-33.0;-40.0;58.0;-31;-39.0;-41.0;17;13.0
50.0;11;-57.0;34;55.0;-64.0;-71.0;153.0;-34;-12.0;14.0;11;94.0
-9.0;-19;92.0;29;-11.0;19.0;175.0;-90.0;-29;-90.0;-121.0;-19;-133.0
367.0;-169;967.0;3825;-554.0;255.0;1223.0;-1147.0;-3825;-929.0;-414.0;-169;-927.0
-22.0;48;78.0;231;-33.0;-56.0;55.0;-90.0;-231;-219.0;-154.0;48;-136.0
6.0;-15;62.0;92;-63.0;-12.0;48.0;-56.0;-92;-107.0;-83.0;-15;-55.0
23.0;-10;26.0;-14;-20.0;21.0;-13.0;21.0;14;-46.0;7.0;-10;7.0
34.0;0;3.0;-24;-26.0;11.0;-34.0;16.0;24;-53.0;-57.0;0;0.0
3.0;-10;-7.0;-13;-65.0;-37.0;-114.0;109.0;13;-101.0;-93.0;-10;136.0
7.0;-32;15.0;12;-98.0;10.0;-165.0;98.0;-12;-78.0;-105.0;-32;89.0
-59.0;-9;104.0;36;3.0;3.0;-222.0;176.0;-36;-59.0;-14.0;-9;-64.0
17.0;-12;64.0;-16;-44.0;13.0;-113.0;39.0;16;-43.0;-24.0;-12;52.0
-18.0;4;12.0;-8;121.0;96.0;-11.0;165.0;8;49.0;116.0;4;131.0
48.0;-1;145.0;-6;74.0;57.0;-77.0;257.0;6;-102.0;41.0;-1;207.0
19.0;61;312.0;-7;121.0;-9.0;178.0;180.0;7;-27.0;69.0;61;216.0
77.0;-20;-1.0;-9;-126.0;-64.0;21.0;-87.0;9;27.0;-131.0;-20;-89.0
44.0;14;-84.0;37;60.0;22.0;-80.0;45.0;-37;-17.0;38.0;14;77.0
53.0;-16;-108.0;-16;12.0;44.0;-31.0;51.0;16;-84.0;-23.0;-16;66.0
43.0;21;-73.0;9;-9.0;88.0;-24.0;-4.0;-9;-127.0;-15.0;21;30.0
-111.0;27;81.0;23;-48.0;464.0;346.0;-70.0;-23;-205.0;305.0;27;-519.0
59.0;-16;-56.0;31;36.0;87.0;-94.0;79.0;-31;-35.0;52.0;-16;48.0
94.0;-9;-35.0;14;15.0;50.0;-53.0;8.0;-14;-63.0;-25.0;-9;49.0
99.0;54;-54.0;-3;29.0;18.0;-43.0;-104.0;3;-58.0;-45.0;54;-37.0
324.0;40;-73.0;35;81.0;35.0;-244.0;-144.0;-35;205.0;15.0;40;-223.0
127.0;51;-146.0;21;44.0;-17.0;-123.0;55.0;-21;52.0;18.0;51;16.0
24.0;6;-39.0;-5;-45.0;40.0;-30.0;38.0;5;40.0;-54.0;6;86.0
202.0;-7;-81.0;-13;-23.0;-322.0;-82.0;107.0;13;190.0;-244.0;-7;121.0
90.0;0;-94.0;10;-15.0;-7.0;-103.0;141.0;-10;18.0;13.0;0;39.0
240.0;25;-277.0;-34;-44.0;-634.0;-208.0;172.0;34;85.0;-502.0;25;431.0
-226.0;34;116.0;-185;-25.0;379.0;24.0;211.0;185;58.0;71.0;34;-135.0
-33.0;39;12.0;9;-32.0;78.0;-22.0;139.0;-9;-142.0;11.0;39;-9.0
36.0;-7;14.0;-19;7.0;130.0;-42.0;83.0;19;-10.0;48.0;-7;19.0
0.0;-31;-3.0;-53;49.0;124.0;-40.0;160.0;53;-70.0;0.0;-31;72.0
30.0;1;-13.0;36;-39.0;1.0;-2.0;-20.0;-36;-128.0;-84.0;1;-58.0
49.0;-9;44.0;-12;97.0;39.0;23.0;115.0;12;7.0;121.0;-9;122.0
-54.0;-21;-32.0;3;68.0;231.0;-19.0;104.0;-3;228.0;201.0;-21;95.0
100.0;-9;34.0;47;24.0;-23.0;-25.0;155.0;-47;-127.0;-92.0;-9;160.0
-16.0;5;24.0;-31;-59.0;168.0;-25.0;104.0;31;3.0;39.0;5;38.0
-42.0;46;56.0;23;-122.0;157.0;-10.0;41.0;-23;-148.0;30.0;46;-14.0
-60.0;25;41.0;61;-45.0;108.0;2.0;-1.0;-61;-142.0;65.0;25;-19.0
94.0;-2;-7.0;10;39.0;111.0;-74.0;73.0;-10;-40.0;-72.0;-2;-32.0
-71.0;-7;76.0;22;-34.0;27.0;61.0;-103.0;-22;-70.0;32.0;-7;-57.0
9.0;8;54.0;3;-15.0;-94.0;52.0;33.0;-3;-181.0;-61.0;8;22.0
69.0;-35;-27.0;-7;-81.0;-213.0;9.0;64.0;7;-81.0;-211.0;-35;34.0
178.0;-29;65.0;20;-25.0;-344.0;-110.0;288.0;-20;-102.0;-195.0;-29;343.0
79.0;25;-74.0;7;-20.0;36.0;-100.0;3.0;-7;-89.0;-48.0;25;-42.0
24.0;2;-74.0;35;-60.0;33.0;9.0;0.0;-35;-152.0;-40.0;2;7.0
134.0;29;-23.0;15;-40.0;-68.0;-33.0;-81.0;-15;-105.0;-121.0;29;-37.0
14.0;29;-126.0;26;-35.0;117.0;-74.0;75.0;-26;-179.0;100.0;29;5.0
-16.0;27;-50.0;1;-22.0;162.0;-41.0;64.0;-1;-9.0;51.0;27;-6.0
57.0;27;-576.0;-1;-17.0;47.0;-417.0;565.0;1;-59.0;-124.0;27;-195.0
701.0;90;5.0;-54;-1112.0;-2187.0;201.0;142.0;54;-824.0;-2001.0;90;22.0
0.0;-4;-32.0;-3;-11.0;38.0;-46.0;74.0;3;-71.0;17.0;-4;-52.0
20.0;-44;-53.0;6;9.0;78.0;-30.0;66.0;-6;-55.0;6.0;-44;37.0
55.0;-28;-13.0;16;2.0;26.0;-62.0;51.0;-16;-84.0;-14.0;-28;10.0
82.0;-12;-47.0;-14;-1.0;14.0;-48.0;32.0;14;-139.0;-16.0;-12;-10.0
616.0;-15;197.0;41;-505.0;-1004.0;234.0;127.0;-41;-107.0;-966.0;-15;-270.0
220.0;-12;-158.0;-1;8.0;-131.0;-97.0;33.0;1;-295.0;-74.0;-12;-21.0
84.0;-10;-59.0;37;12.0;35.0;-61.0;90.0;-37;-175.0;23.0;-10;-38.0
59.0;-41;-55.0;-12;-10.0;41.0;-41.0;26.0;12;-94.0;-9.0;-41;-13.0
436.0;11;220.0;-25;-76.0;-138.0;-507.0;421.0;25;176.0;-110.0;11;455.0
94.0;-18;10.0;23;-99.0;-63.0;-19.0;128.0;-23;-41.0;-62.0;-18;-10.0
-28.0;5;14.0;-25;-57.0;-19.0;3.0;-100.0;25;-72.0;-39.0;5;-96.0
37.0;-8;-31.0;29;3.0;13.0;-16.0;19.0;-29;-147.0;12.0;-8;-28.0
66.0;-1;-31.0;30;6.0;20.0;-39.0;-38.0;-30;-150.0;65.0;-1;-9.0
109.0;-10;-85.0;10;24.0;-42.0;-56.0;72.0;-10;-134.0;35.0;-10;-45.0
89.0;-11;-31.0;-53;-3.0;0.0;-86.0;84.0;53;-116.0;39.0;-11;-74.0
