InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
47.0;13;-38.0;-34;-12.0;16.0;-8.0;22.0;34;-88.0;-77.0;13;26.0
29.0;-18;-17.0;-34;-39.0;9.0;3.0;-80.0;34;-72.0;-10.0;-18;2.0
17.0;-31;44.0;-48;-20.0;51.0;-30.0;-5.0;48;-94.0;-42.0;-31;39.0
-1.0;-10;48.0;-51;11.0;24.0;1.0;7.0;51;-82.0;-14.0;-10;12.0
35.0;29;-14.0;-58;-4.0;23.0;-16.0;53.0;58;-49.0;0.0;29;2.0
32.0;-1;21.0;19;-38.0;47.0;3.0;-35.0;-19;-90.0;-12.0;-1;-3.0
22.0;4;7.0;12;-13.0;0.0;-45.0;53.0;-12;-56.0;-25.0;4;-7.0
22.0;-6;-14.0;14;-6.0;55.0;-37.0;39.0;-14;-60.0;-14.0;-6;-9.0
0.0;-24;22.0;7;6.0;13.0;-5.0;44.0;-7;-63.0;-24.0;-24;32.0
59.0;-10;19.0;2;-42.0;10.0;26.0;-10.0;-2;-75.0;-14.0;-10;-32.0
26.0;27;59.0;-8;-11.0;24.0;1.0;45.0;8;-57.0;-29.0;27;-1.0
2.0;-5;42.0;3;-25.0;17.0;1.0;38.0;-3;-66.0;-31.0;-5;-24.0
-11.0;8;43.0;-34;-35.0;4.0;35.0;63.0;34;-73.0;-39.0;8;2.0
-9.0;-3;43.0;-5;-28.0;20.0;11.0;18.0;5;-84.0;-35.0;-3;83.0
30.0;30;30.0;24;-15.0;50.0;-11.0;-23.0;-24;-96.0;-32.0;30;-5.0
23.0;-10;26.0;-14;-20.0;21.0;-13.0;21.0;14;-46.0;7.0;-10;7.0
34.0;0;3.0;-24;-26.0;11.0;-34.0;16.0;24;-53.0;-57.0;0;0.0
25.0;33;20.0;24;26.0;41.0;-27.0;32.0;-24;-34.0;-46.0;33;47.0
30.0;-19;35.0;-17;-4.0;27.0;-34.0;12.0;17;-4.0;-32.0;-19;22.0
29.0;41;18.0;-14;-40.0;16.0;9.0;-21.0;14;-46.0;-47.0;41;12.0
13.0;15;52.0;-61;-6.0;1.0;2.0;-23.0;61;-98.0;-14.0;15;14.0
9.0;-4;-4.0;-33;9.0;33.0;9.0;-6.0;33;-67.0;-9.0;-4;14.0
27.0;0;22.0;-36;17.0;33.0;7.0;10.0;36;-68.0;-38.0;0;8.0
7.0;18;-17.0;-6;2.0;0.0;10.0;5.0;6;-77.0;-39.0;18;10.0
24.0;8;48.0;6;13.0;31.0;-4.0;-8.0;-6;-67.0;-25.0;8;19.0
19.0;15;-2.0;-25;-2.0;31.0;-34.0;17.0;25;-27.0;-14.0;15;79.0
