InertialMeasurementUnit L-SHOE EuX;Accelerometer RUA_ accY;Accelerometer RWR accY;InertialMeasurementUnit RLA accX
79;1022.0;1001.0;-1005.0
80;1049.0;1041.0;-1019.0
80;1097.0;1111.0;-1048.0
82;1087.0;1092.0;-1060.0
85;1091.0;1080.0;-1068.0
86;1091.0;1048.0;-1060.0
87;1096.0;1065.0;-939.0
88;972.0;891.0;-861.0
87;912.0;811.0;-813.0
87;877.0;746.0;-800.0
87;895.0;567.0;-753.0
87;847.0;446.0;-645.0
87;733.0;295.0;-495.0
87;579.0;170.0;-425.0
87;491.0;291.0;-522.0
87;585.0;426.0;-633.0
86;706.0;553.0;-689.0
86;751.0;648.0;-716.0
86;789.0;622.0;-698.0
86;750.0;611.0;-685.0
86;758.0;564.0;-681.0
86;742.0;?;-670.0
86;723.0;701.0;-755.0
86;810.0;774.0;-823.0
86;871.0;920.0;-894.0
86;959.0;1049.0;-957.0
?;1037.0;1104.0;-1012.0
86;1110.0;1316.0;-924.0
86;1014.0;1257.0;-878.0
?;977.0;1000.0;-884.0
86;954.0;947.0;-830.0
86;899.0;841.0;-860.0
86;918.0;887.0;-921.0
86;956.0;1021.0;-914.0
86;985.0;1056.0;-975.0
?;1071.0;1104.0;-1028.0
86;1116.0;1064.0;-1012.0
86;1099.0;1080.0;-1068.0
86;1147.0;1119.0;-1153.0
86;1252.0;838.0;-1270.0
86;1371.0;691.0;-1295.0
86;1364.0;797.0;-1476.0
86;1517.0;1002.0;-1331.0
86;1238.0;911.0;-1074.0
86;932.0;662.0;-815.0
86;606.0;446.0;-812.0
86;643.0;200.0;-598.0
86;486.0;-29.0;-435.0
86;314.0;-126.0;?
86;-107.0;117.0;224.0
86;-344.0;?;261.0
86;-418.0;55.0;603.0
86;-718.0;-300.0;804.0
86;-855.0;-515.0;1002.0
86;-990.0;-589.0;1039.0
86;-1000.0;-517.0;1002.0
86;-740.0;-767.0;807.0
86;-707.0;-726.0;755.0
86;?;-680.0;701.0
86;-588.0;-592.0;594.0
86;-493.0;-626.0;515.0
86;-383.0;-572.0;507.0
86;-377.0;-547.0;515.0
86;-407.0;?;554.0
86;-466.0;-485.0;561.0
86;-483.0;-672.0;571.0
86;-520.0;-520.0;562.0
86;-547.0;-515.0;525.0
86;-496.0;-467.0;508.0
86;-509.0;-411.0;469.0
86;-476.0;-393.0;413.0
86;-418.0;-391.0;?
86;-505.0;-458.0;392.0
86;-497.0;-617.0;386.0
86;-450.0;-876.0;431.0
86;-446.0;-1007.0;503.0
86;-493.0;-988.0;588.0
86;?;-1085.0;707.0
86;-687.0;-1026.0;919.0
86;-880.0;-1042.0;1172.0
86;-1079.0;-1350.0;1172.0
86;-1021.0;-1335.0;1108.0
86;-925.0;?;950.0
?;-782.0;-1082.0;841.0
86;-688.0;-997.0;773.0
86;-637.0;-955.0;763.0
86;-634.0;-936.0;789.0
86;-677.0;-962.0;800.0
?;-672.0;-1072.0;828.0
86;-713.0;-1016.0;877.0
86;-787.0;-981.0;899.0
86;-786.0;-1025.0;863.0
86;-786.0;-891.0;867.0
86;?;-858.0;866.0
86;?;-861.0;849.0
86;-767.0;-833.0;818.0
86;-736.0;-831.0;745.0
86;-642.0;-748.0;616.0
86;-541.0;-609.0;545.0
86;-446.0;-529.0;454.0
86;-380.0;-388.0;409.0
86;-329.0;-417.0;356.0
86;-351.0;-576.0;296.0
86;-246.0;-457.0;356.0
86;?;-477.0;386.0
86;-430.0;-520.0;330.0
86;-442.0;-457.0;329.0
86;-438.0;-476.0;298.0
86;-361.0;-782.0;?
86;-199.0;-900.0;215.0
86;-202.0;-943.0;408.0
86;-372.0;-1039.0;531.0
86;-492.0;-979.0;685.0
86;-643.0;-1007.0;754.0
86;-668.0;-1198.0;972.0
86;-884.0;-1152.0;1064.0
86;-910.0;-1158.0;923.0
86;-768.0;-1146.0;950.0
86;-800.0;-1139.0;867.0
86;?;-1067.0;786.0
?;-620.0;-918.0;703.0
86;-556.0;-951.0;651.0
86;-500.0;-908.0;680.0
86;-557.0;-878.0;752.0
86;-625.0;-920.0;797.0
?;-661.0;-976.0;815.0
86;-667.0;-984.0;861.0
?;-732.0;-1040.0;959.0
86;-732.0;-885.0;?
86;-726.0;-928.0;814.0
?;-736.0;-890.0;818.0
86;-722.0;-902.0;781.0
?;-707.0;-830.0;770.0
86;-669.0;-912.0;696.0
?;-582.0;-937.0;619.0
86;-485.0;-684.0;487.0
86;-372.0;-556.0;423.0
86;-331.0;-361.0;357.0
86;-290.0;-264.0;318.0
?;-257.0;-406.0;307.0
86;-312.0;-429.0;331.0
