Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
64.0;106.0;41.0;-133.0;311.0;362.0;-79;-298.0;218.0;372.0;176.0;890.0
76.0;158.0;35.0;-101.0;341.0;285.0;-29;-140.0;186.0;287.0;122.0;393.0
-157.0;320.0;-35.0;24.0;238.0;453.0;-20;0.0;131.0;598.0;62.0;311.0
-72.0;165.0;-473.0;-269.0;139.0;382.0;-29;-762.0;-239.0;508.0;-142.0;648.0
50.0;251.0;-120.0;-30.0;-295.0;377.0;-26;63.0;109.0;391.0;-66.0;569.0
437.0;261.0;471.0;164.0;-255.0;132.0;-35;164.0;494.0;478.0;-184.0;151.0
-48.0;34.0;99.0;-55.0;-259.0;305.0;-44;146.0;146.0;401.0;-33.0;445.0
591.0;-313.0;-114.0;-690.0;279.0;25.0;-26;-449.0;68.0;235.0;632.0;464.0
389.0;477.0;445.0;246.0;-455.0;323.0;-35;236.0;561.0;485.0;-388.0;82.0
54.0;-4.0;-70.0;-149.0;172.0;401.0;-23;-224.0;121.0;325.0;208.0;333.0
-243.0;326.0;475.0;83.0;542.0;783.0;-29;-257.0;562.0;962.0;-110.0;238.0
-4.0;606.0;345.0;476.0;-451.0;342.0;-33;80.0;436.0;624.0;-579.0;382.0
-196.0;131.0;723.0;-179.0;-205.0;591.0;-34;223.0;774.0;914.0;-75.0;-83.0
-361.0;335.0;514.0;69.0;-357.0;191.0;-35;175.0;530.0;734.0;-252.0;102.0
72.0;-246.0;-109.0;51.0;63.0;316.0;-23;-276.0;178.0;316.0;-109.0;348.0
496.0;-127.0;-56.0;-10.0;14.0;379.0;-74;-126.0;199.0;524.0;148.0;266.0
