Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
49.0;149.0;-106.0;-59.0;500.0;284.0;-29;-483.0;7.0;273.0;-17.0;306.0
-53.0;173.0;-45.0;-28.0;516.0;324.0;-30;-493.0;122.0;336.0;67.0;292.0
133.0;309.0;-58.0;210.0;-104.0;191.0;-5;201.0;10.0;329.0;-101.0;401.0
12.0;264.0;27.0;-23.0;-2.0;250.0;-35;142.0;87.0;375.0;-5.0;405.0
-53.0;337.0;-40.0;-148.0;-328.0;326.0;-28;270.0;143.0;404.0;224.0;279.0
-72.0;165.0;-473.0;-269.0;139.0;382.0;-29;-762.0;-239.0;508.0;-142.0;648.0
-322.0;221.0;-313.0;75.0;151.0;484.0;-46;-761.0;-194.0;576.0;-429.0;723.0
80.0;391.0;102.0;104.0;-228.0;531.0;-53;530.0;152.0;514.0;-204.0;304.0
5.0;266.0;80.0;5.0;1.0;347.0;-37;174.0;197.0;534.0;-75.0;401.0
239.0;111.0;259.0;-209.0;327.0;244.0;-28;43.0;376.0;430.0;23.0;277.0
174.0;134.0;362.0;-17.0;187.0;559.0;-29;-215.0;449.0;611.0;-24.0;93.0
-19.0;486.0;78.0;-114.0;436.0;649.0;-29;146.0;281.0;616.0;-633.0;217.0
-5.0;27.0;131.0;-241.0;95.0;293.0;-29;-71.0;331.0;513.0;-79.0;439.0
-42.0;276.0;136.0;9.0;-12.0;369.0;-37;179.0;162.0;550.0;-5.0;401.0
27.0;265.0;77.0;-8.0;-20.0;420.0;-37;189.0;144.0;548.0;74.0;406.0
243.0;214.0;91.0;-168.0;82.0;369.0;-29;-14.0;150.0;341.0;157.0;416.0
-19.0;441.0;90.0;-58.0;81.0;621.0;-29;39.0;308.0;470.0;17.0;381.0
-179.0;274.0;225.0;72.0;-51.0;608.0;-29;48.0;342.0;529.0;-115.0;242.0
48.0;280.0;-10.0;-52.0;-44.0;474.0;-37;215.0;124.0;508.0;120.0;410.0
106.0;104.0;-9.0;-55.0;-1.0;285.0;-40;228.0;175.0;336.0;147.0;449.0
-22.0;134.0;-185.0;-99.0;247.0;466.0;-28;-520.0;49.0;614.0;-176.0;470.0
57.0;120.0;104.0;-132.0;65.0;253.0;-57;129.0;293.0;427.0;101.0;469.0
-82.0;122.0;190.0;-79.0;147.0;314.0;-70;94.0;312.0;535.0;-21.0;484.0
3.0;112.0;240.0;-73.0;277.0;455.0;-72;172.0;392.0;589.0;-1.0;500.0
263.0;70.0;-152.0;-108.0;-5.0;283.0;-28;-571.0;-9.0;430.0;-123.0;438.0
-785.0;-499.0;468.0;-608.0;362.0;627.0;-33;228.0;538.0;920.0;735.0;322.0
-866.0;103.0;920.0;-112.0;196.0;300.0;-31;551.0;786.0;736.0;-33.0;-63.0
108.0;143.0;-244.0;-22.0;60.0;197.0;-26;160.0;-34.0;223.0;-81.0;469.0
142.0;239.0;-21.0;47.0;209.0;327.0;-27;20.0;105.0;362.0;-144.0;534.0
-754.0;219.0;121.0;13.0;-448.0;466.0;-28;-268.0;282.0;550.0;-103.0;842.0
58.0;53.0;175.0;31.0;-278.0;392.0;65;-424.0;336.0;571.0;272.0;954.0
411.0;191.0;-61.0;-230.0;-468.0;107.0;-40;-231.0;308.0;557.0;138.0;634.0
165.0;182.0;132.0;-41.0;394.0;180.0;-22;-513.0;123.0;395.0;22.0;692.0
-381.0;109.0;-91.0;-52.0;-57.0;451.0;-27;-470.0;313.0;753.0;-315.0;453.0
-271.0;735.0;-306.0;570.0;-438.0;354.0;-29;-1855.0;-117.0;512.0;-801.0;1104.0
-240.0;100.0;-52.0;-221.0;-415.0;419.0;-36;-731.0;26.0;645.0;134.0;527.0
-154.0;265.0;-18.0;-78.0;-146.0;273.0;-18;-405.0;148.0;444.0;4.0;652.0
-4.0;211.0;-92.0;-112.0;373.0;294.0;-58;-425.0;235.0;666.0;165.0;875.0
175.0;-25.0;104.0;-193.0;235.0;670.0;-22;-532.0;283.0;660.0;290.0;925.0
