Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
136.0;814.0;843.0;957.0;-468.0;6;-361.0;457.0;779.0;412.0;-846.0
11.0;631.0;792.0;995.0;-395.0;4;-340.0;375.0;678.0;389.0;-753.0
257.0;877.0;801.0;1040.0;-659.0;-5;-376.0;551.0;828.0;602.0;-826.0
273.0;798.0;537.0;1810.0;-407.0;2;-714.0;251.0;506.0;424.0;-355.0
218.0;745.0;852.0;988.0;-537.0;-4;-311.0;321.0;787.0;429.0;-713.0
244.0;790.0;901.0;947.0;-483.0;-4;-216.0;304.0;866.0;437.0;-747.0
39.0;603.0;628.0;962.0;-683.0;-7;-510.0;538.0;557.0;535.0;-768.0
110.0;608.0;793.0;927.0;-342.0;-3;-360.0;371.0;691.0;369.0;-595.0
203.0;717.0;830.0;932.0;-465.0;9;-234.0;400.0;793.0;424.0;-623.0
123.0;628.0;803.0;913.0;-426.0;13;-291.0;356.0;733.0;440.0;-471.0
55.0;817.0;887.0;612.0;-275.0;12;-269.0;39.0;727.0;143.0;-736.0
91.0;860.0;941.0;636.0;-407.0;31;-401.0;167.0;776.0;313.0;-822.0
70.0;726.0;812.0;1028.0;-726.0;17;-468.0;541.0;641.0;526.0;-647.0
164.0;751.0;787.0;928.0;-791.0;11;-406.0;380.0;729.0;533.0;-678.0
124.0;676.0;786.0;943.0;-458.0;4;-233.0;412.0;772.0;413.0;-684.0
463.0;881.0;835.0;980.0;-605.0;1;-376.0;654.0;827.0;585.0;-782.0
288.0;829.0;768.0;973.0;-386.0;1;-176.0;590.0;870.0;441.0;-782.0
140.0;799.0;635.0;881.0;-532.0;7;-319.0;594.0;708.0;422.0;-829.0
168.0;813.0;886.0;915.0;-553.0;14;-351.0;441.0;834.0;398.0;-722.0
143.0;774.0;864.0;931.0;-563.0;12;-374.0;447.0;791.0;482.0;-710.0
20.0;672.0;785.0;935.0;-446.0;8;-344.0;243.0;671.0;408.0;-571.0
-60.0;588.0;699.0;1053.0;-267.0;-7;-311.0;245.0;541.0;257.0;-716.0
56.0;708.0;919.0;838.0;-485.0;9;-399.0;426.0;805.0;405.0;-536.0
74.0;386.0;729.0;718.0;-636.0;7;-502.0;368.0;508.0;436.0;-302.0
121.0;625.0;802.0;954.0;-513.0;3;-301.0;400.0;683.0;421.0;-476.0
166.0;850.0;900.0;877.0;-430.0;-7;-329.0;346.0;871.0;396.0;-763.0
129.0;740.0;889.0;921.0;-490.0;-1;-234.0;320.0;820.0;358.0;-548.0
144.0;765.0;744.0;863.0;-409.0;-93;-466.0;284.0;740.0;538.0;-738.0
84.0;691.0;931.0;911.0;-451.0;-6;-448.0;494.0;709.0;456.0;-574.0
181.0;722.0;874.0;853.0;-526.0;-5;-296.0;453.0;749.0;389.0;-498.0
309.0;638.0;665.0;956.0;-546.0;-2;-407.0;570.0;649.0;495.0;-970.0
179.0;691.0;756.0;964.0;-393.0;10;-201.0;265.0;746.0;345.0;-655.0
185.0;649.0;753.0;966.0;-369.0;3;-156.0;233.0;700.0;231.0;-512.0
41.0;666.0;752.0;1044.0;-542.0;11;-349.0;323.0;666.0;309.0;-606.0
106.0;799.0;717.0;879.0;-648.0;2;-617.0;443.0;630.0;477.0;-592.0
202.0;695.0;789.0;951.0;-400.0;-1;-254.0;216.0;768.0;455.0;-668.0
66.0;729.0;828.0;1024.0;-521.0;6;-350.0;370.0;750.0;346.0;-624.0
83.0;703.0;731.0;957.0;-420.0;8;-275.0;180.0;700.0;252.0;-630.0
328.0;533.0;433.0;919.0;-615.0;17;-523.0;886.0;522.0;854.0;-903.0
166.0;766.0;629.0;-74.0;-556.0;-40;-351.0;719.0;813.0;581.0;-700.0
79.0;712.0;811.0;936.0;-334.0;3;-379.0;343.0;742.0;476.0;-495.0
-14.0;743.0;749.0;912.0;-687.0;13;-469.0;340.0;617.0;440.0;-685.0
65.0;847.0;830.0;774.0;-562.0;23;-410.0;285.0;757.0;384.0;-767.0
116.0;854.0;758.0;863.0;-359.0;2;-514.0;424.0;667.0;509.0;-565.0
78.0;763.0;852.0;973.0;-454.0;8;-466.0;452.0;765.0;535.0;-754.0
151.0;771.0;909.0;936.0;-457.0;10;-363.0;360.0;838.0;428.0;-542.0
140.0;767.0;868.0;931.0;-447.0;12;-294.0;387.0;882.0;469.0;-604.0
150.0;759.0;895.0;888.0;-409.0;-2;-352.0;323.0;814.0;410.0;-571.0
139.0;771.0;814.0;973.0;-453.0;-3;-320.0;279.0;801.0;414.0;-682.0
86.0;744.0;815.0;1038.0;-458.0;6;-278.0;187.0;725.0;203.0;-665.0
120.0;831.0;864.0;1000.0;-491.0;-8;-379.0;438.0;823.0;484.0;-769.0
