Accelerometer LUA^ accX;Accelerometer LUA_ accY;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accY;InertialMeasurementUnit L-SHOE EuZ;Accelerometer LUA_ accX;Accelerometer LH accX;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX
58.0;824.0;861.0;990.0;-446.0;-3;-367.0;391.0;790.0;436.0;-1070.0
48.0;736.0;813.0;962.0;-533.0;0;-348.0;295.0;720.0;425.0;-776.0
257.0;877.0;801.0;1040.0;-659.0;-5;-376.0;551.0;828.0;602.0;-826.0
41.0;765.0;822.0;1346.0;-420.0;3;-342.0;184.0;742.0;375.0;-697.0
228.0;805.0;879.0;1150.0;-589.0;-43;-303.0;309.0;803.0;446.0;-802.0
377.0;926.0;1070.0;993.0;-357.0;9;-104.0;234.0;992.0;312.0;-911.0
-42.0;765.0;578.0;820.0;-622.0;10;-646.0;553.0;580.0;545.0;-754.0
108.0;675.0;778.0;912.0;-332.0;1;-329.0;326.0;755.0;329.0;-608.0
425.0;765.0;818.0;981.0;-366.0;2;-158.0;393.0;860.0;308.0;-730.0
123.0;628.0;803.0;913.0;-426.0;13;-291.0;356.0;733.0;440.0;-471.0
101.0;883.0;923.0;844.0;-387.0;-27;-272.0;115.0;868.0;232.0;-842.0
44.0;819.0;879.0;549.0;-314.0;-17;-351.0;43.0;777.0;207.0;-697.0
100.0;642.0;772.0;1299.0;-638.0;-1;-539.0;654.0;711.0;652.0;-708.0
164.0;751.0;787.0;928.0;-791.0;11;-406.0;380.0;729.0;533.0;-678.0
124.0;676.0;786.0;943.0;-458.0;4;-233.0;412.0;772.0;413.0;-684.0
390.0;845.0;827.0;981.0;-606.0;4;-448.0;637.0;743.0;540.0;-698.0
248.0;924.0;829.0;952.0;-441.0;3;-228.0;614.0;928.0;454.0;-869.0
112.0;801.0;606.0;897.0;-491.0;1;-386.0;582.0;809.0;514.0;-906.0
300.0;956.0;1017.0;943.0;-490.0;6;-231.0;437.0;979.0;417.0;-810.0
168.0;813.0;886.0;915.0;-553.0;14;-351.0;441.0;834.0;398.0;-722.0
-36.0;678.0;779.0;866.0;-353.0;-4;-439.0;195.0;715.0;428.0;-509.0
-70.0;553.0;709.0;1113.0;-150.0;4;-332.0;325.0;530.0;331.0;-1015.0
56.0;708.0;919.0;838.0;-485.0;9;-399.0;426.0;805.0;405.0;-536.0
-233.0;-648.0;-814.0;375.0;-455.0;4;-559.0;341.0;-716.0;595.0;801.0
