InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;Accelerometer HIP accY;Accelerometer RUA^ accX;Accelerometer BACK accZ
-926.0;598.0;-233.0;149.0;884.0;991.0;-302.0;-471.0
-949.0;598.0;-245.0;157.0;887.0;985.0;-272.0;-441.0
-966.0;503.0;-273.0;51.0;932.0;948.0;-407.0;-396.0
-905.0;648.0;-258.0;158.0;1041.0;1113.0;-354.0;-456.0
-996.0;663.0;-324.0;122.0;977.0;965.0;-621.0;-253.0
-1049.0;703.0;-148.0;184.0;753.0;842.0;-251.0;-238.0
-941.0;651.0;-149.0;132.0;952.0;1014.0;-278.0;-322.0
-965.0;565.0;-226.0;166.0;932.0;976.0;-403.0;-384.0
-945.0;554.0;-245.0;217.0;950.0;990.0;-399.0;-333.0
-965.0;527.0;-263.0;211.0;956.0;980.0;-183.0;-380.0
-867.0;497.0;-334.0;365.0;801.0;932.0;-243.0;-590.0
-900.0;619.0;-266.0;199.0;851.0;976.0;-296.0;-518.0
-940.0;597.0;-236.0;151.0;905.0;997.0;-279.0;-467.0
-928.0;519.0;-265.0;124.0;944.0;974.0;-329.0;-287.0
-944.0;507.0;-251.0;188.0;969.0;981.0;-240.0;-340.0
-923.0;492.0;-234.0;54.0;952.0;953.0;-152.0;-297.0
-963.0;644.0;-203.0;125.0;981.0;990.0;-376.0;-266.0
-930.0;548.0;-266.0;109.0;950.0;990.0;-282.0;-358.0
-987.0;711.0;-319.0;155.0;952.0;959.0;-280.0;-341.0
-943.0;550.0;-275.0;110.0;932.0;970.0;-326.0;-349.0
-965.0;492.0;-320.0;58.0;932.0;949.0;-431.0;-370.0
-977.0;1008.0;-419.0;263.0;867.0;1052.0;-318.0;-587.0
-928.0;496.0;-218.0;192.0;943.0;985.0;-297.0;-338.0
-964.0;636.0;-265.0;121.0;927.0;991.0;-298.0;-413.0
-926.0;730.0;-239.0;114.0;906.0;1001.0;-71.0;-428.0
-935.0;624.0;-588.0;31.0;1125.0;1309.0;-472.0;-773.0
-924.0;485.0;-251.0;167.0;941.0;990.0;-384.0;-383.0
-954.0;400.0;-190.0;150.0;895.0;940.0;-349.0;-408.0
-965.0;629.0;-265.0;112.0;923.0;983.0;-293.0;-428.0
-931.0;707.0;-235.0;116.0;848.0;962.0;-229.0;-408.0
-981.0;586.0;-246.0;63.0;914.0;988.0;-281.0;-408.0
-981.0;625.0;-272.0;108.0;924.0;987.0;-305.0;-420.0
-954.0;599.0;-249.0;-1.0;929.0;990.0;-232.0;-396.0
-977.0;631.0;-262.0;115.0;923.0;980.0;-307.0;-408.0
-971.0;730.0;-211.0;5.0;1022.0;929.0;-331.0;-486.0
-900.0;567.0;-186.0;164.0;910.0;1007.0;-337.0;-431.0
-1094.0;752.0;-342.0;20.0;899.0;1010.0;-347.0;-421.0
-931.0;571.0;-230.0;162.0;913.0;977.0;-314.0;-407.0
-893.0;565.0;-327.0;231.0;891.0;914.0;-236.0;-380.0
-1047.0;585.0;-284.0;198.0;950.0;949.0;-313.0;-381.0
-962.0;621.0;-228.0;145.0;926.0;1004.0;-311.0;-363.0
-959.0;621.0;-245.0;125.0;918.0;990.0;-271.0;-394.0
-962.0;632.0;-214.0;136.0;960.0;988.0;-358.0;-311.0
-906.0;382.0;-93.0;-55.0;950.0;1008.0;-312.0;-304.0
-964.0;591.0;-142.0;84.0;960.0;1004.0;-208.0;-322.0
-983.0;525.0;-123.0;48.0;933.0;982.0;-340.0;-337.0
-982.0;527.0;-138.0;45.0;954.0;995.0;-368.0;-304.0
-970.0;559.0;-154.0;77.0;980.0;1007.0;-400.0;-252.0
-972.0;572.0;-215.0;92.0;957.0;986.0;-398.0;-372.0
-979.0;687.0;-268.0;99.0;962.0;973.0;-448.0;-297.0
-965.0;576.0;-216.0;77.0;933.0;995.0;-391.0;-383.0
-984.0;531.0;-275.0;73.0;888.0;957.0;-435.0;-433.0
-946.0;594.0;-255.0;138.0;886.0;959.0;-272.0;-481.0
-944.0;591.0;-261.0;126.0;875.0;997.0;-295.0;-457.0
-970.0;590.0;-251.0;110.0;902.0;1000.0;-334.0;-451.0
-1175.0;424.0;-184.0;280.0;945.0;968.0;-314.0;-435.0
-1063.0;440.0;-308.0;44.0;820.0;885.0;-574.0;-480.0
-919.0;539.0;-332.0;63.0;953.0;1006.0;-372.0;-461.0
-973.0;575.0;-300.0;76.0;923.0;977.0;-397.0;-410.0
-905.0;715.0;-284.0;-51.0;1018.0;1058.0;-396.0;-507.0
-995.0;673.0;-357.0;79.0;944.0;922.0;-436.0;-367.0
-951.0;585.0;-266.0;116.0;896.0;978.0;-356.0;-444.0
-932.0;516.0;-217.0;113.0;920.0;985.0;-207.0;-401.0
-927.0;574.0;-354.0;114.0;867.0;978.0;-433.0;-540.0
-949.0;584.0;-236.0;126.0;908.0;966.0;-327.0;-453.0
-955.0;581.0;-238.0;138.0;891.0;985.0;-323.0;-416.0
-1181.0;600.0;-220.0;191.0;890.0;1028.0;-457.0;-555.0
-918.0;569.0;-261.0;172.0;972.0;1058.0;-343.0;-386.0
-911.0;608.0;-527.0;69.0;961.0;1096.0;-566.0;-630.0
-965.0;572.0;-249.0;89.0;955.0;983.0;-525.0;-332.0
-974.0;517.0;-321.0;33.0;1035.0;1168.0;-342.0;-492.0
-958.0;580.0;-189.0;128.0;909.0;990.0;-386.0;-427.0
-931.0;567.0;-271.0;112.0;936.0;973.0;-401.0;-348.0
-908.0;542.0;-135.0;97.0;842.0;885.0;-443.0;-336.0
-957.0;527.0;-177.0;13.0;949.0;998.0;-127.0;-338.0
-990.0;541.0;-137.0;25.0;939.0;1006.0;-359.0;-388.0
-978.0;553.0;-174.0;76.0;952.0;1014.0;-382.0;-406.0
-974.0;563.0;-181.0;91.0;921.0;1003.0;-358.0;-381.0
-971.0;565.0;-187.0;83.0;926.0;1002.0;-372.0;-379.0
-969.0;566.0;-200.0;79.0;930.0;988.0;-387.0;-395.0
-941.0;564.0;-284.0;107.0;924.0;963.0;-363.0;-324.0
-1023.0;576.0;-72.0;85.0;956.0;1176.0;-286.0;-524.0
-939.0;525.0;-188.0;83.0;935.0;971.0;-369.0;-354.0
-957.0;572.0;-194.0;88.0;927.0;1022.0;-360.0;-371.0
-956.0;404.0;-130.0;-197.0;913.0;1019.0;-109.0;-408.0
-978.0;574.0;-182.0;89.0;952.0;996.0;-397.0;-380.0
-977.0;575.0;-233.0;95.0;966.0;1006.0;-362.0;-370.0
-970.0;573.0;-174.0;101.0;932.0;977.0;-386.0;-382.0
-957.0;667.0;-87.0;-6.0;932.0;1010.0;-351.0;-348.0
-956.0;513.0;-128.0;26.0;936.0;1023.0;-432.0;-342.0
-966.0;512.0;-178.0;-12.0;921.0;994.0;-385.0;-413.0
-1027.0;538.0;-185.0;95.0;884.0;904.0;-332.0;-319.0
-967.0;567.0;-191.0;102.0;924.0;977.0;-418.0;-433.0
-934.0;428.0;119.0;21.0;894.0;1135.0;-540.0;-326.0
-958.0;566.0;-173.0;105.0;932.0;1020.0;-402.0;-431.0
-943.0;566.0;-294.0;108.0;928.0;976.0;-385.0;-371.0
-965.0;601.0;-148.0;75.0;974.0;1013.0;-265.0;-225.0
-856.0;612.0;-190.0;29.0;1216.0;1283.0;-403.0;-562.0
-957.0;571.0;-189.0;136.0;913.0;1028.0;-356.0;-441.0
-985.0;576.0;-202.0;109.0;903.0;998.0;-399.0;-416.0
-1055.0;506.0;-86.0;110.0;790.0;890.0;-422.0;-423.0
-973.0;578.0;-182.0;113.0;911.0;992.0;-395.0;-411.0
-968.0;574.0;-196.0;122.0;935.0;976.0;-337.0;-387.0
-1028.0;575.0;-123.0;185.0;888.0;951.0;-300.0;-430.0
-976.0;577.0;-226.0;89.0;951.0;994.0;-328.0;-342.0
-935.0;580.0;-213.0;233.0;952.0;1024.0;-358.0;-519.0
-980.0;571.0;-171.0;231.0;880.0;970.0;-416.0;-467.0
-972.0;579.0;-250.0;135.0;917.0;996.0;-416.0;-447.0
-977.0;571.0;-234.0;114.0;915.0;977.0;-405.0;-418.0
-1262.0;936.0;-294.0;185.0;1059.0;1285.0;-936.0;-532.0
-967.0;571.0;-195.0;125.0;948.0;1003.0;-375.0;-399.0
-941.0;564.0;-275.0;113.0;941.0;976.0;-370.0;-372.0
-948.0;570.0;-169.0;145.0;948.0;1035.0;-415.0;-385.0
-954.0;568.0;-192.0;128.0;935.0;993.0;-372.0;-388.0
-958.0;569.0;-216.0;134.0;932.0;996.0;-384.0;-364.0
-977.0;567.0;-183.0;102.0;935.0;995.0;-375.0;-401.0
-982.0;566.0;-149.0;118.0;942.0;998.0;-390.0;-380.0
-994.0;591.0;-246.0;74.0;938.0;1007.0;-357.0;-369.0
-987.0;595.0;-245.0;83.0;943.0;993.0;-350.0;-386.0
-1182.0;566.0;-279.0;12.0;960.0;1079.0;-306.0;-500.0
-939.0;589.0;-429.0;189.0;896.0;961.0;-460.0;-470.0
-948.0;574.0;-196.0;94.0;921.0;996.0;-408.0;-398.0
-964.0;525.0;-138.0;49.0;964.0;1006.0;-316.0;-314.0
-944.0;564.0;-275.0;96.0;933.0;964.0;-418.0;-404.0
-975.0;532.0;-134.0;15.0;972.0;1023.0;-349.0;-275.0
-956.0;526.0;-162.0;108.0;957.0;982.0;-622.0;-353.0
-959.0;574.0;-196.0;84.0;916.0;965.0;-440.0;-374.0
-954.0;561.0;-169.0;94.0;932.0;1016.0;-367.0;-381.0
-962.0;569.0;-157.0;86.0;948.0;1034.0;-390.0;-371.0
-976.0;566.0;-203.0;86.0;924.0;997.0;-366.0;-378.0
-985.0;556.0;-197.0;80.0;958.0;995.0;-344.0;-353.0
-969.0;572.0;-155.0;97.0;921.0;1032.0;-363.0;-370.0
-956.0;570.0;-189.0;96.0;909.0;1009.0;-371.0;-395.0
-966.0;571.0;-187.0;108.0;929.0;994.0;-375.0;-382.0
-966.0;571.0;-168.0;106.0;940.0;979.0;-376.0;-379.0
-960.0;568.0;-167.0;107.0;947.0;1024.0;-347.0;-377.0
-962.0;572.0;-166.0;114.0;943.0;1010.0;-359.0;-369.0
-957.0;579.0;-207.0;87.0;921.0;1001.0;-435.0;-404.0
-956.0;577.0;-220.0;89.0;912.0;1010.0;-428.0;-405.0
-957.0;578.0;-205.0;93.0;935.0;991.0;-435.0;-400.0
-968.0;568.0;-179.0;104.0;946.0;995.0;-373.0;-370.0
-959.0;572.0;-203.0;89.0;943.0;990.0;-471.0;-376.0
-960.0;491.0;-317.0;57.0;939.0;951.0;-416.0;-342.0
-967.0;509.0;-283.0;55.0;932.0;945.0;-417.0;-380.0
-970.0;563.0;-159.0;113.0;974.0;991.0;-349.0;-336.0
